,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,18.665179117647057,18.29895941176471,5.048170588235295,2.1435058823529416,-28.414067647058832,-23.323946470588233,33.46224632352942,25.467445588235293,-67.8072886029412,-79.06180147058822,72.85550220588233,81.20529852941175,-12.928026132352944,-9.15668955882353,-20.236601926470588,-18.068251764705877,7.480599264705883,8.850423529411765,41.31009264705882,39.492841911764714,-11.79422794117647,-12.018951470588236,-1.5877654411764708,-1.3516080882352943,-10.206461764705884,-10.667342647058826,-3.808036029411764,-4.515060294117648,-7.98618455882353,-7.503888970588234,-0.7113499999999999,-0.530477205882353,-1.1431448529411763,-1.0471566176470588,0.4173433823529411,0.5093889705882353,2.122452205882353,2.078582352941176
1,3.5,21.567918676470587,21.33270558823528,5.255826470588237,1.7416617647058827,-31.93251361764706,-26.52656691176472,37.18833970588235,28.26822426470588,-77.31522352941177,-91.43792573529412,82.57101838235295,93.17956470588238,-14.533760838235294,-10.42109176470588,-22.736398014705884,-20.535896617647065,8.60418455882353,10.365139705882353,48.08721691176471,46.327575735294104,-11.822138970588238,-12.053138970588236,-1.5645242647058824,-1.3328264705882356,-10.257609558823528,-10.720312500000002,-3.795833088235294,-4.513661764705882,-8.026307352941178,-7.53947794117647,-0.7030294117647059,-0.523729411764706,-1.1243801470588235,-1.0318477941176472,0.4209029411764705,0.5161691176470589,2.13290955882353,2.086128676470588
2,4.0,24.81979375,24.66753875000001,5.212821323529412,1.251123529411765,-36.04973779411765,-29.949096617647054,41.262564705882355,31.20022352941176,-88.85593713235293,-104.83113124999996,94.06877499999996,106.08225147058822,-16.45957301470588,-11.77532375,-25.611365911764707,-23.163952205882353,10.036448529411764,11.977238970588235,55.483155882352946,53.93420588235296,-11.854276470588234,-12.082441911764706,-1.5504382352941175,-1.3150647058823526,-10.303841176470584,-10.767372794117646,-3.808786029411765,-4.505170588235295,-8.045488235294117,-7.577273529411766,-0.7000198529411765,-0.517579411764706,-1.110861029411765,-1.0170507352941176,0.4300624999999998,0.5207419117647057,2.1343051470588232,2.0949727941176475
3,4.5,28.49556897058824,28.369256617647057,5.274183088235292,0.7723624999999998,-40.519136470588215,-33.667684411764704,45.793313235294114,34.440046323529415,-101.65381286764703,-119.62192500000003,106.9279661764706,120.3942375,-18.56160658823529,-13.268996485294116,-28.729193823529418,-26.011927352941186,11.669235294117652,13.770357352941176,63.92680588235295,62.38175294117649,-11.879245588235293,-12.105221323529411,-1.5315249999999998,-1.298179411764706,-10.347722058823528,-10.807038235294115,-3.814199264705882,-4.496072794117648,-8.06504705882353,-7.609147058823528,-0.6946323529411764,-0.5127492647058824,-1.094269117647059,-1.002206617647059,0.4378970588235293,0.5253816176470587,2.139555147058823,2.102644117647059
4,5.0,32.5442694117647,32.42600808823529,5.412725000000002,0.4776463235294117,-45.12119426470587,-37.424820441176465,50.53391911764706,37.902465441176474,-114.52444375000002,-134.52863602941176,119.93717867647057,135.00625441176473,-20.75833511764706,-14.775798985294117,-31.89858911764706,-28.89200411764705,13.200344117647058,15.558746323529412,73.4222080882353,71.77099779411765,-11.899671323529413,-12.115926470588237,-1.5085286764705883,-1.2748117647058823,-10.3911375,-10.841114705882353,-3.782455147058823,-4.451609558823529,-8.117210294117646,-7.664317647058825,-0.689331617647059,-0.5049610294117647,-1.0725558823529413,-0.9828088235294118,0.4373183823529412,0.5231132352941177,2.147916911764706,2.112922058823529
5,5.5,36.848988088235295,36.98917499999999,5.514638970588234,0.0956279411764705,-49.56908911764705,-41.52635558823529,55.08372794117648,41.621979411764706,-127.2742474264706,-150.94623161764704,132.78888088235294,151.04180073529412,-22.85469033823529,-16.44893601470588,-34.9912775,-31.995767794117658,14.658067647058823,17.525663970588234,83.68526911764705,82.36422426470591,-11.918152205882354,-12.128654411764703,-1.4810338235294118,-1.254350735294118,-10.437121323529412,-10.874299264705884,-3.7454985294117646,-4.416597058823529,-8.172651470588235,-7.712057352941176,-0.6793779411764707,-0.4992602941176471,-1.0503161764705884,-0.964572058823529,0.4346632352941175,0.5216448529411764,2.1574360294117647,2.120892647058823
6,6.0,41.71629088235293,42.15654338235294,5.672111764705882,-0.4698147058823535,-54.533414558823544,-46.161484411764704,60.20552867647059,45.691666911764706,-141.55769375000003,-169.5503088235294,147.22966617647057,169.08059191176469,-25.213538852941173,-18.3647688382353,-38.42142264705882,-35.48667235294118,16.242724999999997,19.70384852941177,95.36033308823532,94.42728235294116,-11.936584558823528,-12.148864705882357,-1.4569066176470589,-1.2385860294117648,-10.479674264705883,-10.91027573529412,-3.7164227941176473,-4.391644852941177,-8.220161029411765,-7.757216176470587,-0.6705249999999998,-0.4958485294117648,-1.030841911764706,-0.9496389705882352,0.4319220588235294,0.5202058823529411,2.168619117647059,2.130561764705882
7,6.5,47.208677941176475,48.0621419117647,5.97531544117647,-1.1232808823529412,-59.967668823529415,-51.50999250000001,65.94298088235296,50.38670882352941,-157.06371544117644,-190.7543455882353,163.0390794117647,189.6310161764706,-27.78343272058823,-20.60293852941177,-42.194915147058815,-39.51455602941176,17.923397794117648,22.234311029411764,108.65838382352943,108.20461250000002,-11.95522794117647,-12.164475735294118,-1.4315875000000002,-1.222625,-10.52363382352941,-10.941848529411764,-3.677406617647058,-4.356466911764707,-8.277808823529414,-7.808008823529411,-0.6605786764705882,-0.4916338235294117,-1.0112492647058824,-0.9355933823529412,0.4265374999999999,0.5175698529411764,2.183405147058824,2.1408514705882347
8,7.0,53.66326985294118,54.67052279411765,6.3368014705882345,-1.6485713235294115,-66.55397867647059,-57.100742647058816,72.89077720588233,55.45216838235294,-175.3777867647059,-212.6750294117647,181.71462132352943,211.02635882352948,-30.944304705882352,-22.914629411764704,-46.72326617647059,-43.74310544117647,20.03424558823529,24.847227205882355,124.18453602941176,123.87214191176474,-11.974978676470586,-12.176722058823527,-1.4092000000000002,-1.201122794117647,-10.565770588235294,-10.975598529411768,-3.6326977941176466,-4.2910772058823525,-8.342280882352938,-7.885641176470589,-0.6533602941176472,-0.4847022058823529,-0.9922580882352944,-0.9175411764705884,0.421697794117647,0.5106676470588235,2.198213970588235,2.155633088235294
9,7.5,61.08770882352941,62.2835205882353,6.569061764705882,-2.0119830882352936,-74.26194,-63.61920838235293,80.8310029411765,61.60722720588234,-196.69345220588235,-237.4164007352941,203.2625477941176,235.4044875,-34.64042117647059,-25.670328088235298,-52.02381852941176,-48.62344029411763,22.60890661764706,27.911840441176462,141.95929779411765,141.82539926470585,-11.998136029411764,-12.189011764705883,-1.390559558823529,-1.183258088235294,-10.607574999999995,-11.00575808823529,-3.5933963235294115,-4.225619117647059,-8.404744852941178,-7.963386764705884,-0.647739705882353,-0.4810272058823531,-0.9759102941176472,-0.9005132352941174,0.4190941176470588,0.5056772058823531,2.210433088235294,2.168358823529412
