,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,28.3868,31.106925,0.06705,-17.2462,-45.556664999999995,-46.72145999999999,45.623725,29.47525,-131.40225,-180.24225,131.4693,162.99605000000005,-21.16176,-19.06514,-31.906255,-35.57397,12.868825,17.226875,62.07275,70.540775,-12.256574999999998,-12.813425,-1.6048250000000002,-1.5019000000000002,-10.65175,-11.3115,-4.6291,-5.79435,-7.62745,-7.0191,-0.7459749999999999,-0.612425,-1.12475,-1.142725,0.45335,0.5538,2.1866250000000003,2.2676499999999997
1,3.5,32.492225000000005,36.88885,0.0214499999999999,-20.662075,-51.286379999999994,-55.162305,51.307825,34.5002,-149.98149999999998,-215.852,150.00295,195.189925,-23.640005,-22.473515,-36.136849999999995,-42.08528,14.8032,21.323575,70.986175,82.63522499999999,-12.258275,-12.819175,-1.57835,-1.4953,-10.6799,-11.323875,-4.6160499999999995,-5.8516,-7.64225,-6.967575,-0.727725,-0.608625,-1.11245,-1.1398,0.4556,0.578075,2.1846750000000004,2.2401
2,4.0,37.990825,43.532075,1.279025,-23.095799999999997,-59.88347999999999,-65.0595,61.162475,41.9637,-176.73387499999998,-256.107125,178.012525,233.01145,-27.95989,-26.61439,-41.847525,-49.50937,17.63765,25.8188,82.11267500000001,96.22595,-12.2253,-12.789575,-1.57625,-1.49445,-10.649075,-11.29515,-4.652100000000001,-5.88325,-7.573225000000001,-6.9063,-0.7361,-0.6109,-1.101725,-1.1364999999999998,0.46425,0.593125,2.161325,2.210425
3,4.5,44.01415000000001,49.455275,1.906975,-24.996775,-70.0122,-73.06365,71.919175,48.066875,-208.24225,-290.14862500000004,210.14922499999997,265.151975,-33.040165,-29.868145,-48.55932,-55.65161500000001,21.86025,29.225875,93.87145,109.084025,-12.21565,-12.76445,-1.590625,-1.47725,-10.625,-11.2872,-4.731300000000001,-5.866925,-7.48435,-6.897525,-0.7508999999999999,-0.603275,-1.103625,-1.12415,0.496675,0.590975,2.132725,2.2057
4,5.0,49.4045,54.077175,1.7365,-26.534925,-78.1461,-78.33105,79.8826,51.796125,-231.2315,-315.171375,232.968,288.636575,-36.86673,-31.80019,-54.22286,-59.92883499999999,24.40735,31.482625,106.0983,119.5155,-12.223825,-12.7497,-1.5817249999999998,-1.4483500000000002,-10.642075,-11.301325,-4.6804,-5.8282,-7.5434,-6.921475,-0.7464500000000001,-0.587175,-1.0979,-1.10665,0.49405,0.5821750000000001,2.147525,2.210075
5,5.5,54.47785,58.7958,1.18695,-29.06305,-85.53855,-84.108,86.72550000000001,55.04495,-251.756,-342.597125,252.9427,313.53395,-40.178225,-34.01383,-59.53843500000001,-64.50872,26.434375,34.53175,118.18605,129.79770000000002,-12.237175,-12.7533,-1.570125,-1.430375,-10.667075,-11.322925,-4.6213,-5.827,-7.615925000000001,-6.92635,-0.737775,-0.57755,-1.0932499999999998,-1.095425,0.485225,0.587325,2.1694,2.207575
6,6.0,59.40605,64.4321,1.775025,-32.34915,-93.09494999999998,-92.1222,94.869975,59.77305,-271.983875,-380.595625,273.758775,348.24660000000006,-43.645145,-37.252444999999994,-64.92171,-70.61743,27.937275000000003,39.04805,129.48685,141.156625,-12.2291,-12.761125,-1.5671,-1.429625,-10.66205,-11.33145,-4.57845,-5.907025,-7.6507,-6.854075,-0.73485,-0.5773250000000001,-1.093075,-1.0945,0.4703,0.606025,2.179675,2.1907499999999995
7,6.5,65.925125,71.687325,1.368875,-36.527575,-105.35775,-103.6122,106.726625,67.084625,-304.505,-430.1595,305.874125,393.631675,-49.836215,-42.28915,-73.06125,-79.04549999999999,30.886049999999997,44.831375,144.0312,155.776225,-12.23825,-12.76855,-1.59815,-1.445175,-10.6401,-11.3234,-4.619,-6.0005,-7.619225,-6.7681,-0.75605,-0.588975,-1.108425,-1.10105,0.4684999999999999,0.625375,2.18475,2.173
8,7.0,73.73995,79.235525,1.23755,-40.50319999999999,-119.0955,-115.2627,120.33305,74.7595,-340.6595,-477.793625,341.89705,437.2928,-56.670765,-47.440785,-82.24645,-87.46075,34.518525,49.8678,161.07845,172.0353,-12.2422,-12.770175,-1.615075,-1.4545,-10.62715,-11.315649999999998,-4.619775000000001,-6.029925,-7.622475,-6.7402,-0.7686250000000001,-0.597925,-1.115575,-1.1025,0.468125,0.62935,2.184425,2.171175
9,7.5,82.410525,85.218025,-1.106875,-42.06475,-136.18935,-122.8344,135.082475,80.76965,-389.458625,-507.153,388.354625,465.08775,-65.44823,-50.408585,-93.3998,-93.3511,41.032425,53.08685,178.7547,185.61115,-12.272425000000002,-12.752575,-1.65255,-1.44125,-10.61985,-11.31135,-4.72585,-5.951124999999999,-7.546525,-6.801425,-0.794325,-0.5908,-1.13355,-1.09425,0.4979,0.6229,2.16905,2.178075
