,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,14.119775,14.847425,5.9023,6.21605,-27.438795,-21.183389999999996,33.34115,27.399475,-51.434375,-56.12625,57.33655,62.34205,-11.594675,-7.318413499999999,-20.3701,-17.44054,7.293875,7.0197,28.64835,31.590875,-11.840875,-11.840175,-1.94335,-1.4271,-9.89755,-10.413075,-3.643025,-3.780325,-8.197875,-8.059899999999999,-0.8225750000000001,-0.4942,-1.445225,-1.177475,0.516625,0.4728,2.0288500000000003,2.127675
1,3.5,16.04855,17.5693,6.857425,6.809025,-30.79764,-25.633095,37.655075,32.44215,-56.712125,-66.821125,63.568925,73.630275,-12.93344,-9.134975,-22.95896,-20.766245,7.95945,8.658275,32.83425,37.2599,-11.8317,-11.871425,-1.919125,-1.45935,-9.912575,-10.4121,-3.533975,-3.8033,-8.297725,-8.0681,-0.8071250000000001,-0.5217499999999999,-1.432875,-1.18575,0.496,0.4927999999999999,2.04585,2.1207249999999997
2,4.0,18.10465,20.20495,7.498399999999999,7.998,-34.27522499999999,-29.83293,41.77365,37.8309,-63.404,-78.769875,70.9024,86.76775,-14.28628,-10.761465,-25.663855,-23.964654999999997,8.8848,10.391675,37.1966,42.4409,-11.8448,-11.86335,-1.893225,-1.4769,-9.9516,-10.38645,-3.50225,-3.898825,-8.3426,-7.964525,-0.7902750000000001,-0.5351250000000001,-1.41975,-1.191375,0.490775,0.5143500000000001,2.054475,2.100525
3,4.5,20.629025,23.1524,8.934999999999999,9.614025,-38.58597,-34.706714999999996,47.52095,44.320725,-72.74975,-94.5825,81.68475,104.196525,-16.133625000000002,-12.79409,-28.839415,-27.65399,10.1163,12.61995,42.479125,47.75275,-11.825875,-11.8441,-1.87055,-1.4994,-9.95535,-10.344675,-3.526675,-4.08615,-8.2992,-7.757925,-0.7832749999999999,-0.554775,-1.4002,-1.19885,0.4904,0.5451750000000001,2.05915,2.062525
4,5.0,23.107099999999996,25.890500000000003,9.722449999999998,10.9049,-42.547635,-38.76441,52.270075,49.6693,-81.175,-105.948875,90.8977,116.85415,-17.814245,-14.38079,-31.78458,-30.862175,11.27795,14.220325,47.894425,53.2479,-11.83825,-11.8382,-1.8414,-1.497525,-9.9969,-10.34065,-3.5131,-4.093025,-8.32515,-7.74515,-0.772,-0.557,-1.3775,-1.1951,0.4881,0.54935,2.0726750000000003,2.05665
5,5.5,25.2284,29.1999,10.58945,11.857575,-45.849555,-44.300085,56.439,56.15765,-88.58525,-119.654,99.1747,131.51182500000002,-19.227365,-16.851190000000003,-34.23076,-34.924465,12.3871,16.514274999999998,52.303725,59.82115,-11.83925,-11.8532,-1.8174,-1.517325,-10.02185,-10.335875,-3.511425,-4.098375,-8.327824999999999,-7.754825,-0.7630250000000001,-0.5781000000000001,-1.358475,-1.19795,0.491,0.565625,2.073175,2.0487
6,6.0,27.4356,31.7217,12.83875,12.6933,-49.61658,-47.764995,62.45535,60.458299999999994,-97.496125,-129.64825,110.33475,142.34154999999998,-20.979745,-18.20301,-36.855385,-37.669265,13.744025,17.931375000000003,56.237125000000006,65.017325,-11.791,-11.859075,-1.8085,-1.505925,-9.98255,-10.35315,-3.5536999999999996,-4.087574999999999,-8.237325,-7.7715,-0.7656000000000001,-0.5745,-1.344975,-1.18875,0.500975,0.5653250000000001,2.04975,2.049625
7,6.5,29.616975,34.068825000000004,15.5305,14.303225,-52.842960000000005,-51.190439999999995,68.373475,65.493675,-104.96925,-139.58512499999998,120.49975,153.888725,-22.46052,-19.63029,-39.120445,-40.409605,14.5475,19.317225,60.403975,69.52885,-11.73465,-11.839175,-1.784225,-1.5025750000000002,-9.9504,-10.3366,-3.5443,-4.097075,-8.19035,-7.742025,-0.7592749999999999,-0.576075,-1.322475,-1.18585,0.491225,0.5670000000000001,2.0395,2.040825
8,7.0,32.4083,36.51025,18.712375,16.2999,-57.07239,-54.76938,75.78475,71.0693,-114.33275,-148.493875,133.044875,164.79365,-24.518965,-21.152355,-42.002264999999994,-43.177780000000006,15.788075,20.18205,65.8135,74.4967,-11.6816,-11.8125,-1.76105,-1.50005,-9.920575,-10.31245,-3.52795,-4.0669249999999995,-8.153675,-7.745575,-0.7573000000000001,-0.579,-1.2973500000000002,-1.18195,0.4871749999999999,0.5527749999999999,2.0307250000000003,2.04045
9,7.5,34.814925,38.960150000000006,20.311925,17.791975,-59.97378,-57.91324499999999,80.285675,75.705225,-120.2255,-156.79475000000002,140.53742499999998,174.586975,-25.759495,-22.337165,-44.142030000000005,-45.68754,16.2556,20.990425,71.379675,79.730175,-11.675574999999998,-11.802275,-1.7226499999999998,-1.4864,-9.9529,-10.315874999999998,-3.4533500000000004,-4.024249999999999,-8.222225,-7.778025,-0.740625,-0.5729500000000001,-1.269175,-1.171975,0.466925,0.538775,2.050225,2.046475
