,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,11.6303,11.2405,4.63485,3.256775,-23.77998,-19.11018,28.414825,22.36695,-70.09637500000001,-64.681625,74.7312,67.93842500000001,-10.79182,-7.6647325,-16.99979,-14.388115,6.7612250000000005,6.834124999999999,22.617925,22.356625,-11.860449999999998,-11.97055,-2.0447249999999997,-1.6996250000000002,-9.81575,-10.270925,-6.02715,-5.761699999999999,-5.833325,-6.20885,-0.92865,-0.683575,-1.462825,-1.2851499999999998,0.5813499999999999,0.6075,1.9447,1.989425
1,3.5,12.888225,12.990925,4.653275000000001,2.591,-25.638675,-22.236765,30.29195,24.827775000000003,-77.494375,-75.883375,82.14760000000001,78.47439999999999,-11.475545,-8.90882,-18.47896,-16.6916,7.6087,8.387175,25.258425000000003,25.82415,-11.897924999999995,-12.061,-1.989375,-1.710825,-9.90855,-10.350175,-6.0129,-5.84975,-5.885025,-6.21125,-0.891175,-0.6876,-1.4349999999999998,-1.29105,0.5903499999999999,0.6448,1.959775,1.98865
2,4.0,14.48155,14.85265,4.865575,1.960375,-28.25658,-25.316609999999997,33.12215,27.276999999999997,-87.932125,-87.53800000000001,92.79775,89.49825000000001,-12.514565,-10.0669,-20.454575,-19.04227,8.706074999999998,9.9053,28.3114,29.4638,-11.92305,-12.129725,-1.9513,-1.70335,-9.97175,-10.42635,-6.072100000000001,-5.90385,-5.85095,-6.225875,-0.865775,-0.679825,-1.41495,-1.2894249999999998,0.601175,0.6662,1.954975,1.984875
3,4.5,16.417524999999998,16.527724999999997,5.089925,1.5541,-31.822935,-27.78675,36.912875,29.3409,-100.254375,-98.218,105.3443,99.771725,-14.175865000000002,-10.91377,-22.94297,-21.097155,10.20775,11.190475,31.773725,32.73965,-11.949,-12.166975,-1.93845,-1.68055,-10.01055,-10.486425,-6.1066,-5.950200000000001,-5.8424,-6.216775,-0.86515,-0.66165,-1.40015,-1.281275,0.62175,0.676825,1.9353,1.981525
4,5.0,19.323875,18.785925,6.137375,1.236625,-37.90671,-31.371735,44.0441,32.6084,-116.098,-112.760875,122.235625,113.997375,-17.32336,-12.384405,-26.89484,-23.825585,12.452375,12.9698,36.589875,37.08035,-11.941425,-12.1942,-1.96175,-1.6696999999999995,-9.979675,-10.5245,-6.008050000000001,-6.0074000000000005,-5.93335,-6.186825,-0.898075,-0.6601,-1.3942,-1.271075,0.644425,0.69035,1.893475,1.9739750000000005
5,5.5,22.1685,21.584875,5.825425,0.4885,-42.757215,-35.86743,48.5826,36.355925,-131.77187500000002,-129.76875,137.597175,130.25725,-19.702765,-14.422915,-30.17885,-27.03644,13.71315,14.735525,42.754975,43.01635,-11.99625,-12.237025,-1.928775,-1.6616,-10.06745,-10.5754,-5.9441250000000005,-6.015874999999999,-6.052125,-6.22115,-0.8900250000000001,-0.6689,-1.36325,-1.25475,0.6186,0.682725,1.928625,1.9929
6,6.0,24.673375,24.498724999999997,5.44165,-0.005125,-46.520700000000005,-39.901155,51.962374999999994,39.896024999999995,-143.429125,-146.181625,148.87115,146.176625,-21.35484,-16.16739,-32.893485,-30.13706,14.5631,16.33965,48.86637499999999,49.49835,-12.0385,-12.259025,-1.885475,-1.628975,-10.153,-10.630025,-5.813149999999999,-5.9673750000000005,-6.22535,-6.2916,-0.8668,-0.6597999999999999,-1.335175,-1.229625,0.590225,0.6671250000000001,1.98055,2.020225
7,6.5,27.37745,27.180600000000005,4.313675,-0.2480249999999999,-50.59005,-42.922920000000005,54.9037,42.674899999999994,-155.373,-160.531875,159.686175,160.283725,-23.033005000000003,-17.267425,-35.938895,-32.64852,15.5762,17.580925,55.60230000000001,55.61625,-12.1015,-12.267625,-1.847875,-1.57945,-10.25355,-10.688199999999998,-5.67525,-5.9053,-6.4262250000000005,-6.36235,-0.8427250000000001,-0.6348,-1.3149,-1.1997,0.568975,0.6469750000000001,2.03095,2.045925
8,7.0,30.63925,30.120724999999997,3.51755,-0.91555,-55.5747,-46.246965,59.092275,45.331425,-169.474375,-175.59300000000002,172.99179999999998,174.67745,-25.203515,-18.50233,-39.580225,-35.44193,16.9186,19.072225,63.418724999999995,62.248325,-12.144225,-12.2882,-1.81385,-1.5355249999999998,-10.33035,-10.75265,-5.5313,-5.82685,-6.612925000000001,-6.461325,-0.823825,-0.6132,-1.29375,-1.173775,0.552175,0.6332,2.0698499999999997,2.066375
9,7.5,34.642875000000004,33.619025,3.12725,-2.076375,-61.1994,-50.753400000000006,64.32665,48.677025,-185.66225,-194.29975,188.789,192.223375,-27.6085,-20.289075,-43.75237,-39.018055,18.725075,21.3596,72.75385,69.63645,-12.16875,-12.319025,-1.7666,-1.509625,-10.402175,-10.809425,-5.35935,-5.77475,-6.80945,-6.5443,-0.79775,-0.6018,-1.26425,-1.156425,0.540525,0.6352249999999999,2.1001000000000003,2.0711999999999997
10,8.0,40.45945,39.424775,1.08615,-5.3422,-70.5789,-60.469815,71.66505,55.127625,-211.30175000000003,-225.75375,212.38815,220.41155,-32.00601,-24.42261,-50.2535,-45.453275,21.82475,25.742025,85.72599999999998,81.713525,-12.232175,-12.395775,-1.744425,-1.5332750000000002,-10.487725,-10.862525,-5.222575,-5.73,-7.009600000000001,-6.66575,-0.79205,-0.62045,-1.2435999999999998,-1.156125,0.539425,0.652725,2.118825,2.07315
11,8.5,45.63865,44.5518,-0.0957999999999999,-7.495475,-78.48615,-67.1412,78.39035000000001,59.645725,-232.111375,-250.980375,232.0152,243.484775,-35.36506,-27.07459,-56.14129500000001,-50.70766,24.481074999999997,28.709950000000003,97.854625,92.992925,-12.261075,-12.427725,-1.7197250000000002,-1.506875,-10.54135,-10.920825,-5.085850000000001,-5.634975000000001,-7.175275,-6.792750000000001,-0.775675,-0.6081,-1.2314,-1.13935,0.536425,0.64435,2.1441,2.087475
12,9.0,51.037825,50.10515,-0.04605,-9.0692,-86.1852,-73.83825,86.13914999999999,64.76905000000001,-252.70075000000003,-278.15762500000005,252.65445,269.0883,-38.71329,-29.65406,-61.796949999999995,-56.12533499999999,26.9508,31.827925,110.176675,105.1306,-12.259899999999998,-12.439699999999998,-1.688675,-1.47385,-10.57125,-10.96585,-4.951225,-5.550725,-7.30865,-6.8889499999999995,-0.759125,-0.591425,-1.211775,-1.11895,0.528075,0.6353,2.158725,2.09805
13,9.5,58.442025,57.206325,1.14705,-11.94865,-98.8299,-83.47200000000001,99.97695,71.52335,-285.736875,-315.361625,286.88405,303.41235,-45.047974999999994,-33.482845,-70.22135,-62.99466,30.846449999999997,36.6589,124.984525,119.8643,-12.239349999999998,-12.4683,-1.691075,-1.4589250000000002,-10.5483,-11.009375000000002,-4.889225,-5.514075,-7.350125,-6.9542,-0.771325,-0.585775,-1.20235,-1.10265,0.5277999999999999,0.640725,2.138625,2.0955000000000004
