,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,20.652625,21.033975,9.648775,7.827,-30.778979999999997,-23.762895,40.42775,31.589875000000003,-58.6325,-67.897875,68.281025,75.72475,-13.965445,-9.02441,-21.98664,-18.613025,7.079075,8.57315,46.078025,46.41222500000001,-11.791825,-11.8867,-1.49025,-1.129625,-10.301575,-10.757075,-2.838925,-3.228025,-8.952975,-8.658675,-0.675775,-0.4295,-1.063975,-0.885775,0.34275,0.407575,2.2311,2.206475
1,3.5,23.573575,24.6863,9.6747,7.757375,-34.07928,-27.30225,43.754000000000005,35.059625000000004,-67.42224999999999,-80.10000000000001,77.0972,87.857125,-15.36444,-10.472195,-24.43363,-21.262704999999997,8.452325000000002,10.3945,52.922,54.77289999999999,-11.84865,-11.94455,-1.445625,-1.1058499999999998,-10.403000000000002,-10.838675,-2.860025,-3.244725,-8.9886,-8.699824999999999,-0.651425,-0.424875,-1.036,-0.862625,0.35855,0.42115,2.245,2.21865
2,4.0,27.012625,27.995125,10.549525,7.723475,-37.885605,-29.668065,48.435100000000006,37.39155,-77.61825,-88.773625,88.16752500000001,96.496975,-17.07674,-11.306415,-27.164340000000003,-23.144375,9.794575,11.6154,60.8763,62.82385,-11.8685,-11.982875,-1.402475,-1.059675,-10.466,-10.9232,-2.87335,-3.171075,-8.99515,-8.8118,-0.631875,-0.404775,-1.0052,-0.8285499999999999,0.362575,0.414975,2.25365,2.243975
3,4.5,31.405824999999997,31.0154,11.105775,7.81405,-44.140080000000005,-31.425705,55.245825,39.239725,-93.70375,-95.67875,104.809525,103.4928,-20.133925,-11.9218,-31.39801,-24.53955,12.47385,12.55735,70.45525,70.333175,-11.905425,-12.006775,-1.405475,-1.013125,-10.49995,-10.993700000000002,-2.983625,-3.08495,-8.921825,-8.921875,-0.640875,-0.3853499999999999,-0.999425,-0.79325,0.3971749999999999,0.40495,2.243375,2.267525
4,5.0,34.878575,34.18795,11.3162,8.2996,-46.923930000000006,-32.940554999999996,58.240125,41.2401,-101.62449999999998,-102.654625,112.94045,110.9541,-21.285135,-12.433555000000002,-33.48613,-25.826645,13.5547,13.2884,79.08145,78.276625,-11.93455,-12.016025,-1.34535,-0.963425,-10.589275,-11.0526,-2.913625,-3.002775,-9.02095,-9.0133,-0.610125,-0.36445,-0.959875,-0.75705,0.3886,0.388775,2.26735,2.2894750000000004
5,5.5,38.367175,38.313025,11.5967,9.276125,-49.105635,-35.614695,60.70235,44.8908,-108.621125,-114.907375,120.2177,124.183375,-22.187555,-13.532125,-35.120104999999995,-27.8486,14.4263,14.5863,87.93664999999999,87.888925,-11.9568,-12.0168,-1.2799,-0.92945,-10.6769,-11.08735,-2.831075,-2.999125,-9.125725,-9.0177,-0.5782,-0.353875,-0.915225,-0.728325,0.376,0.380775,2.2920000000000003,2.2939
6,6.0,43.536424999999994,43.146425,10.9643,8.541775,-55.08333,-38.950320000000005,66.0476,47.4921,-123.712875,-131.7315,134.6768,140.273025,-25.171915,-14.86765,-39.09362,-30.36916,16.462625,16.5151,100.4128,99.1066,-12.007175,-12.06105,-1.26525,-0.90265,-10.742,-11.1584,-2.841575,-3.053125,-9.1656,-9.008,-0.5781000000000001,-0.34525,-0.89785,-0.705325,0.37815,0.38285,2.306425,2.29695
7,6.5,49.74125000000001,48.6079,10.06695,7.29125,-62.3148,-42.673185,72.38175,49.96445,-142.34762500000002,-150.398375,152.41469999999998,157.68975,-28.788755,-16.379785,-43.90027500000001,-33.13065,18.841050000000003,18.8118,115.3,111.925825,-12.05665,-12.109025,-1.252775,-0.8778,-10.80385,-11.231225,-2.86175,-3.09405,-9.1949,-9.014975,-0.578675,-0.3377,-0.88245,-0.6831499999999999,0.3788,0.38705,2.318,2.3026
8,7.0,55.437075,54.4058,10.224875,6.872475,-66.31049999999999,-45.58368,76.535375,52.4561,-154.60174999999998,-164.64012499999998,164.826625,171.512725,-30.64257,-17.527725,-46.697275000000005,-35.383795,20.101575,20.36235,129.7202,126.47905,-12.0746,-12.132725,-1.19615,-0.83775,-10.87845,-11.295,-2.788775,-3.0261,-9.285825,-9.106625,-0.5527,-0.322825,-0.842325,-0.6517,0.362575,0.3742999999999999,2.339975,2.324725
9,7.5,62.0988,62.01275,10.4382,6.0843,-71.2968,-51.283485000000006,81.735,57.367775,-170.256625,-188.018375,180.69445,194.1028,-33.050635,-20.197825,-50.10458,-39.398025,21.856025,23.0715,146.35335,144.644375,-12.090925,-12.160975,-1.148125,-0.826875,-10.9428,-11.334075,-2.7417,-3.03185,-9.34925,-9.1291,-0.532225,-0.326225,-0.8068250000000001,-0.6364,0.35195,0.3721,2.3568,2.332525
10,8.0,70.34045,70.655325,10.9821,4.874875,-79.18395,-57.46443,90.16605,62.339324999999995,-192.923125,-214.9935,203.90535,219.868625,-37.116725,-22.952745,-55.226825,-43.85585,24.66595,26.327525,165.81965,165.199675,-12.102875,-12.190124999999998,-1.125725,-0.81325,-10.97715,-11.3769,-2.7426999999999997,-3.04275,-9.3602,-9.1474,-0.5277000000000001,-0.325275,-0.78515,-0.62155,0.3506749999999999,0.37265,2.3574,2.3381499999999997
11,8.5,79.091625,79.57187499999999,10.804475,4.03085,-85.31609999999999,-61.408455,96.120575,65.439325,-210.98375,-237.09575,221.787975,241.12685,-40.02995,-24.32689,-59.469665,-47.065905,26.809375000000003,28.8221,187.83395,187.61995,-12.1224,-12.20845,-1.0787,-0.77165,-11.0437,-11.436775,-2.6675500000000003,-2.979525,-9.4548,-9.228925,-0.506125,-0.30605,-0.7519,-0.5921500000000001,0.338975,0.362225,2.374925,2.357925
12,9.0,88.85627500000001,90.78515,10.734075,2.9776249999999997,-91.76895,-68.5452,102.503025,71.522825,-231.39175,-272.34375,242.125325,275.322625,-43.023365,-27.23563,-64.01879,-52.59251,29.257375,33.609649999999995,212.3895,214.36649999999997,-12.138225000000002,-12.22635,-1.032775,-0.7549250000000001,-11.105449999999998,-11.47145,-2.6041,-2.99955,-9.5341,-9.226775,-0.484175,-0.300125,-0.7204250000000001,-0.57955,0.32925,0.37015,2.390275,2.361375
13,9.5,101.07825,103.94175,10.925775,1.7069,-100.83015,-77.01705,111.755925,78.72395,-256.649125,-311.53362500000003,267.575775,313.23765000000003,-47.25211,-30.56601,-70.34635,-59.230475,32.5664,38.98195,242.897,245.9315,-12.150925,-12.242725,-0.997525,-0.740875,-11.153375,-11.501825,-2.5391,-2.996875,-9.611775,-9.245875,-0.467475,-0.294025,-0.69595,-0.569825,0.322175,0.374975,2.403075,2.3661749999999997
14,10.0,117.6585,119.52925,11.04555,-1.045925,-115.0023,-88.0416,126.04785,86.995675,-292.59725000000003,-357.702625,303.64055,356.656575,-53.85906,-35.07444,-80.25755,-67.73517999999999,37.7103,45.372275,283.81675,283.5815,-12.1651,-12.267875,-0.9774,-0.736525,-11.1877,-11.53135,-2.486825,-2.992425,-9.678325,-9.275424999999998,-0.45775,-0.293325,-0.6820999999999999,-0.566475,0.320525,0.37955,2.4122,2.3725750000000003
