,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,22.982574999999997,20.736475,-1.385625,-9.9888,-33.33525,-28.00764,31.94965,18.018825,-92.347375,-100.241625,90.961625,90.2527,-16.380405,-12.26523,-22.516275,-20.52259,9.8595,10.042625,51.811800000000005,47.07265,-12.3193,-12.740725,-1.45045,-1.3505,-10.868799999999998,-11.390225,-4.018174999999999,-4.8353,-8.301124999999999,-7.905449999999999,-0.7128249999999999,-0.59065,-0.97985,-0.988175,0.429,0.484225,2.254375,2.27
1,3.5,26.3533,23.841125,-2.098625,-10.720675,-36.108105,-29.96124,34.00945,19.240575,-102.062625,-109.607375,99.963875,98.886825,-17.681505,-12.86076,-24.451904999999996,-22.19872,10.87735,10.66205,60.53680000000001,55.3092,-12.338625,-12.7087,-1.370175,-1.2566,-10.96845,-11.4521,-3.8729,-4.5981000000000005,-8.465775,-8.1106,-0.671025,-0.538975,-0.92795,-0.93025,0.41275,0.44715,2.29715,2.3199
2,4.0,30.47905,27.3209,-2.744325,-11.2446,-39.651135,-31.667385000000003,36.906825,20.422825,-113.04875,-118.97325,110.304425,107.72865,-19.480925,-13.313745,-26.788475,-23.72544,12.0623,11.301150000000002,71.0658,64.524,-12.34905,-12.670575,-1.30095,-1.159075,-11.048125,-11.51155,-3.70905,-4.35505,-8.639975,-8.315525000000001,-0.6392,-0.487125,-0.879,-0.868,0.395725,0.4135999999999999,2.33165,2.36175
3,4.5,34.5359,31.242425,-3.39365,-11.80885,-42.15111,-33.42864,38.757450000000006,21.6198,-120.8485,-128.77887500000003,117.45485,116.96965,-20.60866,-13.80327,-28.58477,-25.286245,12.712025,12.035175,81.964175,74.901375,-12.357275,-12.637,-1.220525,-1.0699500000000002,-11.13675,-11.567,-3.4992,-4.1221499999999995,-8.858025,-8.514825,-0.596775,-0.441775,-0.82775,-0.8092249999999999,0.3681,0.3852,2.3732749999999996,2.3974249999999997
4,5.0,38.954899999999995,35.95115,-4.104374999999999,-12.475875,-44.41101,-35.56128,40.306625,23.085425,-128.28425,-140.487375,124.180125,128.011375,-21.578404999999997,-14.438025,-30.250795000000004,-27.138620000000003,13.18215,13.0739,94.034375,87.271075,-12.364375,-12.606025,-1.140075,-0.989175,-11.224275,-11.61685,-3.29315,-3.90785,-9.0712,-8.698174999999999,-0.554,-0.4015749999999999,-0.7766500000000001,-0.754725,0.338375,0.36365,2.4139,2.4275
5,5.5,44.53127500000001,41.491225,-5.30335,-13.575325,-48.264,-38.499134999999995,42.960674999999995,24.923775,-140.071875,-155.47299999999998,134.7684,141.897925,-23.46208,-15.488385,-32.861495,-29.513225,14.594575,14.840225,108.574975,101.358625,-12.378075,-12.58615,-1.083825,-0.927875,-11.294275,-11.6583,-3.145475,-3.7472,-9.232575,-8.838975,-0.52695,-0.373225,-0.7380500000000001,-0.711175,0.32775,0.3576249999999999,2.4381500000000003,2.4429
6,6.0,51.675549999999994,49.005300000000005,-7.2262,-15.141525,-54.078959999999995,-45.55866,46.85275,30.41715,-156.97050000000002,-183.746875,149.74455,168.605475,-26.331935,-18.81769,-36.774235,-34.410405,17.0048,18.932825,126.8132,118.54,-12.39885,-12.567975,-1.046525,-0.929675,-11.35235,-11.6383,-3.037625,-3.749575,-9.361225,-8.8184,-0.5096499999999999,-0.384,-0.711775,-0.7021499999999999,0.3291,0.386325,2.454025,2.418925
7,6.5,58.821575,57.26675,-8.51905,-17.827174999999997,-58.153245000000005,-52.18212,49.634175,34.35495,-169.242375,-212.930875,160.72295,195.10382500000003,-28.095005,-21.533605,-39.76698,-39.407104999999994,18.319875,22.924975,146.09140000000002,138.28185,-12.40385,-12.570325,-0.988625,-0.9112,-11.415225,-11.659075,-2.8772,-3.718225,-9.526575,-8.852075,-0.4777,-0.37605,-0.676125,-0.6881999999999999,0.311425,0.400325,2.48365,2.414675
8,7.0,66.746025,66.57107500000001,-9.707225,-20.0402,-62.0646,-59.34789,52.357375000000005,39.3077,-182.42975,-244.913625,172.72252500000002,224.87354999999997,-29.542274999999997,-24.365325,-42.896705,-44.877695,19.7219,27.396075,167.42037499999998,160.2244,-12.40445,-12.56005,-0.929875,-0.8915249999999999,-11.474575,-11.66855,-2.7332,-3.679,-9.67125,-8.881075000000001,-0.4426,-0.366075,-0.6427,-0.674275,0.295475,0.411525,2.508325,2.406825
9,7.5,75.87735,75.486525,-10.811825,-22.4117,-67.2324,-63.4623,56.420575,41.0506,-199.886375,-266.7325,189.074675,244.3208,-31.39018,-25.543545,-47.086380000000005,-48.457155,21.750575,30.2377,191.3943,183.1072,-12.401475,-12.5559,-0.886075,-0.840725,-11.515425,-11.715175,-2.63435,-3.533525,-9.76715,-9.022375,-0.4137,-0.33845,-0.620525,-0.642075,0.2866499999999999,0.4006,2.522425,2.4257
