,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,11.64445,10.80905,12.65755,11.19415,-23.86602,-18.43875,36.523575,29.6329,-51.672999999999995,-54.313625,64.33055,65.507975,-11.29574,-7.343909999999999,-16.80968,-14.13707,5.70025,5.3294500000000005,20.9832,18.8286,-11.17135,-11.223475,-2.048525,-1.70565,-9.122825,-9.517825,-4.4376999999999995,-5.0265249999999995,-6.733625,-6.19695,-0.96535,-0.6803750000000001,-1.437475,-1.310025,0.489525,0.493375,1.8018,1.741425
1,3.5,12.657825,12.443775,13.869525,10.481975,-25.96488,-22.145175,39.8344,32.62715,-56.980625,-68.61075,70.84985,79.092825,-12.332895,-9.053925,-18.23081,-16.68884,6.284225,7.61975,22.536875,20.82565,-11.1626,-11.4164,-2.050275,-1.779175,-9.11235,-9.637225,-4.501825,-5.51505,-6.660825,-5.901350000000001,-0.9699,-0.7292000000000001,-1.43455,-1.344625,0.4965,0.61255,1.78035,1.67305
2,4.0,13.75335,13.435149999999998,14.530075000000002,10.27225,-28.252875,-23.823899999999995,42.78295,34.096175,-62.44425,-75.335,76.974375,85.60707500000001,-13.444105,-9.74781,-19.75,-17.934445,6.990499999999999,8.604975,24.517975,22.4803,-11.202,-11.4941,-2.05365,-1.7728000000000002,-9.14835,-9.721325,-4.5408,-5.608549999999999,-6.661225,-5.8855249999999995,-0.974575,-0.72725,-1.4321,-1.338525,0.50835,0.640675,1.7825,1.672725
3,4.5,14.848225,14.508425,15.0599,10.00125,-30.776175,-25.46712,45.836025,35.4684,-68.261,-80.64725,83.321025,90.648675,-14.776145,-10.561205,-21.382205,-19.044485,7.6876,9.240525,26.494375,24.6885,-11.24425,-11.569425,-2.07205,-1.7549249999999998,-9.172175,-9.814475,-4.597725,-5.559475,-6.6465000000000005,-6.0099,-0.991875,-0.729375,-1.4358,-1.315525,0.5177999999999999,0.6370750000000001,1.784175,1.701275
4,5.0,16.571325,15.4744,15.639874999999998,9.748425,-34.995885,-26.649,50.635774999999995,36.397425000000005,-80.43275,-85.72475,96.072375,95.472875,-17.138645,-11.0795,-23.957335,-19.909265,9.259125,9.85535,29.0008,26.732049999999997,-11.31485,-11.628825,-2.1113,-1.721825,-9.20355,-9.907,-4.85415,-5.54035,-6.460675,-6.088475000000001,-1.03105,-0.7171749999999999,-1.44165,-1.289,0.558825,0.637,1.7499,1.7272
5,5.5,18.538425,16.702725,15.97205,9.6397,-39.323115,-28.23816,55.29515,37.877875,-92.90075000000002,-93.0625,108.87255,102.70195,-19.512665,-11.688395,-26.62728,-21.13563,10.87915,10.843225,32.1876,29.036375,-11.397175,-11.681675,-2.12075,-1.6903,-9.276425,-9.991325,-5.011625,-5.5718499999999995,-6.385549999999999,-6.10975,-1.049875,-0.7010000000000001,-1.432975,-1.267875,0.586875,0.649275,1.73615,1.7382
6,6.0,20.202875,18.828899999999997,16.2743,10.09575,-42.171344999999995,-31.974315,58.44562500000001,42.07005,-100.6305,-107.115375,116.9048,117.2115,-20.971475,-13.51049,-28.50131,-23.680065,12.08705,13.1494,35.5565,32.099175,-11.453225,-11.722625,-2.086975,-1.69795,-9.366225,-10.024725,-4.981400000000001,-5.688875,-6.471825,-6.0338,-1.035475,-0.718375,-1.407525,-1.259275,0.5983499999999999,0.69845,1.75985,1.704675
7,6.5,22.3258,21.0184,16.7405,9.802075,-45.912255,-34.551779999999994,62.652725,44.353875,-111.575375,-119.204375,128.31575,129.006575,-22.895295,-14.48334,-30.95462,-25.7154,13.65265,14.77975,39.694375,36.441625,-11.508975,-11.792525,-2.056125,-1.643775,-9.45285,-10.14875,-4.998,-5.671225,-6.510950000000001,-6.121275,-1.023,-0.6895749999999999,-1.383325,-1.224425,0.611575,0.7032,1.77785,1.733725
8,7.0,25.348699999999997,24.490074999999997,16.350975,8.693325,-51.322035,-39.59988,67.673,48.2932,-127.494625,-140.183625,143.84547500000002,148.876575,-25.639015,-16.71669,-34.519805,-29.36663,15.880225,17.696725,45.484849999999994,43.12457499999999,-11.6138,-11.90395,-2.0244,-1.616925,-9.5894,-10.287025,-5.029975,-5.7241,-6.583825,-6.17985,-1.0093,-0.682675,-1.3591000000000002,-1.199325,0.626525,0.72265,1.79425,1.76085
9,7.5,30.446425,29.70975,15.260475,7.299575,-61.81545,-47.856584999999995,77.075925,55.15615,-154.373875,-171.734125,169.634475,179.033825,-31.011065,-20.58987,-41.4143,-35.122745,19.71235,22.179,54.8537,52.843149999999994,-11.757675,-12.013275,-2.030075,-1.6108000000000002,-9.727625,-10.40245,-5.070600000000001,-5.780825,-6.6871,-6.23245,-1.016525,-0.6926,-1.357675,-1.1815000000000002,0.647475,0.746575,1.801575,1.77855
