,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,14.98935,15.45755,-2.568075,-8.9214,-28.561245,-22.54986,25.9932,13.62845,-88.721125,-114.814,86.153125,105.89265,-12.574715,-8.261635,-20.85411,-18.09351,9.248825,13.386875,30.960925,29.052925,-12.430400000000002,-12.837025,-1.9055,-1.459025,-10.5249,-11.377975,-5.919,-7.428425000000001,-6.51135,-5.408575,-0.83925,-0.5322,-1.391775,-1.165475,0.61705,0.8664000000000001,2.06555,1.87955
1,3.5,16.97385,17.981424999999998,-2.163075,-11.046975,-32.435175,-27.22317,30.272075,16.1762,-102.48625,-137.359375,100.323175,126.31235,-14.205485,-10.046355,-23.713555,-21.78086,10.695375,16.265700000000002,34.510175,33.179624999999994,-12.3866,-12.874225,-1.91105,-1.5141250000000002,-10.475525,-11.3601,-6.03795,-7.6404,-6.348649999999999,-5.233825,-0.83775,-0.55615,-1.398475,-1.205375,0.630125,0.90525,2.033175,1.845
2,4.0,20.838749999999997,20.64945,-4.947525,-12.353375,-43.441905,-32.151645,38.4944,19.79825,-138.090625,-159.93075,133.143225,147.57757500000002,-19.93429,-11.92949,-30.780555,-25.720485,16.767475,18.560925,39.4363,38.0096,-12.496675,-12.858,-2.0848,-1.556975,-10.41185,-11.301025,-6.6267,-7.746600000000001,-5.86995,-5.111375000000001,-0.957825,-0.574575,-1.478975,-1.2386,0.8046249999999999,0.899625,1.8925,1.840475
3,4.5,23.541725000000003,23.5022,-3.58325,-13.277275,-49.74741,-37.441605,46.16415000000001,24.164325,-156.903,-183.624125,153.31975,170.346975,-23.071495,-14.03577,-35.047039999999996,-29.910805000000003,18.853575,21.02335,44.253475,43.09885,-12.4113,-12.824825,-2.11325,-1.592775,-10.298075,-11.23205,-6.664925,-7.81475,-5.7463750000000005,-5.01005,-0.980675,-0.59305,-1.489675,-1.263875,0.800875,0.8954,1.879825,1.833575
4,5.0,26.254075,26.545,-1.6993,-14.264375,-55.968405,-43.745235,54.269125,29.480875,-174.94762500000002,-209.40625,173.24845,195.14187500000003,-26.169365,-16.814315,-39.223195,-34.43773,20.999875,23.634675,48.7263,48.321675,-12.323775,-12.797075,-2.13185,-1.647775,-10.1919,-11.1493,-6.6636500000000005,-7.891125000000001,-5.660125,-4.90595,-0.997225,-0.6298250000000001,-1.4946000000000002,-1.290025,0.7998749999999999,0.89115,1.85595,1.820025
5,5.5,28.315975,28.849175,1.99005,-14.8562,-60.5703,-48.268139999999995,62.56035,33.4119,-188.479375,-227.062375,190.46954999999997,212.20605,-28.36824,-18.5845,-42.406835,-37.825025,22.9497,25.411075,51.263000000000005,52.444,-12.188825,-12.774625,-2.13915,-1.67295,-10.049675,-11.10165,-6.656275,-7.873075,-5.53255,-4.9015,-1.002175,-0.6416,-1.498075,-1.305925,0.8105,0.881525,1.81045,1.817575
6,6.0,29.826575,31.030625,3.439975,-16.199825,-63.654,-52.50243,67.093975,36.302625,-197.25775,-241.92925,200.697725,225.729425,-29.75479,-20.164115,-44.624525000000006,-41.18888,23.916125,27.188575,53.650650000000006,56.59455,-12.14375,-12.781825,-2.134175,-1.6920000000000002,-10.00955,-11.089849999999998,-6.613474999999999,-7.798799999999999,-5.5302750000000005,-4.983025,-0.997875,-0.64745,-1.496525,-1.3225,0.8018500000000001,0.87685,1.798775,1.8235
7,6.5,31.961075,34.712700000000005,4.5253250000000005,-18.290525,-68.47604999999999,-60.68214,73.001375,42.3916,-212.371375,-267.62725,216.896825,249.336725,-32.130105,-23.93314,-47.85424,-47.07368,25.525525,30.567099999999996,56.792925,63.254900000000006,-12.117475,-12.786125000000002,-2.14255,-1.7480000000000002,-9.97495,-11.038125,-6.644674999999999,-7.711775,-5.472799999999999,-5.074375,-1.00585,-0.68655,-1.49805,-1.35025,0.798675,0.881175,1.77695,1.8217
8,7.0,35.042075,37.582325,5.0318000000000005,-18.6633,-76.53074999999998,-66.81929999999998,81.56255,48.15599999999999,-236.701375,-287.650875,241.7328,268.9877,-36.457445,-26.46414,-52.93532,-51.607055,28.536575,33.51545,60.991474999999994,67.966425,-12.1155,-12.755725,-2.1840499999999996,-1.77785,-9.931450000000002,-10.977875,-6.7547999999999995,-7.656175,-5.3607,-5.0995,-1.040875,-0.702075,-1.511325,-1.3689,0.81435,0.89235,1.740525,1.80785
9,7.5,38.314325,41.422625,5.3675500000000005,-17.77805,-85.22954999999999,-76.43445,90.5971,58.656400000000005,-264.78437499999995,-316.15225,270.1523,298.3742,-41.24463,-31.100769999999997,-58.48545,-58.22352000000001,32.2614,38.880975,65.425125,73.300225,-12.118875,-12.688375,-2.224375,-1.844975,-9.894475,-10.8434,-6.91075,-7.635025,-5.208125,-5.053375,-1.07575,-0.748675,-1.5255,-1.401375,0.841925,0.939225,1.7076250000000002,1.7689
