,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,14.57685,15.389475,26.558375,16.253825,-19.110015,-21.069090000000003,45.66835,37.322875,-42.4536375,-60.931749999999994,69.0123,77.185475,-7.6529905,-8.28208,-14.59102,-16.1892,4.4556,7.93275,27.844625,28.875550000000004,-10.4181,-11.19765,-1.302225,-1.37125,-9.115875,-9.826425,-2.92335,-3.968375,-7.4947,-7.229275,-0.518075,-0.541075,-1.001375,-1.057675,0.308575,0.5167999999999999,1.901775,1.872275
1,3.5,14.8021,16.175575000000002,27.010175,16.954625,-19.41813,-22.33629,46.428325,39.2909,-42.95215,-63.627875,69.96245,80.582375,-7.776033,-8.71539,-14.82173,-17.230895,4.5344999999999995,8.15025,28.238475,30.4825,-10.41605,-11.20685,-1.30335,-1.3831250000000002,-9.11265,-9.823675,-2.913025,-3.9417,-7.502974999999999,-7.265124999999999,-0.5186999999999999,-0.54165,-1.002075,-1.0708,0.309425,0.5050749999999999,1.899425,1.881
2,4.0,15.72265,18.179875000000003,28.211699999999997,15.87385,-21.55386,-27.019395000000003,49.765575,42.89325,-47.6228375,-77.26775,75.83435,93.14135,-8.9129025,-10.788875,-16.216255,-20.577315,5.533725,10.305675,29.5128,34.103425,-10.44695,-11.38365,-1.36075,-1.488225,-9.0862,-9.895425,-3.033825,-4.258325,-7.413125,-7.125325,-0.559275,-0.5966750000000001,-1.0311,-1.137575,0.352875,0.5682499999999999,1.8704,1.873025
3,4.5,16.83815,19.85005,30.02565,16.028750000000002,-24.132495,-30.297555,54.158125,46.326325,-54.6695375,-86.435,84.69500000000001,102.46375,-10.255323,-12.055475,-18.02136,-23.129745,6.983625,11.5579,30.79945,37.300025,-10.45915,-11.44975,-1.420475,-1.527925,-9.038725,-9.9218,-3.240975,-4.361625,-7.218225,-7.088175000000001,-0.599175,-0.610325,-1.06685,-1.17065,0.412025,0.583525,1.8254,1.876575
4,5.0,17.8154,22.017325000000003,31.24275,16.87065,-25.6497,-34.727714999999996,56.89245,51.598375,-58.177162499999994,-96.384625,89.42,113.25515,-10.883555,-14.00136,-19.13054,-26.331985000000003,7.437125,13.069275,32.76265,41.29375,-10.490925,-11.491575,-1.4286249999999998,-1.5786,-9.0623,-9.912975,-3.261175,-4.3836,-7.229725,-7.107950000000001,-0.602425,-0.639,-1.071775,-1.201525,0.41525,0.594625,1.83565,1.873525
5,5.5,19.33,23.613625,32.742225,17.819925,-28.14693,-37.28163,60.88915,55.10155,-64.4675,-104.11587500000002,97.209475,121.935925,-12.004195,-14.880405,-20.89872,-28.407960000000003,8.226975000000001,14.10065,35.667100000000005,44.2148,-10.55425,-11.503375,-1.446975,-1.5798,-9.10725,-9.923575,-3.3331,-4.41425,-7.221150000000001,-7.089125,-0.614175,-0.633225,-1.080225,-1.208925,0.42385,0.597975,1.8423,1.870775
6,6.0,21.50305,26.3428,34.564125,18.33365,-31.829835,-41.92425,66.394,60.257875,-73.99375,-118.157,108.557875,136.4909,-13.68201,-16.713369999999998,-23.52875,-31.98842,9.43295,15.7595,39.815075,49.730900000000005,-10.64375,-11.562175,-1.473,-1.59205,-9.170725,-9.9701,-3.44105,-4.488849999999999,-7.202675,-7.073325,-0.630725,-0.637025,-1.09375,-1.219275,0.43725,0.5988249999999999,1.8494,1.886625
7,6.5,24.1139,30.1403,37.08655,17.820925,-36.344775,-48.50302500000001,73.431325,66.32395,-84.9225,-135.39175000000003,122.0093,153.212425,-15.7153,-19.555585,-26.773965,-36.793925,10.794225,17.833475,44.875125,58.051175,-10.71515,-11.666975,-1.50175,-1.6095000000000002,-9.213425,-10.057525,-3.5230750000000004,-4.49425,-7.192075,-7.172750000000001,-0.6474000000000001,-0.6509499999999999,-1.1103,-1.224825,0.446425,0.59205,1.859275,1.925175
8,7.0,27.68775,33.983925,39.95587499999999,18.30595,-42.875789999999995,-53.87088,82.83167499999999,72.17682500000001,-101.548,-150.07975000000002,141.503875,168.3857,-18.88026,-21.688995,-31.21401,-40.89637,12.718175,19.780475,51.8161,66.470225,-10.812525,-11.7199,-1.5452249999999998,-1.585225,-9.267275,-10.1347,-3.67125,-4.417225,-7.141275,-7.302725000000001,-0.679325,-0.6401,-1.128125,-1.20695,0.4586,0.582275,1.8701,1.955475
9,7.5,31.766675,38.45965,42.707675,19.710575,-50.098335,-60.700815,92.80599999999998,80.4114,-119.336375,-169.448625,162.044175,189.15932499999997,-22.3193,-24.659825,-36.191285,-45.900445000000005,14.657000000000002,22.195925000000003,59.922525,75.260075,-10.912775,-11.746275,-1.575,-1.5783,-9.3378,-10.16795,-3.760525,-4.406375,-7.15225,-7.339875000000001,-0.700975,-0.6428,-1.1403,-1.1965249999999998,0.460925,0.5772499999999999,1.885375,1.956575
10,8.0,36.2817,42.66267500000001,45.637875,20.89725,-57.903195,-65.93520000000001,103.54105,86.83245000000001,-137.94187499999998,-186.813,183.580125,207.71024999999997,-25.92982,-26.736715,-41.659945,-49.90791,16.696625,24.32775,68.85945000000001,83.87205,-11.000225,-11.769025,-1.59465,-1.545475,-9.405575,-10.223575,-3.805575,-4.379025,-7.194625,-7.389975000000001,-0.7138,-0.6281000000000001,-1.149625,-1.1724750000000002,0.459925,0.5703,1.8972,1.965775
11,8.5,41.0897,47.358,49.548375,21.83595,-65.25472500000001,-70.99005,114.8031,92.826,-155.016375,-203.317125,204.564875,225.1532,-29.26595,-28.725495,-46.86637,-53.798825,18.639675,26.769025000000003,78.5522,94.2601,-11.0526,-11.797825,-1.587125,-1.4989,-9.4655,-10.298875,-3.77545,-4.293049999999999,-7.277175,-7.50475,-0.7118,-0.607725,-1.142125,-1.138275,0.453425,0.565275,1.9112,1.990325
12,9.0,46.1049,52.738699999999994,52.721225,22.3915,-72.05085,-76.38284999999999,124.772075,98.77435,-172.1215,-222.566375,224.842975,244.9575,-32.26551,-30.789149999999996,-51.796035,-58.013875,20.64455,29.404725,89.2038,106.489825,-11.115225,-11.834375,-1.5619,-1.448225,-9.5533,-10.38615,-3.73525,-4.2197499999999994,-7.379899999999999,-7.614625,-0.699475,-0.584775,-1.124675,-1.10185,0.447575,0.5575249999999999,1.93445,2.0191999999999997
13,9.5,53.579975,59.36335,55.609425,23.869275,-82.10265,-82.3518,137.712075,106.22107499999998,-195.9965,-244.90575,251.605675,268.775025,-37.05972,-33.041290000000004,-58.732479999999995,-62.725314999999995,23.662425,32.27805,106.07784999999998,121.584725,-11.221,-11.856875,-1.531675,-1.3871250000000002,-9.68935,-10.469725,-3.65925,-4.125075,-7.561825000000001,-7.731825,-0.691425,-0.55725,-1.097125,-1.057925,0.441425,0.543675,1.979625,2.0481749999999996
14,10.0,63.4949,69.1583,60.32825,27.388349999999996,-95.66445,-91.9761,155.9927,119.36445,-229.349875,-279.076125,289.678,306.46435,-43.91051,-37.253890000000006,-67.72095999999999,-69.75173000000001,27.866850000000003,36.548875,127.643275,143.18595,-11.308925,-11.86295,-1.506175,-1.329875,-9.802725,-10.5331,-3.612875,-4.0349,-7.6961,-7.828075,-0.6914250000000001,-0.538975,-1.0672,-1.00915,0.43875,0.528425,2.0102,2.07045
