,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,19.51695,17.41095,-5.029725,-11.6659,-25.708319999999997,-20.329425,20.6786,8.663499999999999,-82.812625,-103.93225,77.783025,92.26635,-11.792665,-8.6658,-18.20528,-15.44259,9.93185,11.102375,44.788325,39.834825,-12.5167,-12.928475,-1.31725,-1.167075,-11.1995,-11.7614,-4.243125,-5.9684,-8.2736,-6.960075,-0.604325,-0.496675,-0.932925,-0.885275,0.5088999999999999,0.6377499999999999,2.29485,2.287675
1,3.5,22.90485,20.637525,-6.395700000000001,-13.290575,-29.365259999999996,-22.958324999999995,22.969575,9.66775,-94.815375,-117.298125,88.41980000000001,104.007425,-13.33391,-9.53179,-20.918799999999997,-17.660285000000002,11.1804,12.2929,53.408249999999995,48.04075,-12.538249999999998,-12.90265,-1.282075,-1.1121249999999998,-11.256175,-11.79055,-4.139525,-5.6831499999999995,-8.3987,-7.219524999999999,-0.58215,-0.4612499999999999,-0.913325,-0.854725,0.488125,0.5957250000000001,2.3317499999999995,2.327625
2,4.0,27.325,25.238575,-7.76655,-15.569575,-35.165625,-28.4781,27.399050000000003,12.90855,-110.871875,-139.19125,103.1052,123.621675,-16.059545,-12.06171,-24.97042,-21.73942,12.808425,14.5244,64.25225,58.900175,-12.54325,-12.875225,-1.286925,-1.12755,-11.2563,-11.747675,-4.057525,-5.513450000000001,-8.485724999999999,-7.3618,-0.587575,-0.476275,-0.913625,-0.8586750000000001,0.468725,0.575575,2.3514,2.3335
3,4.5,32.4312,31.0274,-8.184925,-16.03835,-42.016995,-36.643964999999994,33.832075,20.605600000000003,-127.53175,-168.42025,119.346825,152.38215000000002,-19.46073,-16.087665,-29.555255,-27.37357,14.5975,18.026125,76.70164999999999,71.0895,-12.511375,-12.77525,-1.295575,-1.1801500000000005,-11.215799999999998,-11.595125,-3.93235,-5.426424999999999,-8.579025,-7.3488,-0.6000000000000001,-0.516525,-0.911175,-0.879075,0.450075,0.581075,2.365075,2.290975
4,5.0,37.344825,36.165175,-8.165775,-15.987624999999998,-47.81979,-42.36465,39.654,26.377025,-141.50475,-189.68512500000003,133.338725,173.697125,-22.049385,-18.53122,-33.70572,-31.707245,15.91495,20.46075,88.9719,82.8231,-12.47765,-12.7005,-1.2805,-1.17055,-11.19715,-11.52995,-3.789125,-5.243650000000001,-8.688524999999998,-7.456849999999999,-0.590525,-0.510375,-0.9027,-0.873525,0.42615,0.5658749999999999,2.38245,2.289925
5,5.5,43.00635,42.151775,-8.585875000000001,-18.08215,-55.12998,-49.680705,46.544075,31.598575000000004,-158.71475,-215.784,150.12912500000002,197.70185,-25.627225,-21.839945,-38.63734,-36.96869,17.443600000000004,23.33755,102.722175,96.78605,-12.458625,-12.68755,-1.2819,-1.177925,-11.17675,-11.50965,-3.6905,-5.118275,-8.768125,-7.569274999999999,-0.5961000000000001,-0.516325,-0.898725,-0.874225,0.4056,0.553825,2.38855,2.295925
6,6.0,49.39865,48.586825000000005,-9.262475,-20.1791,-63.45344999999999,-56.73376499999999,54.190975,36.554675,-178.526,-242.225625,169.263775,222.04665,-29.77774,-24.948839999999997,-44.207365,-42.037185,19.518475,26.359375000000004,118.24202499999998,111.84065,-12.446525,-12.67405,-1.2845,-1.1672,-11.162025,-11.506825,-3.613975,-4.984825000000001,-8.8325,-7.689275,-0.602975,-0.51225,-0.8951500000000001,-0.8632249999999999,0.3951249999999999,0.542625,2.39365,2.301725
7,6.5,55.054875,55.315725,-10.12205,-22.244525,-70.08179999999999,-63.28155,59.95975,41.037025,-195.056125,-266.90975000000003,184.93395,244.664975,-32.84887,-27.72896,-48.873205,-46.89884500000001,21.292575,29.1103,132.471375,128.1909,-12.44285,-12.660975,-1.272925,-1.143625,-11.1699,-11.5173,-3.542925,-4.82475,-8.899925,-7.8362,-0.59675,-0.5003,-0.887875,-0.84625,0.38675,0.526375,2.406175,2.317325
8,7.0,61.7133,62.560925000000005,-12.4599,-24.166125,-78.6588,-70.84275,66.1989,46.676625,-219.309125,-292.859875,206.84884999999997,268.693625,-36.96723,-31.048005,-54.78,-52.46337,24.031425,32.04145,148.717325,145.742325,-12.460925,-12.645125,-1.274575,-1.13205,-11.1863,-11.513075,-3.553675,-4.680875,-8.907225,-7.964275,-0.5990500000000001,-0.49525,-0.8877250000000001,-0.8369500000000001,0.3894,0.512275,2.4097999999999997,2.3295
9,7.5,68.78632499999999,69.44865,-15.394425,-25.747,-87.58635,-76.97595,72.191925,51.22895,-245.136125,-314.552625,229.741825,288.8055,-41.077755,-33.438579999999995,-61.09282,-57.23542,27.303175,34.457125000000005,165.896775,162.97195,-12.482825,-12.629625,-1.2733,-1.108125,-11.2095,-11.521525,-3.5637250000000003,-4.529025,-8.91905,-8.100575,-0.597175,-0.480575,-0.88815,-0.82265,0.396925,0.496225,2.4117749999999996,2.34655
