,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,11.77465,12.348625,5.465925,0.7233,-23.07951,-24.08379,28.545425,24.807075000000005,-58.473125,-70.994125,63.939049999999995,71.7175,-9.76514,-9.813145,-17.227584999999998,-19.02489,5.409975,7.443999999999999,22.50285,23.673125,-11.794925,-12.192849999999998,-1.960025,-1.946025,-9.834875,-10.24685,-4.966,-5.70725,-6.828925,-6.485575000000001,-0.828975,-0.77485,-1.4625750000000002,-1.5121,0.4594250000000001,0.5982500000000001,1.911125,1.921725
1,3.5,13.950225,13.985,6.309575000000001,0.7541249999999998,-26.68098,-26.44257,32.99055,27.196675,-68.644625,-79.48949999999999,74.95415,80.24385000000001,-11.48319,-10.75745,-19.71698,-20.64496,6.453925,8.3375,26.92985,27.01235,-11.8068,-12.1999,-1.912525,-1.888525,-9.894275,-10.311375,-4.920674999999999,-5.6601,-6.886125,-6.5398,-0.8228249999999999,-0.75725,-1.4129,-1.45825,0.4626249999999999,0.5937250000000001,1.930425,1.933825
2,4.0,16.613349999999997,16.304199999999998,7.084575,0.340175,-31.930215,-30.479069999999997,39.01480000000001,30.819275,-84.885625,-94.33675,91.970575,94.676425,-14.188545,-12.493925,-23.142920000000004,-23.244860000000003,8.576025000000001,10.37165,31.389725,31.18055,-11.83265,-12.2368,-1.9219,-1.86945,-9.910749999999998,-10.367325,-5.109475,-5.7806750000000005,-6.7231499999999995,-6.456175,-0.85365,-0.76305,-1.3924,-1.420125,0.5162,0.636,1.889425,1.912625
3,4.5,18.3883,17.9834,8.053925,0.65125,-33.8949,-32.142224999999996,41.948825,32.7935,-91.122375,-101.738625,99.176425,102.38975,-15.093205,-13.201429999999998,-24.53497,-24.64233,9.157225,11.25025,35.245324999999994,34.77997499999999,-11.821125,-12.2208,-1.843225,-1.7868,-9.977900000000002,-10.433975,-4.95545,-5.64835,-6.8656500000000005,-6.572475,-0.82035,-0.729125,-1.3335750000000002,-1.3622,0.498,0.6249250000000001,1.916725,1.934725
4,5.0,20.22725,20.151925,7.979125,1.48495,-35.45103,-34.146735,43.43015,35.631675,-95.9385,-109.691125,103.91762500000002,111.1762,-15.76809,-14.08063,-25.67444,-26.13814,9.563225,12.106650000000002,39.99075,39.523425,-11.864624999999998,-12.18385,-1.752575,-1.69365,-10.11205,-10.490175,-4.743,-5.434425,-7.1216,-6.749375,-0.779175,-0.6941249999999999,-1.26875,-1.2896999999999998,0.4728,0.6,1.977075,1.96225
5,5.5,22.5944,23.04515,7.706999999999999,2.152525,-37.701045,-37.3521,45.40805,39.5046,-102.218625,-120.984125,109.926,123.136775,-16.89008,-15.66405,-27.172945,-28.21902,10.089,13.47365,46.043175000000005,45.623149999999995,-11.917975,-12.164575,-1.66855,-1.620175,-10.2494,-10.544425,-4.52405,-5.24455,-7.3939,-6.920025000000001,-0.7472749999999999,-0.6769000000000001,-1.20225,-1.219975,0.4465249999999999,0.584275,2.037825,1.9802
6,6.0,25.1813,26.103575,7.440325,2.226975,-39.764235,-39.992325,47.204525,42.2193,-108.717875,-131.25425,116.158325,133.481225,-17.817304999999998,-16.897399999999998,-28.65751,-30.07465,10.646125,14.54415,52.734225,52.801275,-11.963575,-12.173025,-1.57905,-1.5315,-10.3845,-10.6415,-4.317375,-5.02435,-7.646224999999999,-7.14865,-0.7073,-0.6450500000000001,-1.137675,-1.148475,0.422775,0.556975,2.0942,2.0230499999999996
7,6.5,28.1939,29.5638,7.1905,2.45535,-42.100605,-42.70125,49.291125,45.1566,-117.1865,-142.507,124.377,144.9626,-18.80563,-18.080145,-30.394815,-32.086085000000004,11.3727,15.97255,60.4764,60.855225,-12.004,-12.1755,-1.4932,-1.4438,-10.5108,-10.7317,-4.1564250000000005,-4.816949999999999,-7.847575,-7.358549999999999,-0.666825,-0.609375,-1.077775,-1.08195,0.403375,0.5401,2.14505,2.058775
8,7.0,32.01835,33.63795,6.953225,2.7411250000000003,-44.924775,-45.43933499999999,51.87795,48.180475,-126.84125,-154.327875,133.794475,157.068875,-19.995675,-19.224124999999997,-32.49807,-34.165045,12.168475,17.417025000000002,70.438,70.5872,-12.041875,-12.177174999999998,-1.40305,-1.350325,-10.6388,-10.82685,-3.9615,-4.585125,-8.0804,-7.59205,-0.6243500000000001,-0.56965,-1.0147499999999998,-1.0128,0.38005,0.517625,2.199925,2.098725
9,7.5,37.02085,38.962525,6.708600000000001,2.4565750000000004,-48.5769,-48.66,55.285525,51.1166,-138.0575,-168.948625,144.7661,171.405325,-21.53582,-20.542195,-35.21678,-36.6028,13.044975,19.149975,83.508625,83.64045,-12.077775,-12.195725,-1.312125,-1.248475,-10.7657,-10.947225,-3.72915,-4.33415,-8.348675,-7.86155,-0.581575,-0.52585,-0.95105,-0.93725,0.35235,0.491375,2.255725,2.1468749999999996
