,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,30.378825,27.7659,-9.660225,-5.464849999999999,-51.4944,-33.093285,41.83415,27.62845,-111.774625,-124.538625,102.114275,119.07365,-25.03914,-13.10905,-35.102095,-25.48181,10.4498,14.18765,72.22265,60.6976,-12.576975,-12.4557,-1.69505,-1.19185,-10.881925,-11.263875,-3.67935,-4.485675,-8.897625,-7.970025,-0.8244,-0.47245,-1.155725,-0.918375,0.344,0.511075,2.377425,2.185975
1,3.5,34.7656,31.87325,-10.31475,-6.0291,-56.0973,-36.24507,45.782525,30.216,-121.18325,-137.404875,110.868,131.37515000000002,-27.24197,-14.173265,-38.281475,-28.095104999999997,10.9482,15.422425,83.81042500000001,70.78594999999999,-12.5557,-12.448075,-1.613575,-1.137125,-10.942099999999998,-11.310975,-3.4857250000000004,-4.311275,-9.069975,-8.136800000000001,-0.78375,-0.44505,-1.10135,-0.882075,0.3149,0.483925,2.410725,2.2208
2,4.0,39.01837499999999,36.2664,-11.571,-6.52145,-60.44475,-39.70779,48.87375,33.186325,-133.89237500000002,-152.82575000000003,122.32125,146.30405,-29.15714,-15.40042,-41.42806,-30.914705,12.48915,17.164499999999997,94.289725,81.17665,-12.55555,-12.438825,-1.54915,-1.0949,-11.0064,-11.3439,-3.4315,-4.214049999999999,-9.124025,-8.224775,-0.74745,-0.4247999999999999,-1.062,-0.852675,0.320075,0.473275,2.41655,2.238325
3,4.5,43.651775,41.13255,-12.77665,-7.5983,-65.23140000000001,-43.85330999999999,52.45475,36.255,-147.0745,-170.459375,134.29784999999998,162.86094999999997,-31.293844999999997,-16.898744999999998,-44.889455,-34.270424999999996,14.251725,19.3021,105.6653,92.721575,-12.5517,-12.443725,-1.494375,-1.06615,-11.057325,-11.377575,-3.369275,-4.14395,-9.182425,-8.299775,-0.716975,-0.4105999999999999,-1.0285000000000002,-0.8328,0.3265,0.4692249999999999,2.42065,2.2542
4,5.0,48.315025,46.1737,-13.3821,-8.871625,-69.30255,-48.015855,55.92045,39.1442,-157.64775000000003,-187.54525,144.26565,178.673625,-33.09356,-18.454995,-47.838885000000005,-37.650775,15.674925,21.45465,117.4621,104.81695,-12.535999999999998,-12.45115,-1.434375,-1.0399,-11.101575,-11.411225,-3.262925,-4.061225,-9.27305,-8.389925,-0.68505,-0.398975,-0.990275,-0.8142750000000001,0.32445,0.4646249999999999,2.431175,2.27005
5,5.5,53.2724,51.705575,-13.43615,-9.8756,-72.834,-52.340355,59.397850000000005,42.464749999999995,-165.794,-204.318625,152.3581,194.4429,-34.634155,-20.189405,-50.423115,-41.02356999999999,16.618125,23.56295,130.424575,118.241125,-12.511225,-12.449949999999998,-1.3672000000000002,-1.012275,-11.144025,-11.43765,-3.1121999999999996,-3.950825,-9.399,-8.499075,-0.6502249999999999,-0.3893999999999999,-0.946625,-0.791825,0.3119499999999999,0.455625,2.448275,2.28675
6,6.0,59.68985,58.6957,-13.559625,-11.904425,-78.12885,-59.34045,64.569225,47.436049999999994,-178.17137499999998,-232.167375,164.611625,220.26257500000003,-37.20289,-23.396655000000003,-54.03064,-46.048365,17.821624999999997,27.2875,146.9284,134.1748,-12.48615,-12.4617,-1.308925,-1.011,-11.177275,-11.450675,-2.984975,-3.95435,-9.501225,-8.507349999999999,-0.6233500000000001,-0.39725,-0.9053,-0.782575,0.298575,0.464775,2.46155,2.2859
7,6.5,68.105975,67.4162,-14.4726,-15.77555,-87.35294999999999,-70.1292,72.88034999999999,54.35365,-204.995,-270.85,190.52215,255.0742,-41.902629999999995,-28.385835,-60.07183499999999,-53.729789999999994,20.996375,32.858475,166.97915,153.5217,-12.4715,-12.4929,-1.2826,-1.040175,-11.188875,-11.452725,-3.00995,-4.016,-9.46155,-8.476925,-0.615375,-0.419525,-0.882175,-0.7948500000000001,0.3082749999999999,0.4871499999999999,2.4517249999999997,2.277325
8,7.0,76.777225,76.07187499999999,-16.523975,-17.25115,-95.30325,-77.49884999999999,78.779275,60.2477,-223.69825,-297.770625,207.174025,280.51985,-45.191705,-31.67328,-66.070325,-59.206455,22.549124999999997,35.8177,189.803875,174.69735,-12.4742,-12.48575,-1.241275,-1.018625,-11.232925,-11.467125,-2.9136,-3.912075,-9.560625,-8.573675000000001,-0.5886500000000001,-0.41455,-0.8606,-0.7757750000000001,0.2936999999999999,0.470425,2.47215,2.2967500000000003
9,7.5,87.04772499999999,86.03089999999999,-17.239424999999997,-18.1672,-105.2448,-85.46024999999999,88.005375,67.29305,-247.40425,-324.285875,230.164075,306.12104999999997,-49.737685,-35.087235,-73.14295,-65.06533999999999,25.0803,38.582125000000005,215.8225,199.608875,-12.45705,-12.4702,-1.20905,-0.993275,-11.248,-11.4769,-2.84215,-3.767700000000001,-9.614875,-8.7024,-0.5713750000000001,-0.4062,-0.840225,-0.7539500000000001,0.288125,0.44815,2.479375,2.320425
10,8.0,97.920375,96.48315,-15.86665,-19.79055,-114.34965,-94.2282,98.483,74.43764999999999,-268.65712499999995,-352.29337499999997,252.79185,332.50595,-53.642534999999995,-38.698455,-79.83134999999999,-71.6437,27.068975,41.416675,243.4775,226.135,-12.421025,-12.46415,-1.167775,-0.976575,-11.25325,-11.487575,-2.743625,-3.64995,-9.6774,-8.814175,-0.547825,-0.3995499999999999,-0.815275,-0.7404,0.276425,0.428975,2.4865000000000004,2.34395
11,8.5,109.4125,108.04675,-15.887175,-22.859900000000003,-124.70355,-105.0051,108.816375,82.1452,-292.04474999999996,-387.018625,276.15532500000006,364.15935,-58.36702,-43.29465,-87.1711,-79.5452,29.4951,45.239275000000006,272.86825,255.17375,-12.4042,-12.47065,-1.1397499999999998,-0.971875,-11.26445,-11.498775,-2.669225,-3.580925,-9.73505,-8.889724999999999,-0.533525,-0.3994499999999999,-0.7968,-0.734425,0.26955,0.41845,2.493925,2.361825
12,9.0,121.76975,120.00074999999998,-16.317125,-24.558275,-135.7971,-114.6147,119.479975,90.056425,-319.65387499999997,-423.289875,303.340375,398.734225,-63.46904,-47.297695,-95.0178,-86.77315,31.892650000000003,49.134725,304.5065,284.42625000000004,-12.39305,-12.463725,-1.1152,-0.9551,-11.277825000000002,-11.508625,-2.62505,-3.526675,-9.7679,-8.937025,-0.5212749999999999,-0.393025,-0.780375,-0.7215,0.2619249999999999,0.4092499999999999,2.5007,2.3703
13,9.5,135.20825,133.27475,-17.039575,-25.659825,-146.41815,-125.082,129.378575,99.422175,-348.40999999999997,-461.420875,331.370425,435.757675,-67.96842,-51.99455499999999,-102.8897,-94.285,35.04175,53.659099999999995,338.76075000000003,316.71375,-12.38505,-12.451625,-1.0829,-0.938525,-11.302125,-11.5131,-2.5768250000000004,-3.4617000000000004,-9.8082,-8.98995,-0.502775,-0.389175,-0.761075,-0.70605,0.25915,0.40245,2.5054749999999997,2.3765
14,10.0,151.508,148.4555,-18.668425,-27.881525,-163.35855,-139.1361,144.690125,111.254575,-388.390375,-506.254,369.724075,478.370975,-75.84325,-58.292435,-114.81115,-104.20669999999998,40.829025,59.288574999999994,378.92875,354.0855,-12.3822,-12.446875,-1.0782499999999997,-0.93725,-11.304,-11.50965,-2.5635000000000003,-3.40995,-9.8187,-9.036924999999998,-0.5006,-0.392,-0.7578,-0.700975,0.269475,0.399275,2.5010250000000003,2.385175
