,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,14.4852,11.02585,13.1063,11.252175,-22.716345,-16.575975,35.822675000000004,27.8281,-42.080875,-44.8838375,55.1873,56.135875,-10.34055,-6.48099,-16.183405,-12.735255,5.125025,5.183175,30.82145,20.846825000000003,-11.354175,-11.237675,-1.56825,-1.502425,-9.785925,-9.735275,-2.905125,-4.070875,-8.449024999999999,-7.1668,-0.71375,-0.588875,-1.1171000000000002,-1.1572,0.353825,0.47005,2.1277999999999997,1.89055
1,3.5,17.4828,13.0225,13.158125,10.705825,-28.535309999999996,-19.524375,41.69345,30.2302,-52.597375,-55.380375,65.755375,66.086,-13.438854999999998,-7.6641,-19.929005,-14.99299,6.568849999999999,6.60745,37.5893,24.973975,-11.5063,-11.43635,-1.63215,-1.498525,-9.87415,-9.93785,-3.008525,-4.25355,-8.49775,-7.182825,-0.7682500000000001,-0.5894,-1.139275,-1.15315,0.375725,0.507425,2.15005,1.9175
2,4.0,19.754725,15.376125,13.617675000000002,10.75965,-31.94178,-23.020155,45.559425,33.779825,-59.44175,-67.487125,73.059425,78.24665,-15.088885,-9.10749,-22.261285,-17.629565,7.6453,8.646,42.70185,29.487825,-11.569624999999998,-11.5589,-1.6168999999999998,-1.496525,-9.9527,-10.062375,-3.009,-4.390549999999999,-8.5606,-7.168324999999999,-0.763375,-0.5931250000000001,-1.126275,-1.148275,0.387,0.562475,2.161575,1.917375
3,4.5,22.9458,18.42085,13.7643,10.5767,-37.07004,-26.92812,50.83435,37.5048,-72.614875,-82.02074999999999,86.37905,92.59745,-17.6262,-10.700535,-25.718555,-20.6164,9.7205,11.02015,49.392,35.68305,-11.6591,-11.6847,-1.6155,-1.461425,-10.0436,-10.22325,-3.16465,-4.454675,-8.494499999999999,-7.229975,-0.7677,-0.5813999999999999,-1.120125,-1.12035,0.423625,0.5985,2.15255,1.936675
4,5.0,26.536275000000003,21.835625,12.8967,10.315925,-41.997765,-30.420689999999997,54.89445,40.736625,-85.787,-96.17775,98.68345,106.493425,-20.080585,-12.019105,-29.00144,-23.4196,11.82325,13.193375,57.520225,43.016725,-11.772975,-11.786525,-1.582625,-1.393,-10.19035,-10.393525,-3.23285,-4.407,-8.540149999999999,-7.3795,-0.756425,-0.550425,-1.0925,-1.0728,0.44555,0.604525,2.1676,1.9696
5,5.5,30.0213,25.993625,12.835625,10.051825,-45.542595,-34.5096,58.378225,44.56145,-95.026625,-113.12775,107.861875,123.179825,-21.667985,-13.645005,-31.545005,-26.576905,13.1733,15.59325,65.91560000000001,51.965225,-11.831425,-11.872325,-1.517,-1.327475,-10.31445,-10.544875,-3.165325,-4.3546,-8.666125000000001,-7.517725,-0.721575,-0.524925,-1.050475,-1.02265,0.4387999999999999,0.6002,2.195625,1.998725
6,6.0,34.0052,30.6618,12.766749999999998,9.31475,-49.368045,-38.69694,62.1348,48.0117,-105.66875,-130.7045,118.4355,140.0195,-23.304165,-15.266,-34.370505,-29.825494999999997,14.63735,17.8974,75.539675,62.61664999999999,-11.883575,-11.95525,-1.451775,-1.261825,-10.4318,-10.693425,-3.10745,-4.26525,-8.776074999999999,-7.69,-0.685125,-0.498,-1.0105,-0.97335,0.43045,0.584025,2.221425,2.041775
7,6.5,39.3748,36.217425,12.302175,8.598175000000001,-54.212399999999995,-43.26167999999999,66.51457500000001,51.859825,-118.757625,-150.18300000000002,131.06017500000002,158.78117500000002,-25.393085,-16.950785,-37.934124999999995,-33.486585000000005,16.518949999999997,20.379925,88.92295000000001,75.6728,-11.94655,-12.0216,-1.3768,-1.1942750000000002,-10.56975,-10.82735,-3.0161,-4.148874999999999,-8.93045,-7.87275,-0.6447499999999999,-0.4680499999999999,-0.9632,-0.9249999999999998,0.41955,0.562975,2.258375,2.089025
8,7.0,46.402725,42.511375,12.268775,8.3672,-61.3962,-48.11868,73.664975,56.485875,-137.350375,-171.515375,149.61902499999997,179.88245,-28.887184999999995,-18.715055,-42.817025,-37.400295,19.274525,23.224775,105.882475,90.3445,-11.994575,-12.062175000000002,-1.323125,-1.13165,-10.671475,-10.930475,-2.95995,-4.036175,-9.034625,-8.025974999999999,-0.622475,-0.440125,-0.922575,-0.87995,0.415375,0.5465,2.2818250000000004,2.124925
9,7.5,55.0278,50.7167,13.438325,7.371025,-71.69565,-55.03158,85.13397499999999,62.4026,-165.05287499999997,-200.396125,178.491075,207.767525,-33.952945,-21.48493,-49.771564999999995,-42.785525,23.486675,27.5828,125.317775,109.1146,-12.014775,-12.113625,-1.3028749999999998,-1.0849,-10.7119,-11.02875,-2.99945,-3.952375,-9.015375,-8.161249999999999,-0.6169499999999999,-0.423325,-0.904375,-0.843275,0.4267999999999999,0.543975,2.277375,2.151275
