,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,9.726075,9.38122,3.5082,4.4184,-20.69721,-16.44621,24.205399999999997,20.864575,-60.51649999999999,-44.018575000000006,64.02462500000001,48.4369,-10.16471,-7.0618365,-13.955005,-12.0989,5.496525,4.1846499999999995,17.443200000000004,17.64715,-11.8983,-11.7882,-2.1279999999999997,-1.753075,-9.770275000000002,-10.0351,-6.2221,-4.692375,-5.676225,-7.095825,-1.045125,-0.75355,-1.43485,-1.291,0.56515,0.446075,1.79345,1.881125
1,3.5,11.0842,10.6047,2.95095,4.08,-22.524015,-17.643494999999998,25.47495,21.723525,-67.26537499999999,-47.504575,70.21635,51.584475000000005,-10.96266,-7.516914999999999,-15.29187,-13.034895,6.199325,4.521475000000001,20.557325,20.748875,-11.992775,-11.87445,-2.0321,-1.6637,-9.960674999999998,-10.210725,-6.068574999999999,-4.479825,-5.9242,-7.39465,-0.9888,-0.7097,-1.379325,-1.2306,0.559275,0.426375,1.85465,1.9566
2,4.0,12.5842,12.41325,2.91095,3.834275,-24.17448,-20.069625,27.08545,23.9039,-72.60549999999999,-53.973749999999995,75.51645,57.808150000000005,-11.69297,-8.632539999999999,-16.487375,-14.750435,6.6213500000000005,5.3054749999999995,24.18665,24.926,-12.0277,-11.95025,-1.921025,-1.6168,-10.106675,-10.333475,-5.769575,-4.348274999999999,-6.2581,-7.602024999999999,-0.92885,-0.69625,-1.309675,-1.189675,0.5261499999999999,0.427425,1.921975,2.008
3,4.5,14.538775,15.0823,2.99785,3.087675,-26.06046,-24.10272,29.0583,27.190375,-78.33162499999999,-65.960625,81.3296,69.048175,-12.456525,-10.532045,-17.91514,-17.55633,7.040575,7.155200000000001,29.0869,30.6079,-12.052825,-12.05435,-1.792475,-1.598125,-10.2603,-10.456225,-5.3877749999999995,-4.3734,-6.665025,-7.68095,-0.8566750000000001,-0.6989000000000001,-1.2321,-1.1649,0.484275,0.4744,2.0006500000000003,2.0294000000000003
4,5.0,17.417775,17.4905,3.08925,3.63705,-30.138405,-26.70276,33.227650000000004,30.339799999999997,-90.61,-74.49812499999999,93.69925,78.1353,-14.388325000000002,-11.60932,-20.735285,-19.520375,8.30075,8.3292,35.27845,35.9067,-12.08165,-12.051125,-1.730325,-1.526725,-10.351325,-10.524375,-5.202175,-4.2593749999999995,-6.879474999999999,-7.791725,-0.8259749999999999,-0.6640250000000001,-1.190325,-1.11645,0.4765749999999999,0.4762,2.02545,2.052925
5,5.5,21.669599999999996,20.309925,1.29485,5.205875,-37.894065,-30.01479,39.188925,35.22065,-115.271625,-85.65425,116.5666,90.860375,-18.1586,-13.085185,-26.024434999999997,-21.931705,11.136975,9.80605,43.54452499999999,41.595075,-12.199225000000002,-12.002725,-1.7487499999999998,-1.4777749999999998,-10.45055,-10.5249,-5.3195,-4.2174249999999995,-6.8797500000000005,-7.785275,-0.8378749999999999,-0.6443000000000001,-1.200825,-1.07995,0.51395,0.4828,2.00945,2.048025
6,6.0,25.35215,22.981274999999997,0.4792499999999999,5.110225,-42.60765000000001,-32.095245,43.0869,37.205425,-128.073375,-93.624,128.5525,98.734225,-20.341255,-13.742255,-29.345229999999997,-23.69678,12.13285,10.525125,52.28190000000001,48.153725,-12.240125000000004,-12.036625,-1.680625,-1.396475,-10.5595,-10.640175,-5.051775,-4.07395,-7.188325,-7.962675000000001,-0.802225,-0.598175,-1.157375,-1.0316,0.478575,0.45795,2.062225,2.09535
7,6.5,28.772025,26.888999999999996,0.16925,4.0685,-45.386595,-37.01433,45.55585,41.08285,-134.25825,-110.689625,134.42725,114.758,-21.423065,-15.776235,-31.50793,-27.403255,12.425275,12.4149,61.40815,56.656325,-12.253125,-12.107725,-1.5774500000000002,-1.3765,-10.67565,-10.731225,-4.666275000000001,-4.1167,-7.586875000000001,-7.991,-0.744525,-0.5871,-1.095,-1.019875,0.4318749999999999,0.461725,2.134275,2.10705
8,7.0,34.435649999999995,32.933099999999996,-0.021825,1.919125,-52.19997000000001,-46.2771,52.17809999999999,48.196200000000005,-148.950625,-141.128375,148.928675,143.047625,-24.921925,-20.130965,-35.94966,-33.80607,13.816299999999998,16.29755,75.441625,68.94647499999999,-12.25965,-12.200775,-1.51585,-1.4051749999999998,-10.743775,-10.7956,-4.325475,-4.285625,-7.93415,-7.915175,-0.72375,-0.612075,-1.043975,-1.027875,0.4012,0.4949,2.1908,2.093525
9,7.5,43.104725,40.646675,-0.162675,-1.4982,-65.583,-57.120465,65.420325,55.622325,-180.368875,-181.35575,180.206325,179.8578,-32.07694,-25.15999,-44.40266,-41.425945,17.818125,21.5608,94.59835,84.89305,-12.26275,-12.296,-1.521475,-1.405275,-10.7413,-10.8907,-4.1844,-4.46215,-8.07835,-7.833824999999999,-0.74415,-0.619875,-1.0301,-1.02065,0.413325,0.530475,2.1946000000000003,2.0885499999999997
