,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,20.34275,18.773,6.2915,3.148725,-31.09374,-23.90103,37.385275,27.049725,-73.79925,-87.7935,80.09075,90.942225,-13.452405,-9.18853,-22.85248,-18.746129999999997,9.54735,9.9584,45.290475,40.212475,-11.949725,-12.09125,-1.528525,-1.27315,-10.4212,-10.8181,-3.627775,-4.676625,-8.321925,-7.414625,-0.661575,-0.489375,-1.123875,-0.998375,0.469325,0.5304500000000001,2.226375,2.14205
1,3.5,23.353675000000003,22.053475,6.497225,1.2353,-34.43975999999999,-28.311105,40.936975,29.546375,-82.389375,-109.366,88.88622500000001,110.6013,-14.85752,-10.929435000000002,-25.341205,-22.125445,10.52165,12.657225,52.715025,46.4636,-11.980775,-12.2029,-1.4747,-1.2837999999999998,-10.506075,-10.9191,-3.5279000000000003,-4.9584,-8.452925,-7.244525,-0.63655,-0.4959,-1.085725,-1.0038,0.45055,0.57385,2.257225,2.10695
2,4.0,27.4205,25.623825,3.925675000000001,-1.201275,-41.34852,-32.622015000000005,45.274175,31.42075,-103.9165,-132.14675,107.841925,130.94572499999998,-18.046985,-12.550024999999998,-30.219825,-25.495495,13.202525,15.388375,61.04927500000001,53.7261,-12.1158,-12.3058,-1.5079250000000002,-1.27325,-10.607875,-11.03255,-3.78975,-5.156175,-8.3261,-7.1496249999999995,-0.65845,-0.4904,-1.102575,-0.996175,0.481475,0.6004749999999999,2.226375,2.0968
3,4.5,31.8687,29.716950000000004,2.2239,-3.4104,-47.80392,-37.164915,50.0278,33.754475,-121.983,-156.857125,124.2074,153.44635,-20.994695,-14.311789999999998,-34.805705,-29.05547,15.21485,18.113875,71.04837500000001,62.6162,-12.1892,-12.37375,-1.5000250000000002,-1.250725,-10.6892,-11.123,-3.827675,-5.277950000000001,-8.361525,-7.095775,-0.659,-0.482075,-1.0925,-0.9786,0.47745,0.6094999999999999,2.2294,2.107125
4,5.0,37.7382,34.734199999999994,-0.0111499999999999,-6.53095,-56.92767,-43.1889,56.9165,36.65795,-145.38,-189.043875,145.36885,182.51305,-25.493275,-16.91425,-40.954195,-33.570024999999994,17.5914,21.85225,84.80795,72.869675,-12.2593,-12.447025,-1.5085,-1.2433999999999998,-10.750799999999998,-11.203625,-3.85235,-5.442475,-8.406925000000001,-7.004575,-0.675725,-0.486925,-1.085525,-0.966375,0.46615,0.629125,2.247275,2.097925
5,5.5,43.8133,40.668125,-1.306525,-9.671475,-65.66175,-50.317485,64.35522499999999,40.646025,-169.799875,-226.8105,168.493225,217.139275,-29.840365,-19.92271,-46.80211,-38.82007,20.376575000000003,26.59975,98.681025,84.7367,-12.2888,-12.496825,-1.498675,-1.2372,-10.79015,-11.2596,-3.87555,-5.577225,-8.413275000000002,-6.9196,-0.68125,-0.49005,-1.068475,-0.9549,0.465075,0.654075,2.2523,2.0836
6,6.0,49.8798,47.100725,-1.721525,-11.3782,-73.9029,-56.890455,72.181375,45.51225000000001,-193.7285,-262.153,192.006725,250.77505,-34.054405,-22.55776,-52.203959999999995,-43.855025,23.183674999999997,30.62215,112.432825,98.49325,-12.293525,-12.500575,-1.4815999999999998,-1.207825,-10.8119,-11.292725,-3.8839,-5.565899999999999,-8.409625,-6.9347,-0.682925,-0.4791499999999999,-1.04685,-0.93155,0.464775,0.65015,2.2540750000000003,2.091125
7,6.5,55.747325,53.665049999999994,-1.61805,-12.764425,-80.42925,-62.1972,78.8112,49.432775,-213.621625,-290.88300000000004,212.0032,278.118325,-37.136665,-24.452175,-56.74132999999999,-48.203239999999994,25.481025,33.400225,126.1029,113.917025,-12.288025,-12.496875,-1.442725,-1.159025,-10.845275,-11.33785,-3.83195,-5.420375,-8.456075,-7.076525,-0.6663,-0.4558,-1.018075,-0.898525,0.4570999999999999,0.6224,2.2620750000000003,2.12275
8,7.0,62.200050000000005,60.737725,-1.1771,-14.223999999999998,-87.3489,-66.87405,86.1718,52.65004999999999,-233.097875,-317.31925,231.92115,303.095,-40.4294,-25.963705,-61.522455,-52.13437499999999,28.139125000000003,36.02295,141.236525,131.04909999999998,-12.2779,-12.493175,-1.404325,-1.101025,-10.873625,-11.392175,-3.74755,-5.22455,-8.53035,-7.26865,-0.65015,-0.4277,-0.989325,-0.8589,0.452375,0.5931000000000001,2.270675,2.1576
9,7.5,69.36314999999999,69.2162,-1.00815,-15.0756,-93.76605,-73.0497,92.7579,57.97410000000001,-251.852375,-348.69350000000003,250.84435,333.61789999999996,-43.334439999999994,-28.27375499999999,-66.10745,-57.01112500000001,30.1879,39.3773,159.032175,151.0826,-12.273525,-12.4768,-1.3518249999999998,-1.055325,-10.921725,-11.421425,-3.630924999999999,-5.038,-8.642625,-7.438825,-0.62485,-0.408825,-0.9532,-0.824325,0.435225,0.5689249999999999,2.29275,2.18275
