,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,13.821325,10.3339925,22.223125,18.281025,-21.381404999999997,-13.832565,43.604525,32.113625,-44.3225,-46.3458125,66.54560000000001,64.627025,-9.74234,-5.6490895000000005,-15.647785,-10.27228,4.7821,5.8695,25.810475000000004,16.0861,-10.6345,-10.48615,-1.54005,-1.339075,-9.094475,-9.147075,-3.213325,-4.498125000000001,-7.421175,-5.987975,-0.69155,-0.55615,-1.1162,-1.01145,0.346725,0.571275,1.859975,1.5517249999999998
1,3.5,13.9066,10.6124325,22.42775,18.2937,-21.493665,-14.42211,43.9214,32.715775,-44.7345375,-49.2117,67.16205,67.50540000000001,-9.77278,-5.938972,-15.747590000000002,-10.663695,4.879175,6.4208,25.9088,16.297225,-10.6297,-10.531925,-1.53865,-1.359575,-9.091075,-9.17235,-3.223275,-4.65055,-7.406425,-5.881375,-0.6895,-0.56915,-1.116525,-1.0221749999999998,0.35155,0.60835,1.855575,1.530925
2,4.0,14.036875000000002,10.749665,22.71505,18.5139,-21.712665,-14.606775,44.427724999999995,33.12065,-45.32275,-50.0966875,68.0377,68.610825,-9.85456,-5.990577,-15.926275,-10.82591,5.004175,6.622775000000001,26.075650000000003,16.431875,-10.624275,-10.533375,-1.5399249999999998,-1.359125,-9.084375,-9.1742,-3.235375,-4.672700000000001,-7.3889,-5.86065,-0.688825,-0.566425,-1.1187,-1.0240749999999998,0.357225,0.61915,1.850225,1.5241250000000002
3,4.5,14.2418,11.038335,23.140225,18.7847,-22.09047,-15.115709999999998,45.23072500000001,33.900375000000004,-46.3417625,-51.8852875,69.48192499999999,70.66987499999999,-10.01931,-6.1830125,-16.216939999999997,-11.21536,5.203675,6.947699999999999,26.3306,16.873625,-10.617875,-10.554099999999998,-1.5442,-1.3695,-9.073674999999998,-9.184625,-3.260575,-4.711375,-7.35725,-5.842725,-0.690075,-0.569025,-1.1225,-1.03245,0.366075,0.6322,1.8415,1.524525
4,5.0,14.43395,11.51085,23.465025,19.51505,-22.411904999999997,-15.875505,45.87695000000001,35.390525,-47.4030375,-54.255875,70.868325,73.77095,-10.14298,-6.507020000000001,-16.474195,-11.775865,5.376075,7.289725,26.571075,17.633625,-10.617475,-10.561075,-1.546025,-1.3791,-9.071425,-9.181975,-3.291075,-4.722275,-7.326350000000001,-5.838775,-0.68935,-0.57365,-1.1252,-1.038325,0.373225,0.6355500000000001,1.833625,1.528525
5,5.5,14.79425,12.273725,23.535725,20.5996,-23.21148,-17.141295,46.7472,37.740875,-49.9486625,-57.92825,73.4846,78.527675,-10.551645,-7.0791509999999995,-16.993575,-12.69172,5.7619,7.70575,27.098075,18.8746,-10.653375,-10.5787,-1.5627,-1.396475,-9.0906,-9.182225,-3.3835,-4.72675,-7.269824999999999,-5.852,-0.7003250000000001,-0.5844499999999999,-1.13305,-1.0478,0.390375,0.6296,1.8247,1.535
6,6.0,15.455850000000002,13.706825,23.946775,21.707475,-24.754425,-20.214734999999997,48.7012,41.9222,-54.2625,-66.413625,78.209225,88.12115,-11.402325,-8.563265000000001,-17.9289,-14.80492,6.405774999999999,8.9876,28.0785,21.02425,-10.69625,-10.674,-1.596125,-1.47485,-9.100124999999998,-9.1992,-3.51825,-4.851324999999999,-7.178,-5.8227,-0.7256499999999999,-0.632,-1.1454749999999998,-1.0928,0.415475,0.6572,1.8102,1.5316
7,6.5,16.09375,15.366700000000002,24.76505,22.857375,-26.02965,-23.76711,50.794675,46.624475,-57.358,-75.66449999999999,82.1233,98.5218,-12.004115,-10.21189,-18.809040000000003,-17.299480000000003,6.7593000000000005,10.406175,29.167325,23.695575,-10.708075,-10.7707,-1.612475,-1.5467499999999998,-9.095625,-9.223975,-3.571325,-4.929075,-7.13675,-5.8416749999999995,-0.734525,-0.67145,-1.15495,-1.137725,0.420975,0.6785,1.8063,1.54025
8,7.0,17.323325,16.628175,26.024375,24.37155,-28.828545,-25.63893,54.85295,50.010475,-62.74625,-78.93675,88.770375,103.308175,-13.509095,-10.96676,-20.58374,-18.741085,7.332325,10.672975,31.66415,26.336175,-10.746149999999998,-10.792475,-1.659825,-1.5417500000000002,-9.08635,-9.250725,-3.628825,-4.750475,-7.117325,-6.042,-0.768925,-0.6655,-1.175075,-1.137625,0.42425,0.642725,1.822575,1.58265
9,7.5,18.2745,18.584625000000003,27.66435,25.931675,-30.259005,-28.529175,57.92335,54.46084999999999,-65.696625,-84.16675000000001,93.36085,110.098675,-14.168095,-12.28944,-21.603924999999997,-20.821415,7.604125,11.188475,33.52485,30.496775000000003,-10.73545,-10.8629,-1.6517,-1.5348,-9.08375,-9.328075,-3.6009,-4.530200000000001,-7.13455,-6.332675,-0.7649999999999999,-0.6662,-1.169625,-1.129,0.41695,0.602475,1.829775,1.640375
