,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,22.313250000000004,21.16995,10.286875,9.779675,-26.230635,-19.63404,36.5175,29.413725000000003,-55.741,-55.997625,66.027625,65.777175,-11.73179,-7.48168,-18.857375,-15.43868,5.897125,5.8524,52.364275,49.528724999999994,-11.797950000000002,-11.79795,-1.175525,-0.928675,-10.6224,-10.86925,-2.4981000000000004,-2.647875,-9.299875,-9.15005,-0.5258,-0.356875,-0.84515,-0.737075,0.2643,0.27695,2.346775,2.3392500000000003
1,3.5,26.298425,25.391925,10.355925,9.71085,-29.84784,-22.655880000000003,40.20375,32.366725,-64.492375,-68.171875,74.84842499999999,77.88260000000001,-13.343880000000002,-8.567625,-21.46729,-18.030945,6.715775,7.2317,62.6476,59.922375,-11.865225,-11.8775,-1.13495,-0.89375,-10.730250000000002,-10.98375,-2.4522999999999997,-2.689,-9.4129,-9.1885,-0.5074,-0.34065,-0.81625,-0.71685,0.2553499999999999,0.285475,2.3821749999999997,2.35935
2,4.0,30.7477,30.370775,10.255325,9.5826,-33.90765,-26.32677,44.162949999999995,35.909375,-75.80725,-83.064625,86.063075,92.64735,-15.092845,-9.8748,-24.46263,-21.03283,7.76545,8.979225,73.77674999999999,71.996025,-11.925475,-11.944475,-1.10275,-0.8683750000000001,-10.822725,-11.0761,-2.4654749999999996,-2.739225,-9.459974999999998,-9.205225,-0.4908,-0.3284,-0.795525,-0.6992750000000001,0.25255,0.29635,2.3994250000000004,2.370025
3,4.5,36.104425,35.744725,8.965625,9.26535,-39.39888,-29.878305,48.364525,39.14365,-92.674125,-98.6845,101.639875,107.9496,-17.6223,-11.09309,-28.348735,-23.906465,9.705825,10.8211,86.76199999999999,85.11155,-12.0107,-12.000825,-1.09125,-0.837425,-10.9194,-11.16345,-2.5668499999999996,-2.764275,-9.443825,-9.23655,-0.488,-0.3138499999999999,-0.78505,-0.676125,0.268825,0.303325,2.4030750000000003,2.380675
4,5.0,42.138575,42.10865,7.941775,8.701175,-44.93199,-34.303664999999995,52.873774999999995,43.00485,-109.667875,-117.487125,117.609525,126.188425,-20.323815,-12.77715,-32.09873,-27.30239,11.885825,13.121475,101.569525,100.5949,-12.07055,-12.053674999999998,-1.0663,-0.8162,-11.004225,-11.237475,-2.602575,-2.79355,-9.467975,-9.260125,-0.482275,-0.3072749999999999,-0.761725,-0.65645,0.2820749999999999,0.312175,2.41035,2.3886000000000003
5,5.5,49.14605,48.98155,7.0152,7.794075000000001,-51.72051,-38.69325,58.7357,46.487325,-129.820625,-137.159375,136.83570000000003,144.953575,-23.6813,-14.458625,-36.666495,-30.77024,14.003225,15.419325000000002,118.609725,117.522175,-12.116275,-12.101425,-1.0524,-0.791525,-11.063875,-11.3099,-2.64155,-2.804875,-9.474725,-9.2966,-0.481825,-0.298925,-0.746025,-0.6361,0.2849,0.31545,2.41345,2.39875
6,6.0,57.5956,56.70675,6.539950000000001,6.858549999999999,-60.90915,-43.34571,67.4491,50.204275,-156.551,-157.365875,163.09070000000003,164.22455,-28.296765,-16.247565,-42.763345,-34.39471,17.027575000000002,17.596474999999998,138.377275,136.8634,-12.14545,-12.139675,-1.0575,-0.766025,-11.0879,-11.37365,-2.7181249999999997,-2.780125,-9.427325,-9.359525,-0.4912499999999999,-0.290425,-0.74245,-0.61465,0.29565,0.310975,2.4026,2.412925
7,6.5,66.858675,65.701475,7.315975000000001,6.2254,-69.82724999999999,-49.118625,77.143225,55.343999999999994,-180.149,-179.946375,187.465225,186.1714,-32.741795,-18.636975,-48.740914999999994,-38.793679999999995,19.8506,20.085225,160.47987500000002,159.3766,-12.149575,-12.16565,-1.044425,-0.749375,-11.105175,-11.416275,-2.6944749999999997,-2.744975,-9.455075,-9.42065,-0.48965,-0.28765,-0.7289000000000001,-0.598475,0.296875,0.30655,2.4002749999999997,2.425
8,7.0,76.79235,76.063275,9.077425,6.361949999999999,-77.50665,-55.283595,86.584075,61.64555,-200.71925,-204.644875,209.796175,211.00695,-36.486995,-21.116165,-53.945565,-43.488769999999995,22.515175000000003,23.00395,184.980725,185.16285,-12.1408,-12.176425,-1.0093,-0.728475,-11.1315,-11.447925,-2.6138,-2.697325,-9.527,-9.479075,-0.475075,-0.281575,-0.7024250000000001,-0.57955,0.2932,0.303525,2.408825,2.4333250000000004
9,7.5,86.53395,86.931775,9.6472,6.607124999999999,-82.36245,-60.602835,92.00965,67.209975,-214.08525,-227.350375,223.73145,233.957875,-38.634925,-23.130605,-57.44971,-47.692255,23.991100000000003,25.62605,210.83875,212.8027,-12.147525000000002,-12.1839,-0.9518,-0.6986,-11.195725,-11.485325,-2.474,-2.62195,-9.673525,-9.56195,-0.446475,-0.26965,-0.66385,-0.555675,0.27725,0.295875,2.436475,2.446875
