,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,13.824475,14.510175,0.387225,-2.86775,-19.30737,-17.371485,19.6946,14.503699999999998,-55.409625000000005,-50.9049625,55.797225000000005,48.03699999999999,-9.056845,-7.685219999999999,-13.448284999999998,-12.62279,6.7593250000000005,6.431875,30.890749999999997,33.749700000000004,-12.231000000000002,-12.45645,-1.3966,-1.1968,-10.834375,-11.259625000000002,-4.008125,-3.508175,-8.222824999999998,-8.9483,-0.65515,-0.52885,-0.97285,-0.8687,0.488925,0.44325,2.2344999999999997,2.3259749999999997
1,3.5,17.424975000000003,17.865925,0.386025,-3.6556,-23.876565000000003,-20.823015,24.2626,17.167375,-66.11075,-62.322,66.497025,58.6664,-11.181445,-9.00037,-16.656775,-15.290495,7.676200000000001,7.677625000000001,39.52565,41.85015,-12.23685,-12.463475,-1.370225,-1.1653250000000002,-10.8666,-11.29815,-3.794075,-3.488525,-8.44275,-8.974875,-0.6416,-0.503875,-0.955775,-0.8561000000000001,0.44055,0.429775,2.2683,2.3424
2,4.0,20.9518,21.32845,0.4531,-4.18725,-27.482175,-24.234735,27.9353,20.04745,-75.368375,-73.4125,75.82159999999999,69.22550000000001,-12.736565,-10.270315,-19.29177,-17.96124,8.380675,8.687025,48.472475,50.4263,-12.237375,-12.455199999999998,-1.3117,-1.136125,-10.925675,-11.319025,-3.597275,-3.4423,-8.6401,-9.0129,-0.60795,-0.4821499999999999,-0.92085,-0.8433250000000001,0.4,0.40735,2.313525,2.3641750000000004
3,4.5,25.316425,24.862575,1.279075,-3.754925,-32.3454,-27.639000000000003,33.624475000000004,23.88405,-87.91775,-84.012125,89.196825,80.257075,-14.94359,-11.497275000000002,-22.744185,-20.675285,9.267125,9.483175,59.1777,58.96402500000001,-12.208475,-12.409925,-1.27765,-1.111525,-10.930825000000002,-11.2984,-3.4727750000000004,-3.3795,-8.7357,-9.030425,-0.5905,-0.463325,-0.898725,-0.83335,0.36605,0.381525,2.3375250000000003,2.3714999999999997
4,5.0,29.72285,28.7451,3.282425,-3.3108250000000004,-37.206975,-31.52106,40.489375,28.210275,-100.3955,-96.4635,103.677675,93.152675,-17.20451,-13.015875,-26.153530000000003,-23.689805,10.1842,10.522775,69.52397500000001,68.08132499999999,-12.14855,-12.3742,-1.251775,-1.096475,-10.896775,-11.277725,-3.37775,-3.3564749999999997,-8.77085,-9.0177,-0.57905,-0.453725,-0.8803000000000001,-0.826,0.34265,0.36615,2.339075,2.368375
5,5.5,34.031275,32.9052,5.822625,-3.0844,-42.92478,-36.18939,48.747425,33.105,-114.126,-111.790125,119.948875,108.7056,-19.960735,-14.905085,-30.05832,-27.245685,11.6974,12.015075,78.56375,77.384125,-12.0879,-12.35285,-1.2613249999999998,-1.09975,-10.826574999999998,-11.25305,-3.353575,-3.3979749999999997,-8.7343,-8.954875000000001,-0.58675,-0.453925,-0.8835999999999999,-0.8299500000000001,0.3437249999999999,0.36525,2.3085750000000003,2.35165
6,6.0,39.084175,38.04725,9.9544,-0.7482500000000001,-50.899785,-43.827929999999995,60.854175,43.07965,-133.1845,-134.67262499999998,143.13915,133.92450000000002,-23.910415,-18.326105,-35.40117,-32.738685,14.002400000000002,14.5643,88.05315,87.1856,-12.004325,-12.2787,-1.3023,-1.1519,-10.702,-11.126824999999998,-3.4076500000000003,-3.54005,-8.596625,-8.738675,-0.6119749999999999,-0.4825,-0.906075,-0.8621000000000001,0.358275,0.3828499999999999,2.2529000000000003,2.2915
7,6.5,43.5531,44.065275,13.126449999999998,3.5234499999999995,-56.69649,-53.59338,69.82294999999999,57.116825000000006,-147.180875,-164.369125,160.3072,167.8927,-26.622805,-23.093940000000003,-39.45128,-39.44768,15.4333,19.3811,97.412425,97.24305,-11.9576,-12.178999999999998,-1.301775,-1.21615,-10.65585,-10.962825,-3.379375,-3.730375,-8.578275000000001,-8.4486,-0.611425,-0.524525,-0.90605,-0.8960999999999999,0.354375,0.43985,2.23665,2.20675
8,7.0,48.604325,49.09697499999999,14.935175,5.003825,-63.3507,-60.900344999999994,78.285875,65.904175,-164.260375,-189.204,179.195425,194.207825,-29.847949999999997,-26.59011,-43.99764999999999,-44.552245,17.44545,22.865800000000004,108.32365,106.76425,-11.951725,-12.157025,-1.303375,-1.240325,-10.648325,-10.9167,-3.379575,-3.853725,-8.57215,-8.30325,-0.614175,-0.54165,-0.905375,-0.907625,0.35895,0.46575,2.228675,2.17455
9,7.5,53.865950000000005,53.781125,16.24295,5.368275,-71.17394999999999,-67.82115,87.4169,73.189425,-183.1925,-212.8355,199.4352,218.203775,-34.082275,-29.75184,-48.88225,-49.547905,19.767375,25.82885,119.604,116.2302,-11.95745,-12.159125,-1.321275,-1.260975,-10.63615,-10.89815,-3.4009,-3.957325,-8.556525,-8.201775,-0.6328750000000001,-0.552925,-0.907675,-0.920875,0.367,0.4802499999999999,2.2204,2.161175
