,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,21.893125,21.438575000000004,-12.2062,-18.12225,-43.867005,-31.124744999999997,31.660825000000003,13.0025,-114.5915,-145.786125,102.3853,127.664,-21.049675,-11.40427,-30.12148,-24.838345000000004,13.589425000000002,14.800024999999998,49.12445,47.298725000000005,-12.816599999999998,-13.104125,-2.003675,-1.4518,-10.812925,-11.652325,-5.234125,-6.7993999999999994,-7.5825,-6.3047249999999995,-0.961375,-0.532925,-1.3757,-1.1606,0.6207,0.690425,2.24385,2.20605
1,3.5,23.831625,23.240425,-13.10735,-18.876625,-46.189845,-32.595375,33.0825,13.718725,-121.264,-154.122625,108.1564,135.24587499999998,-21.822075,-11.784835,-32.040679999999995,-26.179805,14.20535,15.6056,53.979225,51.550875,-12.809025,-13.0711,-1.93815,-1.4025,-10.870874999999998,-11.6686,-5.088375,-6.630974999999999,-7.720675,-6.44015,-0.915825,-0.5079,-1.34475,-1.1281,0.596075,0.6715500000000001,2.26505,2.218
2,4.0,27.033875,26.031425,-13.86075,-21.23575,-51.87948,-36.380175,38.018775,15.144425,-137.43437500000002,-172.828375,123.574,151.59275,-24.553824999999996,-13.26821,-35.947129999999994,-29.08612,15.670825,17.77815,60.604850000000006,57.092325,-12.771775,-13.074675,-1.91905,-1.397475,-10.852674999999998,-11.677125,-5.083799999999999,-6.6385000000000005,-7.687925,-6.4361250000000005,-0.908375,-0.5105,-1.329875,-1.118975,0.5796749999999999,0.683,2.241825,2.1931000000000003
3,4.5,30.76,30.554074999999997,-13.39615,-24.4996,-57.044685,-43.661835,43.648525,19.16225,-151.41199999999998,-203.130375,138.01585,178.63065,-27.045515,-16.53199,-39.492595,-34.27822999999999,17.362650000000002,21.491575,68.73955000000001,65.660775,-12.694525,-13.06075,-1.854525,-1.428875,-10.84,-11.63185,-4.922375,-6.6472999999999995,-7.77215,-6.413424999999999,-0.8792249999999999,-0.541875,-1.283875,-1.123475,0.56445,0.703425,2.2347,2.1489499999999997
4,5.0,34.814750000000004,35.742450000000005,-12.965975,-25.4098,-62.49705,-50.93043,49.531075,25.520625,-166.218375,-229.577375,153.252275,204.16745,-29.717830000000003,-19.910645,-43.20192,-39.447945,19.356825,25.015675,77.5403,76.19635000000001,-12.631475000000002,-12.969874999999998,-1.795125,-1.424975,-10.83635,-11.544925,-4.77435,-6.42285,-7.857149999999999,-6.547025,-0.85355,-0.5574749999999999,-1.24085,-1.1044,0.5559999999999999,0.6999249999999999,2.227225,2.13175
5,5.5,38.47585,40.0418,-13.5718,-25.739825,-66.11834999999999,-54.90948,52.54655,29.169675,-177.32175,-244.352375,163.74994999999998,218.612925,-31.29988,-21.542365,-45.847745,-42.477305,20.797125,26.58705,86.32875,86.303825,-12.611775000000002,-12.90185,-1.718425,-1.3713749999999998,-10.893349999999998,-11.530475,-4.608625,-6.1023,-8.00315,-6.7995,-0.8133999999999999,-0.5382750000000001,-1.1915,-1.0613,0.5405,0.664,2.243725,2.155325
6,6.0,43.114374999999995,44.93305,-13.201125,-26.07125,-71.44245,-59.921685,58.241325,33.85045,-191.645,-260.885875,178.443875,234.81475,-33.930475,-23.7236,-49.42614,-46.14363999999999,22.9088,28.381074999999996,96.987125,97.77695,-12.5652,-12.839250000000002,-1.657025,-1.333625,-10.908175000000002,-11.5056,-4.445025,-5.806,-8.1202,-7.033225,-0.7868999999999999,-0.52825,-1.14625,-1.0274,0.53135,0.63165,2.24955,2.17605
7,6.5,47.4243,50.354325,-12.777024999999998,-25.225325,-75.19935,-65.49195,62.422325,40.266625000000005,-202.421,-282.247875,189.643975,257.022425,-35.69101,-26.178749999999997,-52.053745,-50.24777999999999,24.0343,30.791575,107.533975,109.4198,-12.528425,-12.760025,-1.5856500000000002,-1.30065,-10.942775,-11.45935,-4.26825,-5.6052,-8.260150000000001,-7.15485,-0.7525000000000001,-0.52005,-1.0975,-0.99815,0.506775,0.6114999999999999,2.267475,2.17305
8,7.0,51.8614,55.436475,-12.0151,-25.27475,-78.93135,-68.76225,66.91625,43.4875,-214.61875,-295.539,202.6039,270.26425,-37.59773,-27.33927,-54.494145,-52.87137,25.2098,32.291375,118.077925,121.999225,-12.490675,-12.714975,-1.521975,-1.240425,-10.96875,-11.47455,-4.138325,-5.3311,-8.3524,-7.383850000000001,-0.724925,-0.49345,-1.0507,-0.9542,0.4861,0.5824750000000001,2.276825,2.2007000000000003
9,7.5,56.978725,61.655625,-12.242325,-25.7932,-83.3109,-73.14345,71.06857500000001,47.35025,-228.44625,-313.00175,216.203675,287.2083,-39.69835499999999,-29.13406,-57.491755000000005,-56.1939,26.8634,34.50735,130.423425,137.1932,-12.473875,-12.67735,-1.46215,-1.18635,-11.01175,-11.491,-4.0093250000000005,-5.076575,-8.464575,-7.60075,-0.6967000000000001,-0.4727249999999999,-1.009,-0.9118,0.471475,0.5596749999999999,2.289,2.225175
10,8.0,63.439575000000005,68.624025,-13.79125,-27.913325,-90.35625,-78.6258,76.565,50.712475,-249.70625,-335.395625,235.91475,307.482675,-43.231065,-31.54518,-62.167285,-60.17807,29.982325000000003,37.58745,145.500325,154.016175,-12.4764,-12.6658,-1.4243,-1.145775,-11.05215,-11.520025,-3.936125,-4.887425,-8.5403,-7.77835,-0.68145,-0.459825,-0.97995,-0.8772,0.4725999999999999,0.547725,2.29355,2.24435
11,8.5,70.03072499999999,75.94087499999999,-15.457075,-29.674800000000005,-96.31305,-83.71844999999999,80.855975,54.04365,-267.11325,-356.57912500000003,251.655925,326.9047,-46.12509,-33.61279999999999,-66.23816,-64.08208499999999,32.294900000000005,40.295950000000005,161.911675,172.1936,-12.47975,-12.64975,-1.3753,-1.102425,-11.104425,-11.547325,-3.814225,-4.695475,-8.665525,-7.9543,-0.65865,-0.442675,-0.945825,-0.84395,0.46115,0.530625,2.312025,2.26745
