,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,18.256775,17.741775,3.443025,0.90765,-26.984969999999997,-21.517604999999996,30.42805,22.42525,-58.601625000000006,-71.03375,62.044525,71.9414,-12.683004999999998,-8.92281,-18.847185,-16.270665,7.2169,9.792425,41.028175,37.76935,-12.0705,-12.207825,-1.478025,-1.21325,-10.59245,-10.99465,-3.2098,-4.00465,-8.860675,-8.203175000000002,-0.694775,-0.5045999999999999,-1.032425,-0.9202,0.39525,0.55215,2.24735,2.1286
1,3.5,21.43005,20.49085,2.9982249999999997,-0.36415,-31.807575,-24.940305,34.805825000000006,24.57615,-70.315875,-83.550375,73.314225,83.18635,-14.99446,-10.19199,-22.269925,-19.005075,8.781625,11.626925,48.276475000000005,43.903499999999994,-12.118825,-12.276825,-1.4837999999999998,-1.21755,-10.635,-11.059325,-3.2821749999999996,-4.0785,-8.836649999999999,-8.1983,-0.69855,-0.498975,-1.0374,-0.9305,0.409775,0.56765,2.252625,2.142325
2,4.0,24.460525,22.743175,1.801575,-1.856675,-36.59202,-27.153735,38.3936,25.297075,-83.60512499999999,-93.327125,85.406575,91.470825,-17.24748,-10.88788,-25.6741,-20.932765,10.488125,12.9226,55.09915,49.29785,-12.1849,-12.340775,-1.49515,-1.19425,-10.689775,-11.146475,-3.4187749999999997,-4.104525000000001,-8.76615,-8.2362,-0.703125,-0.47995,-1.046675,-0.92275,0.428675,0.568425,2.2525250000000003,2.1673750000000003
3,4.5,27.11185,25.105824999999996,1.145425,-3.14695,-40.21812,-29.3181,41.363525,26.171149999999997,-94.03,-103.67575,95.175425,100.52855,-18.76113,-11.463635,-28.358400000000003,-22.906395,11.8032,14.20205,61.34705,54.875825,-12.2163,-12.384525,-1.4828,-1.168125,-10.7335,-11.2164,-3.4686000000000003,-4.130475000000001,-8.7477,-8.25405,-0.6905000000000001,-0.45765,-1.0438,-0.91445,0.435225,0.56585,2.2627,2.1856
4,5.0,30.65235,28.405575,2.07565,-4.103525,-45.43902,-33.051869999999994,47.514675,28.948325,-108.679125,-119.61275,110.7549,115.508975,-21.260545,-12.90838,-31.81336,-25.80626,13.544,16.209575,68.93472499999999,62.012024999999994,-12.191175,-12.403675,-1.4823750000000002,-1.16395,-10.708825,-11.239725,-3.5455500000000004,-4.2117249999999995,-8.645624999999999,-8.19195,-0.69345,-0.455625,-1.03765,-0.910925,0.4418499999999999,0.570825,2.248875,2.18295
5,5.5,34.7461,32.5563,1.663925,-5.720825,-51.772185,-38.15206499999999,53.4361,32.431275,-127.87,-142.785125,129.534175,137.064175,-24.23007,-14.84284,-36.208085,-29.809904999999997,15.937,19.230874999999997,77.66355,70.65347499999999,-12.211125,-12.434925000000002,-1.490025,-1.17225,-10.7211,-11.2627,-3.680075,-4.38655,-8.53105,-8.0484,-0.6974499999999999,-0.4571249999999999,-1.0422,-0.918075,0.45865,0.59085,2.235175,2.170075
6,6.0,40.35665,37.239675000000005,0.0479000000000001,-7.268075,-61.6452,-44.155425,61.6931,36.887350000000005,-158.67237500000002,-169.878125,158.7204,162.610175,-29.12828,-17.215415,-42.796235,-34.431664999999995,19.509375,22.5969,89.27449999999999,80.305675,-12.257825,-12.454375,-1.5275,-1.185975,-10.730275,-11.2684,-3.931725,-4.562275,-8.326125000000001,-7.892099999999999,-0.721875,-0.463325,-1.06065,-0.926625,0.483425,0.6069,2.212175,2.15645
7,6.5,45.1956,42.70645,-0.002375,-7.895849999999999,-68.38619999999999,-51.42813,68.383825,43.532275,-178.676875,-200.210125,178.674375,192.31415,-32.181095,-20.349265,-47.61891,-39.903315,21.5878,26.54855,100.17815,91.22095,-12.259049999999998,-12.44395,-1.513125,-1.2043,-10.745925,-11.239625,-3.953425,-4.688325,-8.305625,-7.755624999999999,-0.7121,-0.476675,-1.0537,-0.93475,0.477675,0.621675,2.216525,2.135975
8,7.0,50.75905,49.30499999999999,2.0212,-8.262775,-76.84215,-60.08457,78.86335,51.8218,-201.087625,-234.10225000000003,203.10895,225.839225,-36.150775,-24.11029,-53.52847,-46.434655,24.531175,31.112325,111.82885,104.6534,-12.219175,-12.426425,-1.51385,-1.218475,-10.7053,-11.20795,-3.961625,-4.74775,-8.257525000000001,-7.678675,-0.7122250000000001,-0.488225,-1.0546,-0.9403,0.483275,0.6309750000000001,2.203125,2.12255
9,7.5,55.67524999999999,55.78339999999999,2.89415,-8.960574999999999,-82.3371,-67.34864999999999,85.23125,58.388075,-214.739125,-263.06374999999997,217.6334,254.10292499999997,-38.408115,-27.1103,-57.68429,-52.04897999999999,25.807975,34.617775,123.9587,118.95805,-12.207,-12.41935,-1.478875,-1.207025,-10.728125,-11.212375,-3.857025,-4.715225,-8.349975,-7.70415,-0.6899,-0.484575,-1.0360999999999998,-0.9304,0.46355,0.6205,2.226475,2.132525
