,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,6.760039999999999,8.310032499999998,17.288575,16.372925,-13.365075,-14.477865,30.65365,30.850775,-35.1297625,-39.699949999999994,52.41835,56.072875,-6.073366500000001,-5.4174215,-9.377955,-11.392195,4.551575,5.782275,7.829200000000001,11.642775,-9.680975,-10.287125,-1.99575,-1.747,-7.6852,-8.540075,-5.257575,-4.810725000000001,-4.423375,-5.4764,-0.932,-0.6583,-1.4252250000000002,-1.38365,0.68475,0.70095,1.1357,1.395525
1,3.5,7.5793775,8.8495825,17.342675,16.522975,-16.206375,-15.611925,33.549025,32.134875,-42.838725,-43.0876625,60.181375,59.61065000000001,-7.537265,-5.919022999999999,-11.20463,-12.215865,6.084,6.408,8.573675,12.4967,-9.957225,-10.390725,-2.156275,-1.76865,-7.800925,-8.62205,-5.710025,-4.899500000000001,-4.247225,-5.491225,-1.027875,-0.674775,-1.516025,-1.392225,0.8136,0.728925,1.1122,1.4072
2,4.0,7.969555000000001,9.7497775,17.54425,16.519849999999998,-17.236455,-17.651535,34.780699999999996,34.1714,-46.2976,-50.73,63.841825,67.25007500000001,-8.004115,-6.843564,-11.92718,-13.679305,6.6164000000000005,7.602725,9.005025,13.72655,-10.046,-10.5629,-2.1803000000000003,-1.8144,-7.865774999999999,-8.748475,-5.8658,-5.2318500000000006,-4.1802,-5.33105,-1.0371,-0.707125,-1.5340249999999995,-1.413725,0.840875,0.7843249999999999,1.112175,1.403225
3,4.5,8.7096225,10.61789,17.87605,16.389225,-19.04604,-19.536855000000003,36.9221,35.926075,-52.0972125,-59.634625,69.973325,76.0239,-8.99919,-7.715975,-13.0357,-15.000565000000002,7.505375,8.78725,9.97945,14.722600000000002,-10.20005,-10.71425,-2.202525,-1.843575,-7.997574999999999,-8.8707,-6.0333000000000006,-5.644475,-4.1667749999999995,-5.0698,-1.06425,-0.7315749999999999,-1.531225,-1.4228,0.871575,0.8318749999999999,1.131175,1.382025
4,5.0,9.7979825,11.5759,19.1061,16.392475,-21.911714999999997,-21.264735,41.0178,37.6572,-58.680875,-66.580625,77.7869,82.973075,-10.603135,-8.522475,-14.790965,-16.23293,8.395349999999999,9.694775,11.150225,16.353125,-10.30575,-10.843050000000002,-2.249375,-1.839925,-8.056375000000001,-9.003125,-6.02955,-5.774925,-4.2762,-5.068125,-1.109475,-0.7402,-1.539125,-1.4101,0.8645,0.840975,1.126575,1.409275
5,5.5,10.29147,12.875975,19.665725,16.005325,-22.87263,-23.907465,42.538375,39.912775,-60.88312500000001,-75.93575,80.548925,91.941325,-11.039825,-9.72135,-15.46929,-18.13759,8.658900000000001,11.095225,11.93655,18.482999999999997,-10.345375,-11.0173,-2.2341749999999996,-1.859125,-8.111225000000001,-9.158175,-5.95205,-5.915325,-4.393325,-5.101925,-1.098125,-0.758175,-1.530925,-1.4145250000000005,0.84825,0.8643,1.149575,1.433225
6,6.0,11.04759,14.87455,19.420125,15.01785,-24.798285,-28.68504,44.21845,43.7029,-66.112875,-91.698375,85.53255,106.716225,-11.977799999999998,-11.92632,-16.768905,-21.479085,9.55395,13.512775,13.299775,21.807025,-10.499875,-11.250625,-2.2551249999999996,-1.93025,-8.2447,-9.3204,-6.016975,-6.1789000000000005,-4.482950000000001,-5.071725,-1.108,-0.8047000000000001,-1.54425,-1.4495,0.871125,0.9105,1.195075,1.464475
7,6.5,12.36655,16.692999999999998,19.2853,15.2415,-27.946335,-31.7388,47.2316,46.9803,-73.969625,-101.32975,93.255025,116.5712,-13.520095,-13.075845,-18.900035000000003,-23.884594999999997,10.845575,14.82925,15.91955,25.4187,-10.6998,-11.346725,-2.2682,-1.902525,-8.431600000000001,-9.444175,-6.007575000000001,-6.0805,-4.692174999999999,-5.266225,-1.11385,-0.7856000000000001,-1.5515,-1.4352,0.8821999999999999,0.8897999999999999,1.28085,1.5216499999999995
8,7.0,14.845175,19.695875,20.543,16.00625,-33.119025,-36.965025,53.662025,52.97125,-86.134625,-114.746,106.677375,130.75225,-16.033415,-15.428349999999998,-22.428035,-27.642940000000003,12.47415,16.676900000000003,20.737625,31.68265,-10.876175,-11.446775,-2.236625,-1.87755,-8.639500000000002,-9.569225,-5.8192,-5.831799999999999,-5.057,-5.6149249999999995,-1.095975,-0.784825,-1.529325,-1.4062,0.84375,0.84755,1.392975,1.608075
9,7.5,19.21735,23.9944,21.373975,17.195324999999997,-42.923235,-44.5029,64.297225,61.698249999999994,-107.32725,-132.682875,128.70125,149.87832500000002,-20.92161,-19.025075,-28.97793,-32.919455,15.5485,19.3888,29.37285,40.52655,-11.148225,-11.5425,-2.236875,-1.855025,-8.9113,-9.687450000000002,-5.593874999999999,-5.5318249999999995,-5.5543000000000005,-6.010675,-1.100125,-0.793025,-1.5215,-1.372125,0.811025,0.8084,1.52655,1.688825
10,8.0,22.91595,28.04695,23.028125000000003,18.5408,-50.01624,-51.006375,73.044375,69.547175,-122.5115,-148.57175,145.539625,167.11255,-24.030265,-21.80996,-34.067499999999995,-37.831019999999995,17.694675,21.7971,36.793325,48.946,-11.255425,-11.59825,-2.1847499999999997,-1.81865,-9.070675,-9.7796,-5.35175,-5.2978000000000005,-5.903675,-6.30045,-1.05845,-0.7764,-1.499,-1.346625,0.77345,0.77725,1.604375,1.745175
11,8.5,27.08775,32.5111,24.607225,19.708325,-58.04366999999999,-57.934605,82.650875,77.6429,-139.308,-165.61125,163.914975,185.319825,-27.567209999999996,-24.638055,-39.8097,-43.114575,20.464225,24.424999999999997,45.22839999999999,58.5959,-11.35175,-11.65315,-2.144075,-1.781975,-9.20765,-9.87115,-5.14635,-5.0943000000000005,-6.2054,-6.55885,-1.02635,-0.7562,-1.4811,-1.323225,0.7564,0.7513000000000001,1.6689500000000002,1.802425
12,9.0,31.6651,36.8068,27.1007,20.82705,-66.07844999999999,-63.629850000000005,93.17915,84.45689999999999,-156.161,-181.433,183.2617,202.2603,-31.03721,-26.743665,-45.621815,-47.621399999999994,22.922025,26.742375,54.8717,68.157,-11.4044,-11.693425,-2.087325,-1.7287500000000002,-9.3171,-9.96465,-4.933825,-4.929525,-6.470600000000001,-6.7639000000000005,-0.9877,-0.72525,-1.4512,-1.29135,0.724475,0.726575,1.7325,1.851825
13,9.5,36.84739999999999,42.9843,30.769,23.381825,-74.50649999999999,-72.91605,105.2755,96.297875,-177.1165,-207.958,207.88575,231.339825,-34.79899,-30.631974999999997,-51.66337,-54.529975,26.5753,31.289699999999996,64.961525,80.480375,-11.4251,-11.71525,-2.0223,-1.696325,-9.4028,-10.018925,-4.8084,-4.837975,-6.616725000000001,-6.87725,-0.950775,-0.7115749999999998,-1.411125,-1.26665,0.7217,0.7279249999999999,1.762775,1.8724
14,10.0,42.93455,50.94675000000001,34.1059,24.859425,-83.57865,-84.67755,117.68455,109.536975,-198.289125,-240.572375,232.39465,265.431675,-38.765294999999995,-35.83211,-58.261264999999995,-63.08697,29.7066,36.40775,78.04542500000001,97.234925,-11.465625,-11.771375,-1.94675,-1.662,-9.51885,-10.10935,-4.619525,-4.721775,-6.8461,-7.049575,-0.90815,-0.7021000000000001,-1.36465,-1.236125,0.69225,0.714575,1.817675,1.9087
