,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,25.186725000000003,22.402025,11.7703,5.438675,-27.23271,-22.93353,39.003025,28.3722,-52.540875,-72.4275,64.3113,77.865925,-11.608515,-8.62829,-20.167064999999997,-18.270735,5.771975,7.73475,60.5132,51.307224999999995,-11.791675,-12.0176,-1.081225,-1.02435,-10.710425,-10.993275,-2.08605,-3.2471500000000004,-9.705575,-8.770475,-0.46085,-0.382725,-0.80055,-0.8114,0.22915,0.3469,2.402575,2.288475
1,3.5,29.253275,26.19835,12.85165,5.3596,-30.68814,-25.335479999999997,43.539775,30.695074999999996,-62.127375,-83.39412500000002,74.9794,88.75335000000001,-13.038615,-9.366915,-22.755830000000003,-20.34268,6.93765,8.9158,70.44335000000001,60.581875,-11.81965,-12.0556,-1.04905,-0.96745,-10.770625,-11.08815,-2.12375,-3.19465,-9.695875,-8.860975,-0.445675,-0.355475,-0.7778,-0.7728250000000001,0.23715,0.341575,2.40805,2.31105
2,4.0,33.588899999999995,30.660925,12.51905,4.465775000000001,-34.434525,-28.27782,46.953625,32.7436,-74.090125,-97.7675,86.60905,102.233025,-14.68053,-10.308355,-25.468985,-22.849165,8.46685,10.614025,80.982625,71.394475,-11.886275,-12.114275,-1.02515,-0.922375,-10.86115,-11.1919,-2.2058,-3.19735,-9.6805,-8.916924999999999,-0.437125,-0.334475,-0.7583500000000001,-0.74215,0.252075,0.347025,2.410975,2.327575
3,4.5,39.086225,36.1637,10.8133,2.662275,-40.04712,-32.420655,50.860425,35.082975,-91.06725,-117.559875,101.88055,120.222275,-17.431395000000002,-11.77403,-29.253825000000003,-26.15913,11.023275,13.06645,94.170025,84.42054999999999,-11.98235,-12.1861,-1.024575,-0.896575,-10.957775,-11.2895,-2.329925,-3.2567250000000003,-9.652425,-8.929375,-0.446125,-0.32445,-0.7486999999999999,-0.7214,0.282,0.36185,2.409275,2.3338
4,5.0,44.796899999999994,42.761825,8.907425,0.479225,-45.36144,-37.29729,54.2689,37.776475000000005,-108.568125,-140.163125,117.475925,140.642475,-19.796149999999997,-13.71838,-33.092385,-29.90875,13.21935,15.954175,107.98525,100.1993,-12.060175,-12.248225,-1.0126,-0.872175,-11.04755,-11.376025,-2.4236,-3.28175,-9.636575,-8.966525,-0.4419999999999999,-0.320025,-0.738875,-0.698075,0.2951,0.373425,2.41055,2.342825
5,5.5,51.039175,49.8967,7.2065,-1.4708499999999998,-50.48808,-42.111585,57.694575,40.64075,-125.765875,-162.470875,132.97275,161.00014999999996,-22.19904,-15.633755,-36.6877,-33.624095,15.34635,18.7244,123.452675,117.63485,-12.1178,-12.2887,-0.989225,-0.843925,-11.1286,-11.444774999999998,-2.4641,-3.2582250000000004,-9.653675,-9.03045,-0.435,-0.3128249999999999,-0.7189,-0.673025,0.3006999999999999,0.375425,2.4187749999999997,2.3573500000000003
6,6.0,58.061699999999995,57.7371,5.7694,-2.814375,-55.16505,-46.45209,60.93445,43.6377,-142.29575,-183.2735,148.06515000000002,180.459375,-24.36989,-17.233855,-39.974635,-37.049415,17.250149999999998,21.057725,141.510575,137.34035,-12.15965,-12.3078,-0.950075,-0.80455,-11.209525,-11.503275,-2.450775,-3.1747750000000003,-9.70885,-9.133,-0.419725,-0.2983,-0.688525,-0.6413249999999999,0.2971,0.3647749999999999,2.43725,2.37865
7,6.5,66.91095,67.06269999999999,3.4193499999999997,-4.3145999999999995,-62.0925,-52.625685,65.51185000000001,48.311075,-168.13512500000002,-213.134375,171.55435,208.81939999999997,-27.86752,-19.764255,-44.553085,-41.6605,20.006775,24.484225,163.680225,159.89350000000002,-12.2079,-12.323325,-0.928,-0.784725,-11.279925,-11.538574999999998,-2.512825,-3.17775,-9.695075,-9.145575,-0.4165,-0.294725,-0.665925,-0.621175,0.299025,0.36505,2.446225,2.384275
8,7.0,78.203125,79.254675,2.6416,-7.204700000000001,-72.0051,-62.37434999999999,74.64670000000001,55.16965,-203.308625,-257.00100000000003,205.95035,249.79605,-32.871565000000004,-24.118805,-51.110175000000005,-48.749174999999994,24.12365,29.69285,190.78984999999997,188.74385,-12.225225,-12.349900000000002,-0.92075,-0.7869999999999999,-11.304475,-11.5629,-2.59975,-3.2428,-9.625475,-9.1071,-0.42035,-0.30425,-0.6536,-0.6149,0.308475,0.374675,2.43965,2.381475
9,7.5,91.0805,93.342125,0.91585,-10.3339,-83.36714999999998,-72.54464999999999,84.283,62.21075,-243.064125,-302.17375,243.97985,291.83835,-38.54526,-28.57443,-58.680295,-56.2324,28.671325000000003,34.801424999999995,222.0055,223.01025,-12.248925,-12.369725,-0.915325,-0.7771750000000001,-11.3336,-11.59255,-2.6686750000000004,-3.23755,-9.58025,-9.132175,-0.4232,-0.305925,-0.6443,-0.6021,0.3148249999999999,0.37285,2.4375,2.389125
