,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,6.2543425,12.33805,16.745275,21.480175,-6.454739999999999,-11.68554,23.200025,33.1657,-16.2846125,-34.187425,33.029900000000005,55.667575,-1.1829655,-2.593883,-6.245324999999999,-10.80824,1.1288,2.750025,10.72325,23.637,-9.580425,-10.504525,-1.02,-0.9449,-8.560425,-9.559575,-2.6031999999999997,-2.76645,-6.97725,-7.7381,-0.18095,-0.209175,-1.00325,-0.882925,0.18005,0.22045,1.7145,1.913375
1,3.5,7.1581475,13.924625,18.247475,23.422975,-7.865508,-13.78041,26.113,37.203374999999994,-19.957725,-40.6069375,38.205225000000006,64.0298,-1.762185,-3.3215595,-7.3080485,-12.497420000000002,1.48905,3.382825,12.232775,26.377475,-9.710225,-10.5651,-1.089075,-0.987625,-8.621125,-9.577475,-2.7904,-2.913925,-6.9197750000000005,-7.6512,-0.23995,-0.237775,-1.025525,-0.904625,0.2082999999999999,0.241025,1.7086,1.891925
2,4.0,8.13726,15.341125000000002,18.82455,24.5876,-9.58695,-15.681675000000002,28.411499999999997,40.269275,-24.1899,-46.2407375,43.01445,70.82809999999999,-2.5584334999999996,-4.0336929999999995,-8.525286,-14.00092,2.000575,4.0637,14.110025,29.020525000000003,-9.94885,-10.6458,-1.1714,-1.0204,-8.77745,-9.6254,-2.97905,-3.01375,-6.969825,-7.6321,-0.310775,-0.262425,-1.052075,-0.919575,0.24705,0.263475,1.7334999999999998,1.889325
3,4.5,9.2033775,16.930675,19.436875,25.173375,-11.32821,-17.871705,30.765074999999996,43.045100000000005,-27.476925,-52.0516625,46.913875,77.224875,-3.3699275,-4.9696545,-9.74579,-15.618244999999998,2.4174,4.8297,16.3566,32.3313,-10.150175,-10.76365,-1.225325,-1.05415,-8.924825,-9.709475,-2.99125,-3.075025,-7.158925,-7.688625,-0.36355,-0.293525,-1.06275,-0.92935,0.2638749999999999,0.284225,1.7767499999999998,1.90755
4,5.0,10.457365,18.540725,20.579625,26.31175,-13.22661,-19.850564999999996,33.806275,46.162325,-31.05935,-56.97437500000001,51.6391,83.28625,-4.258297,-5.7736705,-11.084145,-17.11378,2.8062500000000004,5.40615,18.973025,35.744475,-10.29395,-10.833275,-1.260125,-1.06945,-9.033825,-9.763825,-2.974875,-3.0737,-7.319025,-7.759575,-0.40515,-0.311825,-1.0627,-0.92995,0.26955,0.290725,1.813825,1.926275
5,5.5,12.055,20.536625,22.161,27.819725,-15.58803,-22.429499999999997,37.749025,50.249225,-35.6174,-63.212625,57.778625,91.032475,-5.3080929999999995,-6.8388635,-12.825595,-19.04463,3.316,6.189075,22.354575,39.985,-10.423025,-10.89945,-1.2893499999999998,-1.090475,-9.133675,-9.80895,-2.95845,-3.0776749999999997,-7.464549999999999,-7.82175,-0.438525,-0.333375,-1.065225,-0.933875,0.27615,0.300275,1.853925,1.9462
6,6.0,13.977475000000002,22.53915,23.977875,29.2642,-18.325395,-24.701625,42.303275,53.9658,-41.2924875,-69.5505,65.270475,98.81470000000002,-6.546851,-7.684390499999999,-14.79,-20.849965,3.8745,6.95505,26.37675,44.312125,-10.545575,-10.9569,-1.30825,-1.0938249999999998,-9.237325,-9.8631,-2.9571500000000004,-3.0848000000000004,-7.5884,-7.872075000000001,-0.4672,-0.34115,-1.0589,-0.93075,0.27805,0.30735,1.8868,1.96565
7,6.5,16.532325,24.908,25.826275,30.96695,-21.868215,-27.300749999999997,47.69449999999999,58.267675,-48.9935875,-77.31299999999999,74.81952500000001,108.2797,-8.1840025,-8.74049,-17.297015,-22.80537,4.594250000000001,7.797025,31.987675,49.427725,-10.69905,-11.01355,-1.320725,-1.09385,-9.378325,-9.919675,-2.9657,-3.102825,-7.73335,-7.9107,-0.494275,-0.3511499999999999,-1.04645,-0.9209,0.278475,0.3118499999999999,1.934875,1.9846
8,7.0,19.705325,28.116300000000003,28.097825,32.930475,-25.67541,-30.687375,53.773225,63.61785,-57.129375,-88.15787499999999,85.227575,121.08847500000002,-9.82096,-10.135125,-20.12699,-25.340335000000003,5.2893,8.8685,39.349475,56.520999999999994,-10.835450000000002,-11.08655,-1.301275,-1.088925,-9.5341,-9.9976,-2.9004749999999997,-3.133825,-7.9349,-7.952725000000001,-0.497525,-0.36055,-1.02105,-0.905825,0.2688,0.314175,1.9972250000000005,2.010875
9,7.5,24.256375,33.030875,31.913625,36.2265,-31.960604999999997,-36.699195,63.87425,72.925675,-72.127375,-107.0015,104.040875,143.22825,-12.580665,-12.66501,-24.709114999999997,-29.854805,6.489675,10.681275,49.29525,66.806225,-10.945125,-11.16095,-1.3165,-1.1087,-9.628625,-10.0523,-2.9746499999999996,-3.2377,-7.9705,-7.92325,-0.518075,-0.383425,-1.0183,-0.90715,0.267825,0.322175,2.0325249999999997,2.0231
10,8.0,32.2097,40.329049999999995,37.963225,40.130325,-46.257105,-46.76376,84.22030000000001,86.894075,-105.34575,-137.934375,143.308975,178.064575,-19.61581,-17.134864999999998,-34.345065,-37.23615,10.61305,14.290274999999998,64.9569,81.402625,-11.081499999999998,-11.262875,-1.43555,-1.158,-9.64595,-10.104875,-3.27165,-3.4192,-7.809850000000001,-7.8437,-0.608875,-0.42515,-1.06625,-0.9255,0.32975,0.35355,2.0168,2.018825
