,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,6.8274325000000005,14.324224999999998,16.77975,21.001425,-8.389875,-17.02248,25.16965,38.0239,-16.2250875,-40.4174375,33.00485,61.41867499999999,-2.243436,-5.016735000000001,-7.216765499999999,-15.141675,1.1907,2.8079,11.802625,28.453349999999997,-9.793225,-10.790275,-1.22475,-1.186525,-8.568525000000001,-9.60375,-2.402375,-2.822225,-7.39085,-7.968025,-0.331675,-0.347025,-1.096175,-1.049525,0.1829,0.19615,1.7216,1.98555
1,3.5,7.963884999999999,15.90495,17.98305,21.838775,-10.816845,-19.348935,28.799875,41.1877,-21.2871375,-45.40835,39.270125,67.247275,-3.4260905,-5.9236925,-8.822434,-16.98198,1.804225,3.469475,13.861875,31.825775,-10.002225,-10.88355,-1.3595499999999998,-1.214725,-8.642624999999999,-9.66885,-2.710475,-2.8550750000000003,-7.2917,-8.02845,-0.440925,-0.369,-1.145325,-1.059925,0.236325,0.218225,1.7349,2.0002999999999997
2,4.0,8.972972500000001,17.083299999999998,18.54335,22.566675000000004,-12.75798,-20.776005,31.30135,43.342675,-25.03765,-49.35928750000001,43.58095,71.926175,-4.2572765,-6.366564499999999,-10.229845,-18.25672,2.251475,3.910175,16.004,34.344274999999996,-10.2014,-10.935775,-1.4247999999999998,-1.2141749999999998,-8.776625000000001,-9.721574999999998,-2.828025,-2.88855,-7.373375,-8.0472,-0.487525,-0.3688249999999999,-1.17515,-1.0597,0.2604499999999999,0.228825,1.7803250000000002,2.009925
3,4.5,9.95222,18.79455,18.8085,23.5909,-14.304015,-23.169929999999997,33.112500000000004,46.7608,-27.9762,-56.7635,46.784375,80.35415,-4.8776185,-7.2232635,-11.409835,-20.133435,2.4826,4.69145,18.30135,37.756775000000005,-10.383275,-11.002475,-1.4395,-1.231525,-8.9438,-9.77095,-2.8437,-3.0205,-7.539625,-7.981949999999999,-0.502725,-0.381525,-1.17705,-1.06445,0.25735,0.2498,1.838275,2.008375
4,5.0,11.5521125,20.733275,19.116325,25.0077,-17.06766,-25.96923,36.184000000000005,50.97695,-33.1456625,-66.06825,52.262175,91.0757,-6.313262,-8.191479999999999,-13.176659999999998,-22.32095,2.9517,5.882524999999999,21.87495,41.344375,-10.622825,-11.051975,-1.4791999999999998,-1.25195,-9.143625,-9.800075,-2.8941749999999997,-3.18795,-7.7286,-7.864050000000001,-0.559875,-0.393525,-1.165825,-1.072625,0.261375,0.2841,1.89525,1.993475
5,5.5,13.1008,23.029425,19.780975,27.7612,-19.645575,-29.654805,39.42655,57.416,-39.128474999999995,-77.114,58.90925,104.87495,-7.5460785,-9.65312,-14.930059999999996,-24.96731,3.5504499999999997,7.257124999999999,24.99935,45.3712,-10.7685,-11.0531,-1.50085,-1.2875,-9.26765,-9.765575,-3.007575,-3.3491999999999997,-7.7609,-7.703899999999999,-0.58885,-0.4192249999999999,-1.161475,-1.0844,0.2757,0.315275,1.910575,1.969725
6,6.0,14.7191,25.0981,21.0752,30.262625,-22.411035,-33.103080000000006,43.486225,63.365675,-45.885724999999994,-87.97762500000002,66.960825,118.239875,-8.700199999999999,-11.02859,-16.965004999999998,-27.594205,4.315525,8.59385,28.183125,48.816775,-10.844975000000002,-11.053,-1.522525,-1.318925,-9.32245,-9.73405,-3.1339249999999996,-3.505925,-7.711024999999999,-7.54705,-0.602375,-0.4398249999999999,-1.172625,-1.100575,0.29705,0.342525,1.91735,1.944725
7,6.5,17.129675,27.2754,22.5682,32.031625,-27.242805,-36.426224999999995,49.811,68.45785000000001,-57.2896125,-98.457625,79.85795,130.489375,-11.027595,-12.347645,-20.40043,-30.314665,5.5168,9.753725,32.928025,52.939475,-10.955875,-11.083875,-1.5905999999999998,-1.3355,-9.365275,-9.74835,-3.359575,-3.61065,-7.5963,-7.473249999999999,-0.65355,-0.4523749999999999,-1.2065,-1.11045,0.325325,0.3578,1.9242,1.94045
8,7.0,19.63585,29.8452,24.2764,33.12155,-31.800525,-40.12614,56.076899999999995,73.2477,-67.505625,-111.107125,91.78165,144.22854999999998,-13.02337,-13.751465,-23.81138,-33.287895,6.373875,11.020025,38.483725,58.071200000000005,-11.0338,-11.148400000000002,-1.6196,-1.34445,-9.414225,-9.80395,-3.4511,-3.7233,-7.582700000000001,-7.425075,-0.6713,-0.460075,-1.225,-1.11345,0.327225,0.3694,1.961275,1.945375
9,7.5,23.176375,33.9667,25.967925,35.57325,-38.827785,-47.58879,64.795725,83.16205,-86.72075000000001,-134.41875,112.688675,169.99225,-16.242350000000002,-17.307560000000002,-28.69503,-38.50904,8.3466,13.515825,45.0588,65.18402499999999,-11.14665,-11.211025,-1.67605,-1.400925,-9.470575,-9.810125,-3.754575,-3.957075,-7.392075,-7.253950000000001,-0.709,-0.508475,-1.2503,-1.131225,0.36245,0.3979,1.944725,1.918925
