,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,21.60545,19.0022,24.127474999999997,18.3322,-28.464975,-27.16419,52.59245,45.496425,-43.1962125,-51.799125,67.323975,70.1317,-12.1126,-9.743995,-21.250955,-22.058999999999997,3.4668,4.4202,48.07679999999999,40.131275,-11.1419,-11.294,-1.3173,-1.429475,-9.824575,-9.8645,-1.99935,-2.726175,-9.142525,-8.5678,-0.559075,-0.511275,-0.981225,-1.15755,0.160475,0.232575,2.225025,2.1117749999999997
1,3.5,23.756075,21.5734,25.866225,19.413325,-31.8789,-31.573859999999996,57.745125,50.9872,-49.9047,-61.167375,75.770725,80.580825,-13.59208,-11.59967,-23.758075,-25.30961,4.184925,5.511875,52.562250000000006,45.500275,-11.1698,-11.358925,-1.3417749999999995,-1.463575,-9.828025,-9.89535,-2.1008,-2.8354,-9.06905,-8.523475,-0.570775,-0.536625,-0.997975,-1.170875,0.176175,0.2555,2.2123999999999997,2.109
2,4.0,26.279775,23.955625,27.1235,19.974775,-36.12573,-35.35458,63.249225,55.329325,-58.18237500000001,-69.15475,85.30600000000001,89.12927499999999,-15.49688,-13.09332,-26.82142,-28.228389999999997,4.964425,6.256925000000001,58.124325,50.897949999999994,-11.2265,-11.424875,-1.374475,-1.47585,-9.852025,-9.94905,-2.214075,-2.886725,-9.012425,-8.538174999999999,-0.588375,-0.545525,-1.018575,-1.176075,0.188925,0.261175,2.21155,2.12455
3,4.5,29.02935,25.885325,28.1243,21.04695,-40.932525,-38.329665,69.056825,59.376625,-68.080625,-76.240125,96.2048,97.2867,-17.7632,-14.33971,-30.201414999999997,-30.48715,6.1400500000000005,6.83325,64.24182499999999,55.242875000000005,-11.289775,-11.445525,-1.409825,-1.480725,-9.87995,-9.9648,-2.345325,-2.945275,-8.944424999999999,-8.50025,-0.6103999999999999,-0.5526,-1.038075,-1.1749,0.21155,0.263925,2.212775,2.134
4,5.0,30.98155,27.892625,28.805325,22.897675,-43.777275,-41.5872,72.582575,64.48487499999999,-74.70875,-86.76325,103.514075,109.660675,-18.971845,-15.749265,-32.314875,-32.877720000000004,6.724175,8.015325,68.7981,58.9036,-11.328875,-11.437775,-1.4128250000000002,-1.490925,-9.916,-9.94685,-2.4115,-3.110725,-8.917349999999999,-8.327075,-0.6109249999999999,-0.56335,-1.040825,-1.176075,0.21705,0.28735,2.220425,2.111675
5,5.5,32.857775,30.486925,30.329975,24.960475,-46.668045,-46.057155,76.99799999999999,71.0176,-82.682625,-102.99425,113.012725,127.954725,-20.099310000000003,-17.660215,-34.55569,-36.16754,7.609699999999999,9.980175,72.509175,63.06425,-11.335575,-11.44005,-1.420125,-1.5107,-9.915425,-9.929375,-2.516525,-3.37835,-8.81905,-8.0617,-0.610425,-0.578275,-1.049675,-1.184225,0.2316,0.32735,2.206575,2.0685
6,6.0,35.14725,33.930675,31.878625000000007,25.6249,-50.903385,-52.562865,82.782025,78.18775,-96.4445,-125.469875,128.323375,151.0949,-21.910785000000004,-20.56344,-37.684059999999995,-40.800135,9.113675,12.37125,76.48725,69.40570000000001,-11.35165,-11.503675,-1.44815,-1.5490999999999997,-9.903525,-9.9545,-2.7441750000000003,-3.69785,-8.6075,-7.8058,-0.622225,-0.6053999999999999,-1.07035,-1.201125,0.2593,0.3646,2.17605,2.045475
7,6.5,37.75745,36.42165,33.128325,25.642,-55.355805,-56.26164,88.48415,81.90365,-109.347,-140.333875,142.47557500000002,165.976,-23.801365,-21.9522,-41.01369,-43.752835,10.54355,13.736325,81.617825,74.624325,-11.381275,-11.5548,-1.465925,-1.544725,-9.91535,-10.010075,-2.8961750000000004,-3.85305,-8.4851,-7.70175,-0.62915,-0.601875,-1.084325,-1.1995,0.279225,0.37715,2.1615,2.04885
8,7.0,40.708974999999995,38.813725,34.63657499999999,26.575450000000004,-60.13389,-59.17904999999999,94.770475,85.754475,-123.1065,-152.7145,157.743075,179.28994999999998,-25.976455,-23.00091,-44.431875000000005,-46.14861500000001,11.785,14.682925,87.56030000000001,79.62195,-11.4079,-11.574125,-1.477,-1.524675,-9.9309,-10.049475,-3.0241749999999996,-3.93455,-8.3837,-7.6396,-0.63685,-0.5914999999999999,-1.0894750000000002,-1.186725,0.2895,0.378275,2.15075,2.051325
9,7.5,44.2792,42.019,38.368475,27.198675,-65.75925,-63.89475,104.127725,91.093425,-138.77349999999998,-171.351875,177.141725,198.55017499999997,-28.66785,-24.846494999999997,-48.305495,-49.7871,13.066225,16.512925,94.413725,85.713675,-11.3923,-11.6115,-1.484975,-1.520625,-9.907324999999998,-10.090925,-3.1342,-4.0779250000000005,-8.258125,-7.5336,-0.64625,-0.5903,-1.089075,-1.1828,0.295075,0.393,2.13215,2.0397999999999996
10,8.0,48.496525,47.520725,42.337875,27.2838,-73.7415,-74.5197,116.079375,101.8035,-163.598,-208.5955,205.936125,235.8793,-32.539685,-29.732764999999997,-53.736934999999995,-57.30407,15.8976,20.8881,101.35435,94.9558,-11.385825,-11.68465,-1.5204500000000003,-1.568125,-9.8654,-10.116525,-3.3735,-4.389575000000001,-8.012325,-7.295075,-0.669925,-0.624725,-1.10645,-1.2039749999999998,0.3278,0.4395249999999999,2.08985,1.99815
11,8.5,53.308225,52.227375,46.286775,28.537125000000003,-83.48774999999999,-81.34064999999998,129.77452499999998,109.877775,-192.6315,-235.821125,238.918275,264.358125,-37.33942999999999,-32.46325,-60.32634,-62.56137,19.411725,23.84285,108.879975,103.815675,-11.390574999999998,-11.712375,-1.5660250000000002,-1.5574,-9.82455,-10.154975,-3.61365,-4.515325,-7.77695,-7.197075000000001,-0.699425,-0.620625,-1.130075,-1.1960000000000002,0.364175,0.4565,2.0424,1.9877
12,9.0,57.816075,57.009249999999994,48.056025,29.183125,-90.8112,-87.47115,138.86722500000002,116.654275,-210.822125,-259.758,258.87777500000004,288.941375,-40.615755,-34.72815,-65.59852000000001,-67.45000999999999,21.768225,26.8087,118.425525,113.636025,-11.427725,-11.746925,-1.5706,-1.534275,-9.8571,-10.212625,-3.646525000000001,-4.55655,-7.7812,-7.19035,-0.7016,-0.60835,-1.1332,-1.1815250000000002,0.376525,0.47025,2.0482250000000004,1.993225
13,9.5,63.2847,62.56835,50.28490000000001,30.577399999999997,-99.474,-94.2081,149.7589,124.7855,-232.35875,-286.086125,282.64365,316.6634,-44.51537,-37.14798,-71.83189999999999,-72.9229,24.574925,30.331225,129.861925,125.05165,-11.464325,-11.7701,-1.571775,-1.505625,-9.89255,-10.264475,-3.671725,-4.572625,-7.7926,-7.1975,-0.7025250000000001,-0.5928,-1.133675,-1.1637,0.388325,0.4848,2.0519750000000005,1.998525
14,10.0,69.55955,68.9849,52.16775,31.330625,-108.80535,-101.7723,160.9731,133.102925,-256.33387500000003,-317.52525,308.50175,348.855625,-48.563109999999995,-39.844449999999995,-78.70349999999999,-79.1,27.494375,34.3263,143.4081,138.391775,-11.508924999999998,-11.804625,-1.5641249999999998,-1.4752,-9.944825,-10.329425,-3.685175,-4.603125,-7.823775,-7.201525,-0.697275,-0.57655,-1.1301,-1.144575,0.39525,0.497625,2.0616000000000003,2.006
