,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,14.689475,10.73115,-14.5592,-8.3531,-30.05547,-17.48493,15.49625,9.13185,-60.34475,-73.63,45.78555,65.27702500000001,-14.042175,-7.64392,-21.01399,-12.80244,5.397024999999999,10.2968,35.66595,18.443075,-13.250175000000002,-13.0372,-2.046075,-1.629725,-11.2041,-11.4075,-4.108025,-6.860325,-9.1421,-6.176825,-0.955525,-0.714675,-1.429925,-1.196475,0.367425,0.959575,2.428,1.718525
1,3.5,16.539525,12.792025,-14.599975,-9.039325,-32.203050000000005,-19.39302,17.603099999999998,10.3537,-65.000625,-81.983125,50.400525,72.943675,-14.955215,-8.423585,-22.61604,-14.286089999999998,5.9612750000000005,11.140325,40.266324999999995,23.325774999999997,-13.141749999999998,-12.9655,-1.94705,-1.51635,-11.1947,-11.449175,-3.930025,-6.4085,-9.21175,-6.557024999999999,-0.903625,-0.6600999999999999,-1.366525,-1.11915,0.36045,0.8709500000000001,2.43455,1.823325
2,4.0,18.475475,14.978675,-14.86965,-9.4974,-33.622515,-21.03252,18.75285,11.535075,-68.534375,-89.76150000000001,53.665099999999995,80.2641,-15.47947,-9.00798,-23.749314999999996,-15.6304,6.296875,11.8422,45.41205,28.69605,-13.063875,-12.893,-1.81985,-1.4044249999999998,-11.244,-11.488575,-3.7095,-5.9921999999999995,-9.35435,-6.900825,-0.8373499999999999,-0.6028249999999999,-1.284675,-1.0456249999999998,0.340825,0.790625,2.458,1.91575
3,4.5,20.874175,17.470200000000002,-15.177,-9.795325,-35.43345,-22.406505,20.256475,12.611175,-73.256125,-96.992625,58.07875,87.19717499999999,-16.20005,-9.385285,-25.135485,-16.866215,6.79015,12.465975,51.66835,35.056625,-12.9861,-12.8196,-1.697475,-1.282775,-11.288625,-11.53685,-3.509425,-5.551425,-9.4767,-7.2682,-0.775775,-0.5384,-1.20365,-0.967225,0.325275,0.7135750000000001,2.475275,2.006625
4,5.0,24.137125,20.685975,-15.0335,-10.2164,-37.96308,-24.45792,22.9296,14.24155,-79.757125,-106.806375,64.72375,96.58985,-17.339940000000002,-10.062425,-26.942729999999997,-18.616675,7.348175,13.474900000000002,60.0397,43.077275,-12.88185,-12.7528,-1.572775,-1.182425,-11.30905,-11.570375,-3.3043249999999995,-5.162974999999999,-9.577525,-7.58985,-0.718175,-0.487025,-1.1159,-0.900825,0.304425,0.6514,2.487475,2.0824249999999997
5,5.5,28.369525,24.7196,-14.861,-10.755425,-41.593965,-27.259305,26.733,16.503875,-88.45362499999999,-119.351125,73.59225,108.595325,-19.146105,-11.124925,-29.37462,-20.86715,8.064525,14.7558,70.90537499999999,53.058575,-12.782875,-12.694000000000004,-1.4661499999999998,-1.10275,-11.316725,-11.59125,-3.117925,-4.828175,-9.66495,-7.865875,-0.674675,-0.450225,-1.03515,-0.844375,0.284275,0.5969749999999999,2.499375,2.146375
6,6.0,32.659225,29.4495,-14.631325,-11.5431,-44.270685,-30.35463,29.639375,18.81155,-95.436625,-133.793375,80.805425,122.2504,-20.186345,-12.376845,-31.46027,-23.275854999999996,8.537700000000001,16.12095,82.3201,64.813175,-12.707,-12.6509,-1.355525,-1.0307499999999998,-11.351475,-11.62015,-2.9221999999999997,-4.5432,-9.7848,-8.10765,-0.6179,-0.4202749999999999,-0.963,-0.7903,0.261425,0.5474,2.5206,2.200775
7,6.5,38.092825000000005,34.63995,-14.86105,-12.16435,-48.282675,-33.063975,33.421625000000006,20.899625,-105.747625,-148.69825,90.88645,136.5339,-22.08016,-13.37309,-34.246089999999995,-25.48715,9.360925,17.4624,96.514375,77.8065,-12.649125,-12.61015,-1.2674999999999998,-0.954475,-11.381625,-11.655675,-2.7760499999999997,-4.292825,-9.873075,-8.3173,-0.5795,-0.3859249999999999,-0.8987999999999999,-0.735475,0.24575,0.50415,2.53365,2.246125
8,7.0,44.806375,41.0501,-15.6704,-12.863074999999998,-53.70085499999999,-36.510885,38.03045,23.647799999999997,-119.667125,-166.772875,103.99635,153.909425,-24.79875,-14.73074,-37.853415,-28.18159,10.847725,19.370125,113.8844,93.6651,-12.60875,-12.57235,-1.1985,-0.8893500000000001,-11.41025,-11.683000000000002,-2.67075,-4.062775,-9.937975000000002,-8.509599999999999,-0.55335,-0.3586249999999999,-0.844625,-0.6860999999999999,0.2420999999999999,0.471875,2.5417,2.281725
9,7.5,52.837475,49.0216,-16.421425,-13.9907,-60.212565,-41.245875,43.79115,27.25515,-136.496375,-189.31875,120.074825,175.32779999999997,-27.907449999999997,-16.666605,-42.34271,-31.779255,12.93105,22.12065,134.4632,113.3563,-12.569775,-12.544375,-1.139575,-0.8413499999999999,-11.430225,-11.703075,-2.583325,-3.861875,-9.986475,-8.682500000000001,-0.528075,-0.33985,-0.8012249999999999,-0.64805,0.244725,0.45125,2.54485,2.3124
