,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,32.068625,32.8069,-2.255475,-7.68895,-44.30937,-38.878365,42.0539,31.189375,-121.872625,-132.198125,119.617275,124.50905,-20.385284999999996,-16.152749999999997,-31.317435,-29.162065,13.237225,14.36155,74.426975,77.29755,-12.329325,-12.493325,-1.3817,-1.185,-10.94765,-11.30835,-3.800425,-4.029275,-8.528875000000001,-8.464075,-0.635825,-0.4927499999999999,-0.97685,-0.88955,0.4128,0.43775,2.32085,2.35615
1,3.5,38.166675,39.105075,-3.2401999999999997,-8.809650000000001,-51.309165,-45.149385,48.06892500000001,36.339775,-145.34775,-156.972125,142.10755,148.16235,-23.762384999999995,-18.959715,-36.11004,-33.706935,15.783725,17.23685,88.714925,91.823475,-12.343899999999998,-12.484325,-1.344325,-1.1546,-10.99955,-11.329725,-3.808275,-4.014175,-8.535625,-8.470199999999998,-0.6227,-0.485075,-0.946325,-0.86235,0.413525,0.4407999999999999,2.3244,2.348125
2,4.0,44.526374999999994,45.72855,-4.274425,-9.5342,-56.78122499999999,-50.018204999999995,52.5068,40.484,-164.432875,-178.31612499999997,160.158825,168.78204999999997,-26.33637,-21.053614999999997,-39.91914,-37.403245,17.611675,19.4757,104.8051,108.077225,-12.355025,-12.467525,-1.275225,-1.0938500000000002,-11.079775,-11.37365,-3.69295,-3.8997,-8.66205,-8.56785,-0.591525,-0.4601,-0.896625,-0.81745,0.3955249999999999,0.425925,2.353775,2.3634250000000003
3,4.5,51.679675,52.78905,-5.420625,-9.995025,-62.1525,-53.79573,56.731874999999995,43.8007,-183.356,-196.287625,177.935125,186.292725,-28.824814999999997,-22.473025,-43.70206,-40.41213,19.2052,21.046625,123.3766,126.2541,-12.363875,-12.44835,-1.202625,-1.0191,-11.16125,-11.429225,-3.54795,-3.71855,-8.815925,-8.729775,-0.5578000000000001,-0.4253749999999999,-0.845675,-0.7649250000000001,0.37165,0.398725,2.3873500000000005,2.391675
4,5.0,60.82155,61.15945,-6.438375,-11.0618,-69.744,-58.04175,63.305625,46.97995,-211.353375,-217.8055,204.915125,206.7437,-32.73442,-24.033210000000004,-48.643295,-43.6954,21.359,22.781625,146.46417499999998,148.0275,-12.36485,-12.4399,-1.1467,-0.9491,-11.218175,-11.490825,-3.474975,-3.561425,-8.88985,-8.878475,-0.5382250000000001,-0.39295,-0.7998000000000001,-0.7143999999999999,0.351175,0.3725,2.4080999999999997,2.42035
5,5.5,71.01955000000001,71.18435,-6.1736,-12.850049999999998,-77.41094999999999,-63.17115,71.23734999999999,50.3211,-241.08175,-242.931375,234.9079,230.0817,-36.450065,-25.93648,-53.87778,-47.709925,23.659425,24.78825,171.8213,174.1844,-12.345925,-12.439525,-1.09,-0.887475,-11.255925,-11.552075,-3.3946,-3.41275,-8.951350000000001,-9.026775,-0.513275,-0.3645,-0.758675,-0.6705,0.333125,0.348225,2.41935,2.44695
6,6.0,82.760675,82.43365,-6.23685,-14.9484,-85.69695,-69.00375,79.46010000000001,54.05535,-274.535625,-273.17125,268.2999,258.2226,-40.41302,-28.00426,-59.57864,-52.40925,26.130575,27.319075,201.09205,203.199175,-12.334375,-12.44035,-1.035475,-0.837125,-11.298875,-11.603225000000002,-3.3172249999999996,-3.3138,-9.017125,-9.126575,-0.4883,-0.339925,-0.7199,-0.636125,0.31575,0.331375,2.429775,2.46505
7,6.5,95.754975,95.9065,-6.659775,-17.5747,-94.5726,-77.08215,87.912825,59.507450000000006,-307.925,-311.2505,301.26622499999996,293.67580000000004,-44.604299999999995,-31.273085,-65.738095,-58.686935,28.6979,30.676300000000005,234.19475,237.53675,-12.328575,-12.44225,-0.987625,-0.803725,-11.340925,-11.6385,-3.2157500000000003,-3.245325,-9.112775,-9.1969,-0.465825,-0.3261,-0.686525,-0.611925,0.2996999999999999,0.3198499999999999,2.4457750000000003,2.47675
8,7.0,109.6065,110.247,-7.0139249999999995,-19.25705,-102.5895,-83.90385,95.575575,64.6468,-335.57000000000005,-343.301625,328.55607499999996,324.04044999999996,-48.17482,-33.800174999999996,-71.50319999999999,-64.183335,30.838275,33.267075,270.97125,275.31674999999996,-12.323,-12.433675,-0.935975,-0.76105,-11.387,-11.672625,-3.0616000000000003,-3.11395,-9.2614,-9.3198,-0.43955,-0.306525,-0.6524,-0.5820749999999999,0.28135,0.3017499999999999,2.472225,2.497275
9,7.5,125.365,126.15825,-7.82295,-19.511025,-112.2825,-92.3832,104.45955,72.872175,-368.78625,-380.955375,360.96205,361.446475,-52.650935,-37.246465,-78.3421,-70.80917,33.630075000000005,37.077875000000006,312.31825,316.06225,-12.3214,-12.4137,-0.89565,-0.7323,-11.425775000000002,-11.6814,-2.941725,-3.019674999999999,-9.379725,-9.394,-0.419975,-0.295125,-0.6249,-0.56105,0.268275,0.2939,2.49125,2.5053
