,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,16.228,15.1179,1.1325499999999995,2.2760749999999996,-29.58117,-19.581749999999996,30.713749999999997,21.857825,-72.61375000000001,-75.39925,73.74655,77.675325,-13.000355,-7.37151,-21.543,-15.478055,6.892474999999999,7.06695,36.174600000000005,32.897349999999996,-12.189225000000002,-12.1085,-1.82285,-1.29525,-10.366375,-10.81325,-4.474600000000001,-4.9875,-7.7146,-7.121,-0.800925,-0.48785,-1.327175,-1.024375,0.42475,0.467475,2.229125,2.176025
1,3.5,19.26145,18.132325,0.5251,1.69365,-33.489779999999996,-23.410605,34.0149,25.104275,-84.797625,-89.68437499999999,85.32310000000001,91.3784,-14.530615,-8.754294999999999,-24.575564999999997,-18.56724,7.93565,8.449825,43.600475,39.837575,-12.231725,-12.16565,-1.738675,-1.2911,-10.49305,-10.874524999999998,-4.40245,-4.946149999999999,-7.829275,-7.21945,-0.7541,-0.48305,-1.27545,-1.024525,0.412025,0.4660249999999999,2.2636,2.19705
2,4.0,23.771875,21.716424999999997,-0.3525749999999999,1.377875,-42.162119999999994,-28.321905,41.80955,29.6998,-102.654125,-108.12324999999998,102.301675,109.500875,-18.774794999999997,-10.64837,-30.43866,-22.42449,9.8706,10.284075,53.312275,47.88045,-12.273825,-12.195574999999998,-1.773575,-1.304175,-10.500225,-10.89145,-4.318300000000001,-4.978575,-7.9555,-7.217,-0.7895749999999999,-0.490325,-1.28015,-1.032625,0.4152249999999999,0.47355,2.2426500000000003,2.204825
3,4.5,27.688025,25.857175,-0.599225,0.626375,-47.619015,-33.73723499999999,47.019749999999995,34.3636,-119.70525,-128.923375,119.106025,129.549875,-21.190625,-12.701795,-34.38142,-26.667525,11.891575,12.56945,62.0342,57.329525,-12.280625,-12.234825,-1.71985,-1.30475,-10.560825,-10.930075,-4.32335,-4.985824999999999,-7.957275,-7.248975,-0.76525,-0.491325,-1.241625,-1.03155,0.429475,0.486125,2.240475,2.217175
4,5.0,31.474575,29.828925,-0.283175,-0.616425,-52.321845,-37.906755,52.038675,37.2903,-132.508875,-144.584625,132.22557500000002,143.968325,-23.28137,-14.20371,-37.78919499999999,-30.039430000000003,13.26885,14.032425,70.7835,67.1385,-12.267975,-12.279675,-1.662325,-1.2708,-10.605675,-11.0089,-4.210025,-4.8469750000000005,-8.057975,-7.432725,-0.739525,-0.476225,-1.200375,-1.0071750000000002,0.42155,0.470425,2.2488750000000004,2.2508
5,5.5,36.058575000000005,35.03977499999999,-0.543675,-2.99465,-58.335089999999994,-44.81334,57.791425,41.8187,-148.67225,-168.556625,148.128325,165.5621,-26.12486,-17.220855,-41.962565,-35.121975,15.379325,16.967299999999998,81.1349,78.93505,-12.274075,-12.344449999999998,-1.617775,-1.278925,-10.6563,-11.065525,-4.1231,-4.8102,-8.151,-7.534249999999999,-0.724375,-0.4912999999999999,-1.163525,-1.00205,0.4265,0.4842000000000001,2.2500750000000003,2.25275
6,6.0,41.573675,40.869775,-1.57905,-5.503675,-65.74529999999999,-52.558455,64.16624999999999,47.05477499999999,-169.772125,-195.992875,168.1932,190.489075,-29.977205,-20.766615,-46.751675,-40.63177,17.509525000000004,20.03525,93.94295,92.1134,-12.297,-12.39365,-1.581375,-1.285975,-10.715575,-11.107625,-4.0836749999999995,-4.795325,-8.21335,-7.598325000000001,-0.72095,-0.507925,-1.124375,-0.99385,0.4211749999999999,0.4901999999999999,2.259675,2.25385
7,6.5,46.2932,45.797975,-2.3829,-7.448600000000001,-71.39009999999999,-58.29881999999999,69.0072,50.8502,-185.14475,-217.15925,182.76185,209.71115,-32.635844999999996,-23.232715,-50.68666,-44.84625,19.097975,22.437025,105.4077,103.642475,-12.3105,-12.421625,-1.542125,-1.27295,-10.768349999999998,-11.148675,-3.999375,-4.7415,-8.311074999999999,-7.6801,-0.704825,-0.5072,-1.094675,-0.97905,0.41255,0.4899,2.27695,2.26305
8,7.0,51.7427,50.2118,-4.1655,-8.6993,-79.3269,-62.6919,75.1614,53.9926,-206.10825,-234.52075,201.94275,225.8217,-36.550855,-25.00036,-56.031065,-48.210415,22.0841,24.5916,117.769625,114.187125,-12.3395,-12.43225,-1.5330750000000002,-1.248525,-10.806375,-11.183675,-3.983325,-4.670475000000001,-8.356200000000001,-7.7618,-0.7062499999999999,-0.4978,-1.082675,-0.95995,0.426775,0.48975,2.276075,2.274125
9,7.5,56.796875,55.798300000000005,-5.19935,-9.3604,-85.39875,-69.08835,80.1994,59.72795000000001,-221.515125,-256.422125,216.3159,247.0621,-39.37828,-28.0108,-60.273,-52.78008,24.1921,27.436125,129.856575,127.0134,-12.350525,-12.426725,-1.503575,-1.23815,-10.846975,-11.188575,-3.900125,-4.5950500000000005,-8.4504,-7.831675,-0.693225,-0.5015000000000001,-1.061075,-0.944975,0.425925,0.49165,2.2863499999999997,2.276325
