,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,10.716925,10.7024,-0.401975,-10.54355,-25.811774999999997,-24.109215,25.409825,13.565675,-61.82725,-96.255875,61.4253,85.71235,-12.35404,-10.21812,-17.634255,-17.812115,8.18805,11.0381,19.234475,18.34765,-12.296575,-13.24445,-2.408225,-2.253,-9.88835,-10.991475,-5.7692250000000005,-8.995275,-6.527324999999999,-4.24915,-1.155125,-0.9534,-1.648975,-1.6619,0.763975,1.0314,1.7946,1.714275
1,3.5,12.47715,11.454300000000002,0.343625,-10.041725,-29.381745,-25.266,29.7254,15.22425,-71.083875,-100.7765,71.42767500000001,90.734825,-14.251865,-10.710945,-19.896745,-18.692755,9.23135,11.582425,22.5039,19.51985,-12.231575,-13.136225,-2.3546500000000004,-2.2063,-9.876925,-10.929900000000002,-5.697275,-8.799675,-6.5343,-4.33655,-1.14455,-0.933025,-1.598,-1.62815,0.7398750000000001,1.011225,1.803475,1.704125
2,4.0,13.444925,12.68915,1.247075,-10.01595,-30.904019999999996,-27.426915,32.15112499999999,17.41095,-74.9565,-108.427,76.2034,98.411475,-14.886235,-11.68884,-21.042795,-20.245909999999995,9.673975,12.6084,24.436400000000003,21.56645,-12.166375,-13.048925,-2.298375,-2.161975,-9.868,-10.88695,-5.575225,-8.54765,-6.591175,-4.50125,-1.109125,-0.918825,-1.5679,-1.591425,0.71955,0.993875,1.8173749999999995,1.69925
3,4.5,14.8807,14.811325,0.668775,-12.18925,-34.47381,-32.6076,35.14255,20.418375,-86.92699999999999,-126.445625,87.59570000000001,114.25635,-16.648425,-14.224395,-23.44757,-23.729585,11.81485,15.599474999999998,26.798475000000003,24.98505,-12.21415,-13.082325,-2.316525,-2.2019249999999997,-9.8976,-10.8804,-5.841725,-8.540325000000001,-6.372425,-4.542025,-1.12035,-0.958525,-1.57795,-1.5990000000000002,0.794,1.05355,1.80075,1.686325
4,5.0,16.639575,16.344775,0.774825,-13.40565,-38.95896,-36.063945,39.733775,22.6583,-100.87575,-139.370875,101.650575,125.965075,-19.177815,-15.80155,-26.139365,-26.184665,14.2109,17.5524,29.510025,27.398625,-12.2125,-13.0796,-2.3411999999999997,-2.206825,-9.871300000000002,-10.872775,-6.062524999999999,-8.529675000000001,-6.15,-4.549925,-1.154125,-0.964925,-1.573125,-1.5989749999999998,0.854075,1.074175,1.773375,1.675875
5,5.5,17.818150000000003,17.4163,1.402225,-13.773600000000002,-41.56719,-38.16963,42.9694,24.396025,-107.728625,-146.8655,109.130975,133.0917,-20.57352,-16.691285,-27.782135000000004,-27.704155,15.5705,18.812275,31.40135,29.0705,-12.1804,-13.0503,-2.33275,-2.1917500000000003,-9.847625,-10.85855,-6.046125,-8.435875000000001,-6.134275000000001,-4.614425,-1.15615,-0.957225,-1.5613,-1.588975,0.87385,1.080425,1.76225,1.6687250000000002
6,6.0,19.315775,18.455525,1.479075,-13.97545,-45.20636999999999,-40.034715000000006,46.685475,26.05925,-117.8205,-152.84387499999997,119.299575,138.868575,-22.4272,-17.40507,-30.180325000000003,-29.15174,17.158175,19.6419,34.05365,31.066825,-12.1825,-13.0167,-2.3403,-2.1693499999999997,-9.842225,-10.847375,-6.099775,-8.284600000000001,-6.082725,-4.732100000000001,-1.16245,-0.9422,-1.564375,-1.578275,0.8883000000000001,1.0645249999999995,1.762925,1.683
7,6.5,20.81715,20.084425,1.666225,-14.2488,-48.49539,-43.408965,50.161575,29.160175,-127.311,-163.8945,128.977475,149.645675,-24.13728,-18.887575,-32.288039999999995,-31.576949999999997,18.70525,21.21895,36.4263,33.7851,-12.178999999999998,-12.968825,-2.3295,-2.1613,-9.8495,-10.807525000000002,-6.1158,-8.163075,-6.063225,-4.805775000000001,-1.161075,-0.9400000000000002,-1.553175,-1.571775,0.8985750000000001,1.05675,1.7497,1.6818000000000002
8,7.0,23.776675,22.997975,1.670775,-15.34635,-55.44593999999999,-49.506674999999994,57.1167,34.16035,-146.22975,-183.524375,147.90052500000002,168.1779,-27.89548,-21.610864999999997,-36.644995,-35.957335,21.5843,23.959375,41.1237,38.897075,-12.18875,-12.9267,-2.33185,-2.152675,-9.856875,-10.774025,-6.1502,-7.982325,-6.03855,-4.944375,-1.17455,-0.9391,-1.5429750000000002,-1.5627750000000002,0.9078,1.0419999999999998,1.72955,1.69105
9,7.5,28.125275,26.595125,3.66025,-16.252374999999997,-65.57655,-56.38639499999999,69.23680000000002,40.134,-168.790875,-206.032,172.45125000000002,189.779625,-33.409485000000004,-24.607295,-42.991435,-40.971825,24.9301,26.834825,48.4813,45.693625,-12.12885,-12.8705,-2.331575,-2.120175,-9.797275,-10.7503,-6.001399999999999,-7.748575000000001,-6.127425,-5.121925,-1.188625,-0.9245,-1.529525,-1.53945,0.8864,1.009075,1.7237250000000002,1.718
10,8.0,31.347175,30.03085,5.291525,-18.14605,-72.14805,-62.54249999999999,77.439575,44.39645,-181.63825,-228.335375,186.930025,210.18944999999997,-36.730815,-27.07643,-47.350035000000005,-45.65756,26.8484,30.09305,54.4447,52.027249999999995,-12.090225,-12.86345,-2.30155,-2.082625,-9.78865,-10.78085,-5.7944,-7.604425,-6.29575,-5.25905,-1.1723249999999998,-0.90105,-1.511275,-1.5195250000000002,0.8565,1.002125,1.736825,1.732375
