,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,23.0815,20.162075,6.5936,5.721875000000001,-42.201165,-35.040285,48.794775,40.762175,-92.055875,-96.03575,98.64935,101.757875,-20.37935,-14.79376,-28.88419,-25.673075,11.384825,11.450525,49.36852499999999,40.8439,-11.973350000000002,-11.9768,-1.82835,-1.739375,-10.144975,-10.2374,-3.9883,-4.76545,-7.985024999999999,-7.21135,-0.8831,-0.7310500000000001,-1.251625,-1.2674,0.4932249999999999,0.568325,2.138875,2.0257499999999995
1,3.5,25.338600000000003,22.762025,6.9379,5.7714,-45.446819999999995,-38.374469999999995,52.384725,44.145875,-102.324875,-108.43225,109.2629,114.2034,-21.859955,-16.096865,-31.174015,-28.252645,12.805775,13.078875,54.06225,46.212475,-11.985175000000002,-12.006625,-1.7936,-1.686975,-10.1916,-10.31965,-4.038275,-4.765375,-7.946875,-7.2413,-0.8632,-0.704625,-1.2309750000000002,-1.2356250000000002,0.505375,0.574825,2.1336,2.03025
2,4.0,27.508825,25.357225,7.6167,6.1167,-48.219105,-41.318895,55.835800000000006,47.435625,-110.62025,-118.531125,118.23695,124.6482,-23.051924999999997,-17.18445,-33.20944,-30.53547,13.85895,14.414875,58.7289,51.879525,-11.9821,-12.018525,-1.752875,-1.630325,-10.22925,-10.3882,-4.021275,-4.675599999999999,-7.960875,-7.342925,-0.8385,-0.675975,-1.207975,-1.2003749999999995,0.5038,0.5686249999999999,2.1349,2.045925
3,4.5,30.89285,28.420275,10.566725,7.227874999999999,-53.431484999999995,-44.996055,63.998175,52.22395,-122.798,-129.32475,133.364725,136.552625,-25.502685,-18.47612,-36.84116,-33.409710000000004,15.356475,15.7777,65.61734999999999,58.61125,-11.916925,-12.00485,-1.7296,-1.583375,-10.187375,-10.4215,-3.97495,-4.5508500000000005,-7.942,-7.454025000000001,-0.8260000000000001,-0.64935,-1.193225,-1.173975,0.4970749999999999,0.555175,2.1240500000000004,2.062275
4,5.0,35.38265,33.1628,13.146125,9.265,-60.6513,-52.23144,73.797425,61.49645,-139.077625,-146.953125,152.223625,156.21775000000002,-29.08569,-21.63386,-41.69938,-38.409865,17.777825,18.4432,74.72210000000001,68.49062500000001,-11.88745,-11.97925,-1.71415,-1.5735,-10.173275,-10.405775,-3.930675,-4.431025,-7.956799999999999,-7.548275,-0.8223,-0.65265,-1.178925,-1.159775,0.5024500000000001,0.5561250000000001,2.1118,2.06525
5,5.5,38.99915,37.46045,14.315325,10.707175,-65.14365000000001,-57.35323499999999,79.458975,68.0604,-150.820625,-161.99725,165.135825,172.704425,-31.162509999999997,-23.729785,-44.85243,-42.22918,19.341775,20.606025,82.773825,77.61217500000001,-11.89195,-11.97295,-1.6704,-1.529275,-10.22155,-10.443675,-3.86725,-4.324275,-8.024675,-7.648675,-0.7994,-0.6340250000000001,-1.150525,-1.1295,0.49595,0.550025,2.1224499999999997,2.071875
6,6.0,42.374325,41.61942500000001,15.214875,10.99855,-68.66505000000001,-61.412265,83.87992500000001,72.410825,-161.623875,-174.809375,176.838625,185.80805,-32.68631,-25.31492,-47.42064,-45.274285,20.903825,22.2721,90.4331,87.12897500000001,-11.89995,-11.9944,-1.62045,-1.473925,-10.279525,-10.520475,-3.8142,-4.200125,-8.0858,-7.794300000000001,-0.7717750000000001,-0.6092500000000001,-1.119675,-1.09095,0.4932999999999999,0.5351,2.13415,2.093475
7,6.5,46.518675,46.797925,17.738925,11.52425,-73.46775,-67.025655,91.206675,78.5499,-176.54375000000002,-193.527375,194.282425,205.0515,-34.83914,-27.72361,-50.880155,-49.292455,23.158049999999996,24.852525,99.014575,98.416475,-11.877675,-12.0125,-1.5793,-1.430575,-10.29835,-10.581925,-3.795075,-4.135375,-8.08255,-7.8771,-0.749225,-0.59385,-1.094175,-1.05715,0.497825,0.531025,2.1285,2.10305
8,7.0,52.024425,52.887075,20.668675,11.81765,-80.45895,-74.24265,101.127625,86.06030000000001,-195.09575,-216.305875,215.764425,228.1234,-38.12627,-30.81469,-55.78858,-54.49469,26.003225,28.5485,110.597575,111.499975,-11.861725,-12.0354,-1.54655,-1.40225,-10.315125,-10.633125,-3.75005,-4.089925,-8.11165,-7.94545,-0.732975,-0.58425,-1.072525,-1.034425,0.4998,0.539725,2.12585,2.1083499999999997
9,7.5,59.665074999999995,60.269125,22.732424999999996,12.10995,-90.9597,-82.08359999999999,113.692125,94.19355,-224.79699999999997,-243.271625,247.529925,255.3812,-43.38949,-34.062255,-62.786064999999994,-60.305705,30.527775,32.75535,126.225475,127.668925,-11.878025,-12.05795,-1.5245,-1.360725,-10.3535,-10.697299999999998,-3.76765,-4.036275,-8.11035,-8.021725,-0.7273,-0.5668249999999999,-1.052425,-1.00445,0.51165,0.5433749999999999,2.11555,2.11845
