,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,26.157425,24.3659,3.548625,-0.2316999999999999,-43.07991,-30.259109999999996,46.628525,30.027425,-93.93375,-102.708625,97.482375,102.4768,-19.77787,-11.8035,-30.433345,-23.58687,11.4099,13.666225,57.82785,51.802425,-12.123325,-12.2684,-1.64695,-1.2419,-10.476375,-11.026475,-3.591075,-4.215225,-8.532275,-8.053175,-0.756,-0.48485,-1.1633,-0.968875,0.4362,0.560875,2.2107750000000004,2.12595
1,3.5,29.480125,28.17615,4.66735,-0.162325,-46.333095,-33.74301,51.000449999999994,33.580675,-100.873625,-119.07025,105.5411,118.907925,-21.080445,-13.062155,-32.919515000000004,-26.4026,12.2694,15.482275,65.934225,60.270799999999994,-12.100675,-12.264475,-1.571675,-1.19775,-10.529,-11.066724999999998,-3.42175,-4.2259,-8.678899999999999,-8.038575,-0.715,-0.464275,-1.116575,-0.9385,0.4162,0.5495,2.236575,2.138875
2,4.0,32.81985,32.3117,5.239275,-0.690625,-49.53909,-37.641434999999994,54.778400000000005,36.950825,-108.992375,-138.274375,114.231525,137.58362499999998,-22.32033,-14.458795000000002,-35.37892,-29.53674,13.403925,17.71415,74.06105,69.42485,-12.09935,-12.28,-1.5094250000000002,-1.165225,-10.589925,-11.114775,-3.320925,-4.279425,-8.778425,-8.0006,-0.6802750000000001,-0.4485,-1.078225,-0.916275,0.4084,0.5483,2.256625,2.14835
3,4.5,37.581125,37.761275,5.893,-1.098275,-56.35281,-44.50161,62.2458,43.4033,-130.56225,-167.068,136.45525,165.969975,-25.429535,-17.468215,-40.22535499999999,-34.481895,16.263075,21.6639,83.7304,80.37507500000001,-12.1022,-12.2877,-1.499475,-1.1789,-10.602675,-11.1088,-3.47415,-4.424575,-8.62805,-7.863175,-0.676725,-0.463925,-1.0705,-0.9159,0.43275,0.573875,2.228,2.1281749999999997
4,5.0,42.996975,42.860725,6.30815,-1.614125,-63.612449999999995,-49.25964,69.9206,47.64552499999999,-150.917625,-187.91975,157.2259,186.305875,-28.815695,-19.379444999999997,-45.351955,-38.16301,18.70715,24.489099999999997,95.90375,91.74305,-12.1123,-12.2963,-1.479475,-1.1497,-10.63285,-11.146625,-3.50995,-4.384650000000001,-8.60235,-7.911675,-0.67005,-0.453325,-1.054525,-0.892775,0.4351,0.5715,2.2305,2.140225
5,5.5,48.4833,48.35185,6.838050000000001,-2.4444,-69.82844999999999,-53.39442,76.66650000000001,50.95,-167.59799999999998,-207.30575,174.43655,204.86135,-31.728105,-20.99589,-49.70165,-41.405755,20.782875,26.92745,108.5627,104.6492,-12.11795,-12.309225,-1.4402499999999998,-1.104675,-10.677725,-11.204575,-3.4568,-4.2875000000000005,-8.66115,-8.021775,-0.6542749999999999,-0.4352,-1.02495,-0.8583750000000001,0.42865,0.557025,2.2392000000000003,2.164075
6,6.0,54.24475,54.47877499999999,7.796150000000001,-2.5549500000000003,-75.10379999999999,-57.58131,82.89995,55.02635,-182.801,-226.52875,190.59715,223.97429999999997,-34.143555,-22.63326,-53.43236,-44.68629,22.2581,29.01115,122.59035000000002,119.4879,-12.1153,-12.305675,-1.38455,-1.057275,-10.730725,-11.2484,-3.369925,-4.15815,-8.745325000000001,-8.1475,-0.629375,-0.4162249999999999,-0.98495,-0.821975,0.410325,0.5326249999999999,2.25995,2.1931
7,6.5,60.90715,61.286475,9.365975,-2.4496,-81.25005,-61.99575,90.616025,59.54615,-199.305875,-245.442,208.671725,242.9924,-36.8896,-24.209505,-57.83677,-48.22488,23.818050000000003,30.727325,138.843975,136.61815,-12.105250000000002,-12.298875,-1.334,-1.011875,-10.7712,-11.287025,-3.272275,-4.005125,-8.832925,-8.293750000000001,-0.6056999999999999,-0.3958,-0.9496,-0.7886,0.39105,0.501475,2.279625,2.229
8,7.0,68.063775,69.372225,9.4418,-2.81065,-87.22215,-67.3665,96.66395,64.55584999999999,-215.725375,-266.64825,225.1673,263.83785,-39.34062,-26.251245000000004,-62.321995,-52.461225,25.628725000000003,32.976825,157.01575,157.042325,-12.120275,-12.2995,-1.281475,-0.971325,-10.838775,-11.3282,-3.169475,-3.844175,-8.9508,-8.455325,-0.578075,-0.379,-0.915825,-0.757625,0.376525,0.4754499999999999,2.3069,2.263625
9,7.5,76.15085,78.430925,8.934525,-3.329525,-93.59865,-73.8357,102.533175,70.506175,-233.385625,-291.73312500000003,242.320025,288.403475,-42.00613,-28.905215,-67.111905,-57.391895,27.840849999999996,36.346575,177.74905,179.35635000000002,-12.141675,-12.30145,-1.229125,-0.9416,-10.912525,-11.35985,-3.064775,-3.720125,-9.0769,-8.5813,-0.551675,-0.3689,-0.8814,-0.732625,0.3656,0.463525,2.33415,2.28665
