,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,32.850125,32.503924999999995,0.825175,-5.1029,-37.133925,-28.677375,37.959125,23.574475,-80.91025,-93.003875,81.735425,87.90109999999999,-17.485305,-10.693095,-25.80392,-22.770845,10.81675,11.755475,79.90180000000001,79.16635000000001,-12.23385,-12.41605,-1.1304250000000002,-0.8822749999999999,-11.103475,-11.53375,-2.463025,-2.8614499999999996,-9.77085,-9.554575,-0.53225,-0.328925,-0.785475,-0.70045,0.329275,0.3617,2.4323249999999996,2.435575
1,3.5,39.942425,40.099975,3.2091749999999997,-5.17465,-42.92273999999999,-33.942555,46.131925,28.767874999999997,-94.836375,-111.547625,98.045675,106.37335,-20.38454,-12.947555,-29.650065000000005,-26.668225,12.938225,14.555225,96.7823,97.53255,-12.17865,-12.388075,-1.074625,-0.846425,-11.10405,-11.54165,-2.37435,-2.78175,-9.80435,-9.606325,-0.510375,-0.322825,-0.742375,-0.665,0.323925,0.362975,2.42305,2.432225
2,4.0,47.0697,47.31475,4.83345,-4.4159999999999995,-48.5013,-37.247265,53.33475,32.8313,-109.605,-122.82225,114.4382,118.406,-23.03418,-14.256715,-33.50014,-29.222589999999997,15.444675,16.2107,113.8166,116.0353,-12.156300000000002,-12.352325,-1.030425,-0.7872250000000001,-11.125925,-11.56515,-2.32855,-2.595875,-9.82775,-9.756474999999998,-0.48945,-0.301275,-0.71185,-0.617575,0.328125,0.34265,2.418075,2.452425
3,4.5,54.545875,54.682,5.437899999999999,-4.3136,-52.517745,-39.60195,57.955650000000006,35.28835,-120.413375,-131.51575,125.8509,127.2019,-24.71363,-15.022185,-36.510749999999994,-31.19482,17.219775,17.470975,133.042725,135.53755,-12.1593,-12.337925,-0.962825,-0.724225,-11.196475,-11.613675,-2.207575,-2.405125,-9.951775,-9.9328,-0.4531,-0.274725,-0.669375,-0.570525,0.3157,0.319525,2.4391,2.478625
4,5.0,62.7576,62.79752500000001,5.332675,-4.59165,-55.931205,-42.05301,61.263875,37.461375,-128.8205,-140.65325,134.153175,136.06185,-26.271475,-15.807865,-38.9408,-33.271969999999996,18.491300000000003,18.837475,155.08725,157.17804999999998,-12.174025,-12.332125,-0.8912,-0.669675,-11.2828,-11.662475,-2.052675,-2.23975,-10.12135,-10.092375,-0.418575,-0.251725,-0.620425,-0.529825,0.2946499999999999,0.29995,2.4711999999999996,2.502925
5,5.5,72.085325,72.83825,5.650725,-5.3659,-59.849805,-47.083275,65.50055,41.71735,-137.737,-159.305375,143.387725,153.93935,-28.09545,-18.024164999999996,-41.68809,-36.92159,19.785325,21.796149999999997,180.02505000000002,182.799225,-12.180599999999998,-12.332675,-0.830225,-0.6464000000000001,-11.35035,-11.686275,-1.91075,-2.18705,-10.269850000000002,-10.1456,-0.389725,-0.24745,-0.578275,-0.506925,0.2744499999999999,0.299225,2.4974000000000003,2.5096499999999997
6,6.0,82.90835,83.5193,7.078475,-5.5844,-64.95,-51.33144000000001,72.028475,45.74702500000001,-150.47162500000002,-174.918,157.547975,169.3346,-30.53327,-19.76495,-45.207795,-40.11898,21.43155,24.003575,208.27025,210.676,-12.17365,-12.325875,-0.783425,-0.6146,-11.390225,-11.71125,-1.8149,-2.0943,-10.358725,-10.231525,-0.3682499999999999,-0.236675,-0.54525,-0.48045,0.2584999999999999,0.287425,2.51205,2.5225
7,6.5,95.85377499999998,95.97895,8.996425,-7.541550000000001,-73.39155,-58.138575,82.38797500000001,50.597024999999995,-172.146875,-198.867625,181.143175,191.32545,-35.025325,-22.892655,-50.564645,-44.920289999999994,24.1454,27.3988,240.91575,242.3305,-12.165175,-12.337575,-0.765675,-0.60575,-11.3995,-11.731825,-1.795925,-2.071975,-10.369225,-10.2656,-0.365375,-0.238575,-0.5275,-0.468125,0.2519,0.28545,2.51335,2.5248500000000003
8,7.0,108.245,108.9715,9.887925,-7.385875,-78.89714999999998,-63.1161,88.78507499999999,55.730225,-186.459,-216.019625,196.347925,208.636625,-37.499905,-24.87187,-54.51419,-48.728629999999995,25.755374999999997,29.645625,273.70475,276.4695,-12.16765,-12.326775,-0.72885,-0.5792250000000001,-11.438775,-11.747575,-1.7225499999999998,-1.9823,-10.445075,-10.344425,-0.346425,-0.228325,-0.503625,-0.447275,0.237925,0.272025,2.52855,2.537075
9,7.5,121.64975,123.46375,10.174275,-7.382899999999999,-84.29625,-68.62845,94.470525,61.24555,-199.537625,-234.16337499999997,209.711775,226.7771,-39.911784999999995,-27.20767,-58.387874999999994,-52.809864999999995,27.48545,31.976450000000003,309.73575,314.765,-12.175375,-12.3188,-0.69295,-0.555875,-11.482425,-11.76295,-1.640275,-1.8966,-10.5351,-10.422225,-0.328075,-0.220425,-0.479975,-0.427825,0.2259499999999999,0.259,2.546125,2.54945
