,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,20.007525,20.022824999999997,-1.75,-1.238675,-28.80201,-21.657404999999997,27.052,20.418725,-74.82000000000001,-76.352625,73.07000000000001,75.113825,-12.840229999999998,-8.918595,-20.77484,-16.35496,8.682725,9.294975,46.207325,45.709875,-12.34645,-12.32095,-1.43955,-1.0818249999999998,-10.9069,-11.2391,-3.7396,-3.815375,-8.60685,-8.505600000000001,-0.641675,-0.446775,-1.038175,-0.81945,0.433975,0.4647,2.3095,2.282425
1,3.5,24.8605,25.263875,-1.083125,-0.30265,-34.880804999999995,-26.92182,33.7977,26.619175,-91.618375,-95.354125,90.535125,95.05135,-15.880775,-11.555305,-24.80597,-19.86111,11.1575,12.012675,57.168175000000005,57.057075,-12.302525,-12.271025000000002,-1.403075,-1.065825,-10.8995,-11.2052,-3.6853,-3.7757,-8.61725,-8.495325,-0.638825,-0.4586,-0.997825,-0.7883249999999999,0.448825,0.475825,2.29955,2.2581249999999997
2,4.0,30.33095,30.8157,-0.058625,0.0919,-41.96262,-31.6632,41.903975,31.7551,-110.801,-109.693125,110.74237499999998,109.78465,-19.42523,-13.852345,-29.520505,-23.08721,13.973,13.9999,68.842075,70.259825,-12.260925,-12.256025,-1.383475,-1.027575,-10.87745,-11.228425,-3.653075,-3.5605499999999997,-8.607825,-8.6955,-0.6404749999999999,-0.450475,-0.973325,-0.75085,0.4607,0.45455,2.2696750000000003,2.2798
3,4.5,36.7213,36.761325,-0.9333,-0.715925,-51.467745,-36.610319999999994,50.534400000000005,35.894425,-140.468625,-127.279,139.53495,126.563075,-24.134735,-15.977810000000002,-35.887685,-26.742295,18.850425,16.8268,81.62405000000001,84.08635,-12.284425,-12.2785,-1.40155,-0.99595,-10.88285,-11.28255,-3.82525,-3.462825,-8.459150000000001,-8.8157,-0.65735,-0.43525,-0.977475,-0.7284999999999999,0.51335,0.45785,2.222775,2.2872250000000003
4,5.0,42.999425,43.151575,-1.0168,-1.2056,-57.966719999999995,-41.238119999999995,56.949925,40.032525,-161.001625,-144.42175,159.98470000000003,143.21589999999998,-27.08764,-17.939055,-40.50662,-30.230334999999997,21.650599999999997,19.31175,95.926675,99.299975,-12.28265,-12.286975,-1.348075,-0.9557,-10.93455,-11.3313,-3.744275,-3.3471249999999997,-8.5384,-8.93985,-0.6301,-0.415925,-0.94225,-0.7009000000000001,0.503525,0.4476,2.2308749999999997,2.30115
5,5.5,49.398275,49.89445,-1.0448,-1.310675,-62.15685,-44.911485,61.11205,43.6008,-172.686875,-158.32524999999998,171.6422,157.014325,-29.02601,-19.451345,-43.465525,-32.996755,22.9277,20.819275,112.40615,116.33575,-12.28015,-12.2853,-1.258275,-0.90015,-11.021875,-11.38515,-3.495825,-3.17335,-8.78435,-9.111925,-0.587675,-0.38995,-0.8800250000000001,-0.661475,0.464125,0.4173,2.275525,2.331625
6,6.0,56.021325,57.3121,-1.1771,-1.539975,-65.57865,-47.564025,64.40155,46.02405,-182.09,-168.907625,180.91265,167.367775,-30.524924999999996,-20.38637,-45.960825,-35.190839999999994,23.7541,21.89695,130.13805,136.01512499999998,-12.28,-12.285875,-1.1706,-0.82995,-11.10945,-11.455975,-3.250375,-2.947225,-9.029625,-9.33865,-0.5449250000000001,-0.35565,-0.820525,-0.613925,0.424025,0.3821,2.323025,2.3732
7,6.5,64.98345,66.27815,-0.4174,-1.45715,-71.78385,-52.059075,71.36644999999999,50.6019,-196.411,-184.014375,195.9931,182.55735,-33.672959999999996,-22.35268,-50.04364,-38.52913,25.2258,23.7133,153.51825,159.257675,-12.265425,-12.281,-1.104675,-0.785475,-11.160799999999998,-11.495525,-3.022475,-2.776475,-9.24295,-9.504525,-0.5182249999999999,-0.3371,-0.7702,-0.5810500000000001,0.3882,0.3578,2.362425,2.40285
8,7.0,75.21770000000001,76.235225,0.12405,-1.787875,-79.0065,-56.723355,79.13055,54.935475,-214.4465,-199.8585,214.57105,198.070625,-37.434875000000005,-24.286,-54.70587,-42.053675,27.3011,25.657075,179.85065,185.273125,-12.25735,-12.28245,-1.050375,-0.74405,-11.20695,-11.5384,-2.85105,-2.62165,-9.40635,-9.660775,-0.497675,-0.3184,-0.727325,-0.551375,0.36295,0.3365499999999999,2.391075,2.4303
9,7.5,85.45065,86.75294999999998,1.2495,-0.665575,-84.7098,-62.10719999999999,85.95929999999998,61.441624999999995,-230.229875,-217.4635,231.477,216.799425,-40.11682499999999,-26.43817,-58.662065,-46.20421,29.146274999999996,27.856050000000003,206.20875,212.0575,-12.244375,-12.26665,-0.991325,-0.7159,-11.253050000000002,-11.550775000000002,-2.6943,-2.506775,-9.550125,-9.759875,-0.4695249999999999,-0.30455,-0.6865249999999999,-0.532275,0.341075,0.3211,2.413175,2.444375
10,8.0,95.464,97.249275,1.16315,-0.6736500000000001,-88.20615,-64.98465,89.3693,64.311,-240.33675,-229.831375,241.5004,229.1571,-41.49526,-27.2296,-61.3516,-48.7801,30.419475,29.30205,233.415,240.249,-12.2468,-12.265925,-0.92395,-0.668225,-11.322850000000004,-11.597675,-2.517575,-2.3634500000000003,-9.729225,-9.902449999999998,-0.4347,-0.27975,-0.6426999999999999,-0.5012,0.31865,0.301325,2.445075,2.4704249999999996
11,8.5,107.095,108.652,1.3626,-1.30515,-92.9358,-67.85385,94.2984,66.5487,-252.54325,-243.114625,253.9051,241.81235,-43.627155,-28.02722499999999,-64.73387,-51.358925,31.928075,30.844775,264.87850000000003,271.12699999999995,-12.246275,-12.271025,-0.867775,-0.6244999999999999,-11.3785,-11.6465,-2.3581000000000003,-2.2377249999999997,-9.88815,-10.033275,-0.4074,-0.257675,-0.604525,-0.472225,0.298125,0.2839,2.4733,2.495325
12,9.0,121.00325,122.1245,0.71885,-2.44325,-98.712,-72.05984999999998,99.43085,69.6166,-266.453,-262.46387500000003,267.17135,260.02425,-46.20282499999999,-29.417355,-68.89256999999999,-54.89388,33.70015,33.483525,302.971,306.9222500000001,-12.253050000000002,-12.279025,-0.8157749999999999,-0.59005,-11.437275,-11.688975,-2.202025,-2.14935,-10.051025,-10.129675,-0.3818749999999999,-0.2406249999999999,-0.5694250000000001,-0.449025,0.2784999999999999,0.2742,2.503825,2.51315
13,9.5,136.975,138.3465,1.3239999999999998,-4.357725,-106.40115,-78.69465,107.72515,74.33692500000001,-284.13149999999996,-290.23224999999996,285.454,285.872275,-49.746275,-32.03736000000001,-74.33019999999999,-60.01894,36.161249999999995,37.53105,345.919,349.32525,-12.24935,-12.290525,-0.7768,-0.56885,-11.47255,-11.721699999999998,-2.074325,-2.098025,-10.175,-10.192475,-0.363225,-0.231375,-0.542725,-0.43345,0.264,0.2713,2.525425,2.525
14,10.0,155.4525,156.31875,2.5022,-7.04595,-116.69475,-87.19035000000001,119.19695,80.1444,-308.04175,-326.2025,310.54470000000003,319.15905,-54.674375000000005,-35.419055,-81.42205,-66.62958499999999,39.910775,42.68792499999999,394.49,395.2625,-12.242875000000002,-12.304075,-0.750675,-0.5577749999999999,-11.492225,-11.746325,-1.981575,-2.086975,-10.2613,-10.217125,-0.3517,-0.226375,-0.5238,-0.4258499999999999,0.256725,0.2731,2.5377,2.52855
