,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,24.674525,24.213725,2.3957500000000005,-0.091175,-33.18888,-29.86584,35.584649999999996,29.77465,-67.10825,-81.456375,69.50450000000001,81.365325,-15.193499999999998,-12.016099999999998,-23.647689999999997,-22.781185,8.222175,10.20205,59.645375,56.985175,-12.16185,-12.263025,-1.344975,-1.233525,-10.816875,-11.0295,-2.7197500000000003,-3.36515,-9.442125,-8.89785,-0.6152500000000001,-0.495825,-0.9576,-0.9401499999999998,0.333225,0.421525,2.417275,2.353275
1,3.5,29.868825,28.868149999999996,1.025675,-1.4968499999999998,-39.943965,-34.529775,40.969625,33.032925,-85.6475,-100.29725,86.673175,98.80065,-18.339025,-13.96831,-28.378590000000003,-26.275155,11.470325,13.225,71.4784,67.49205,-12.22465,-12.311125,-1.337275,-1.1962000000000002,-10.887375,-11.1149,-2.86745,-3.4753749999999997,-9.3572,-8.83575,-0.6135999999999999,-0.48345,-0.9495,-0.909525,0.38405,0.458325,2.39305,2.337775
2,4.0,34.841525000000004,34.09705,-0.09025,-2.907025,-44.99343,-39.30303,44.9032,36.396025,-100.002,-117.21875,99.91175,114.31172499999998,-20.482505,-15.9531,-32.122575,-29.778825,13.74025,15.9239,83.58959999999999,79.8602,-12.261575,-12.34425,-1.29135,-1.152675,-10.970225,-11.191575,-2.8702,-3.437825,-9.391375,-8.906425,-0.5876,-0.467875,-0.921525,-0.87335,0.3944,0.467025,2.3991249999999997,2.342125
3,4.5,40.88120000000001,39.790175,-1.936375,-4.339250000000001,-50.44485,-43.55538,48.5085,39.2161,-118.391375,-134.569625,116.455125,130.2305,-22.82096,-17.568875,-36.149835,-33.07875,15.959925000000002,18.2974,98.695075,93.79395,-12.306375,-12.3679,-1.233925,-1.09455,-11.07245,-11.273375,-2.895975,-3.3814,-9.410375,-8.9865,-0.5579500000000001,-0.4416749999999999,-0.883875,-0.8316000000000001,0.3903999999999999,0.45975,2.414175,2.357275
4,5.0,47.57145,46.205499999999994,-3.855575,-6.4102749999999995,-56.22792,-48.077625,52.372325,41.667325,-138.8815,-155.47725,135.02592499999997,149.066975,-25.313415000000003,-19.184045,-40.414155,-36.791165,18.633125,21.069175,115.32945,109.53445,-12.340075,-12.397725,-1.181925,-1.0405,-11.1581,-11.3572,-2.9194,-3.3647500000000004,-9.42065,-9.032925,-0.53185,-0.41515,-0.849125,-0.79615,0.3917,0.45595,2.424375,2.3706
5,5.5,54.20975,53.4776,-5.91695,-8.5571,-61.16475,-52.417469999999994,55.2478,43.860375,-158.078125,-177.136,152.16105,168.57864999999998,-27.231955,-20.707285,-44.263774999999995,-40.311705,20.971825,23.4968,132.235425,127.983,-12.368125,-12.418975,-1.1283,-0.98015,-11.23985,-11.438775,-2.916025,-3.312175,-9.4521,-9.10685,-0.502075,-0.387275,-0.816125,-0.75395,0.3868749999999999,0.4393499999999999,2.439325,2.3932249999999997
6,6.0,62.18655,62.382225,-8.7041,-11.04055,-67.63575,-58.14351,58.93165,47.102975,-182.3025,-205.000375,173.59814999999998,193.95995,-29.92476,-22.972075000000004,-49.116795,-44.728295,23.910200000000003,26.644925,152.381425,150.3378,-12.398975,-12.435975,-1.0876,-0.93205,-11.31135,-11.503925,-2.931525,-3.28615,-9.467425,-9.149825,-0.480975,-0.3683,-0.7894749999999999,-0.717125,0.384475,0.427125,2.4504,2.409975
7,6.5,71.781425,72.554,-11.066525,-13.46,-75.45495,-64.7157,64.38842500000001,51.2557,-211.772375,-238.728375,200.706225,225.26825,-33.21661,-25.398365,-54.94873,-49.91235,27.350525,30.635525,176.25885,175.25157499999997,-12.4132,-12.44445,-1.051175,-0.8919499999999999,-11.362,-11.55255,-2.95025,-3.290125,-9.462924999999998,-9.154325,-0.4625249999999999,-0.3503,-0.765125,-0.68835,0.381025,0.4222,2.4555,2.4155
8,7.0,84.45944999999999,84.95080000000002,-12.5841,-15.36565,-88.9524,-74.3556,76.3683,58.98995,-254.325625,-283.72524999999996,241.74165,268.3591,-39.970685,-29.32649,-63.95995,-57.21418499999999,32.703875000000004,36.43245,205.9805,203.95135,-12.407975,-12.4398,-1.0532,-0.875275,-11.3548,-11.56455,-3.0112,-3.3397,-9.39675,-9.1001,-0.47305,-0.34545,-0.75695,-0.673975,0.387225,0.42885,2.4388,2.400825
9,7.5,97.8345,98.892375,-13.881875,-16.198375,-101.9052,-84.62955,88.023325,68.431175,-293.84475,-330.39387500000004,279.964625,314.197125,-45.90693,-33.42015,-73.13579999999999,-65.15046,37.404325,42.482,238.67174999999995,236.52075,-12.4009,-12.42275,-1.0416,-0.85575,-11.359275,-11.56695,-3.0035,-3.3409,-9.397375,-9.081825,-0.4690999999999999,-0.3381,-0.747325,-0.6590750000000001,0.3823249999999999,0.42955,2.4395249999999997,2.3917
