,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,32.191849999999995,32.6399,-3.93385,-3.4757,-23.01939,-15.42288,19.085525,11.94715,-71.700875,-77.051125,67.7674,73.57554999999999,-10.63808,-5.6277985,-16.251905,-12.29675,6.526800000000001,7.134575,83.84052500000001,84.016825,-12.3812,-12.36575,-0.715075,-0.472675,-11.666125,-11.893124999999998,-2.227275,-2.36185,-10.153875,-10.0039,-0.3303999999999999,-0.17245,-0.504775,-0.3768249999999999,0.2027499999999999,0.2187,2.6044,2.573975
1,3.5,39.440525,39.8519,-4.46935,-4.50705,-25.75215,-16.96011,21.2828,12.453025,-81.1665,-89.4235,76.6969,84.91645,-11.90472,-5.9848479999999995,-18.173975,-13.731335,7.143599999999999,8.1004,103.609375,103.445075,-12.372325,-12.372325,-0.652925,-0.4257,-11.7194,-11.946625,-2.05795,-2.244875,-10.3144,-10.12745,-0.3018,-0.1502,-0.46075,-0.3446,0.1810999999999999,0.203375,2.626975,2.59565
2,4.0,47.80465,48.2803,-5.417825000000001,-5.69455,-29.083995,-18.935924999999997,23.666224999999997,13.241374999999998,-92.6595,-104.452625,87.24192500000001,98.7582,-13.508165000000002,-6.544319,-20.454865,-15.463295,8.036475,9.4106,126.26905,125.98585,-12.372325,-12.3771,-0.6084,-0.392275,-11.763925,-11.984825,-1.938275,-2.164225,-10.434,-10.212925,-0.282575,-0.135575,-0.427875,-0.3204,0.1681,0.1949749999999999,2.64135,2.6094
3,4.5,57.53405,57.896899999999995,-6.5956,-6.856425000000001,-33.555674999999994,-21.49413,26.9601,14.637725,-106.9875,-121.531375,100.3919,114.675325,-15.675585,-7.370805000000001,-23.509680000000003,-17.61423,9.614025,11.00185,152.28745,151.593675,-12.373625,-12.37755,-0.58325,-0.371275,-11.7904,-12.006225,-1.85955,-2.099675,-10.514075,-10.27785,-0.2724499999999999,-0.127325,-0.4086000000000001,-0.30435,0.167125,0.190075,2.6469,2.6183
4,5.0,68.48675,68.7895,-7.612925,-8.216750000000001,-38.7249,-24.53157,31.11195,16.3148,-123.271625,-140.85487500000002,115.658575,132.63850000000002,-18.150905,-8.315999999999999,-27.063529999999997,-20.18223,11.481875,12.901925,181.44775,180.567275,-12.370175,-12.37855,-0.56545,-0.3566499999999999,-11.804725,-12.02185,-1.799925,-2.047975,-10.57025,-10.33055,-0.265025,-0.12095,-0.39515,-0.2935,0.167625,0.1876,2.649375,2.624925
5,5.5,80.5513,81.240575,-8.886849999999999,-9.696775,-42.96993,-27.684479999999997,34.083075,17.9877,-137.82375,-161.33462500000002,128.9364,151.635475,-20.143415,-9.238395,-30.02488,-22.91187,12.764075,14.76295,214.31175,213.954,-12.369325,-12.3784,-0.53345,-0.340775,-11.8359,-12.037624999999998,-1.711,-1.9860750000000005,-10.6583,-10.39235,-0.25005,-0.11375,-0.372725,-0.282175,0.1585,0.18175,2.6605499999999997,2.63355
6,6.0,93.983025,94.8526,-10.0121,-11.274475,-46.75455,-30.08868,36.742450000000005,18.8142,-151.400625,-180.32475,141.3854,169.050275,-21.88033,-9.76016,-32.71242,-25.194944999999997,13.609125,16.267799999999998,251.40375,251.0275,-12.365525,-12.3779,-0.497475,-0.317225,-11.86805,-12.060650000000004,-1.610925,-1.9012,-10.754625,-10.47665,-0.2327999999999999,-0.10295,-0.3480499999999999,-0.265725,0.1447999999999999,0.1715249999999999,2.674975,2.646475
7,6.5,109.138,110.4835,-10.43725,-13.085275,-50.61173999999999,-32.895765,40.174475,19.810475,-165.15575,-203.207375,154.72025000000002,190.122225,-23.42995,-10.35892,-35.662234999999995,-27.87643,14.433425,18.24825,293.23325,293.36125,-12.35465,-12.377425,-0.463725,-0.29775,-11.890875,-12.079675,-1.513275,-1.8393,-10.841350000000002,-10.53815,-0.214675,-0.0938,-0.32675,-0.25235,0.13225,0.165175,2.686825,2.6552499999999997
8,7.0,127.57325,128.26575,-11.5095,-15.417650000000002,-58.363425,-36.454665000000006,46.853925,21.036975,-192.11075,-229.850625,180.603,214.42985,-27.04786,-11.234235,-41.080175,-31.135805,17.175125,20.77485,342.31625,341.38199999999995,-12.3492,-12.379175,-0.4575,-0.2842,-11.891725,-12.094975,-1.5059,-1.791975,-10.8433,-10.5872,-0.21205,-0.087575,-0.322025,-0.2428,0.13465,0.1619499999999999,2.6833,2.6615249999999997
9,7.5,149.046,149.2575,-14.460075,-18.7348,-68.19675,-42.452595,53.736675,23.717799999999997,-224.165125,-265.791125,209.707425,247.0552,-31.59989,-13.278370000000002,-47.98666,-36.102509999999995,21.286925,24.735825,399.39675,397.2035,-12.356025,-12.384525,-0.4575249999999999,-0.284425,-11.898425,-12.1001,-1.504,-1.780725,-10.852025,-10.6038,-0.2120249999999999,-0.088975,-0.32195,-0.2419,0.1428249999999999,0.165725,2.679675,2.661225
10,8.0,172.3845,172.59175,-18.4659,-22.090249999999997,-77.85075,-49.907309999999995,59.38485,27.817075000000003,-256.661875,-306.04862499999996,238.1941,283.95975,-35.86859,-16.07908,-54.97899,-42.12596,25.467075,29.478575000000003,462.2635,459.0425,-12.3661,-12.387,-0.4516,-0.28915,-11.9145,-12.097825,-1.4889,-1.77325,-10.877225,-10.613775,-0.2081,-0.093125,-0.318975,-0.244,0.147725,0.170825,2.6815749999999996,2.659725
11,8.5,196.7855,197.4625,-20.864075,-24.504725,-85.78425,-55.818090000000005,64.920175,31.313374999999997,-283.15375,-340.18674999999996,262.290925,315.680275,-39.248815,-18.114185,-60.85514499999999,-47.0436,28.438249999999996,33.0853,529.0500000000001,526.2112500000001,-12.365,-12.383075,-0.435925,-0.2826499999999999,-11.929075,-12.100425,-1.4389249999999998,-1.722775,-10.92615,-10.66035,-0.19945,-0.091675,-0.30925,-0.238125,0.1445,0.1675499999999999,2.68845,2.664875
12,9.0,221.83975,223.11125,-22.6265,-26.446675,-90.75615,-59.59473,68.12965,33.14805,-301.20775000000003,-365.801375,278.58349999999996,339.35832500000004,-40.9571,-19.04425,-64.95014499999999,-50.53982,30.041324999999997,35.2537,599.0762500000001,596.99375,-12.361,-12.377525,-0.4090999999999999,-0.267075,-11.951875,-12.110425,-1.3577500000000002,-1.639525,-11.003225,-10.738025,-0.1846249999999999,-0.085325,-0.292825,-0.2264,0.135425,0.158,2.7005,2.675775
