,index,x,y,z,nwat,occupancy,Esw,EswLJ,EswElec,Eww,EwwLJ,EwwElec,Etot,Ewwnbr,TSsw_trans,TSsw_orient,TStot,Nnbrs,Nhbww,Nhbsw,Nhbtot,f_hb_ww,f_enc,Acc_ww,Don_ww,Acc_sw,Don_sw,solute_acceptors,solute_donors
0,0,30.56,34.5,31.85,19918,1.0,-13.308935,0.794092,-14.103027,-2.227537,1.844465,-4.072002,-15.536472,-2.252649,-2.819115,-2.735036,-5.554151,1.098403,0.999749,2.268149,3.267898,0.950229,0.788321,0.999649,0.0001,0.265187,2.002962,"GLY45-O-0.112,GLN50-OE1-0.903,GLU133-OE1-0.123,GLU133-OE2-0.865","GLN50-NE2-0.253,HIS132-NE2-0.012"
1,1,21.57,35.48,29.17,19899,0.99,-7.84485,0.431584,-8.276434,-5.517062,0.661273,-6.178334,-13.361912,-2.146846,-2.977934,-2.909956,-5.88789,1.271973,1.067089,2.935072,4.002161,0.869441,0.754871,1.064425,0.002663,1.02382,1.911252,"CYS90-O-0.043,ILE93-O-0.879,PRO94-O-0.004,GLN96-O-0.984","CYS90-N-0.993,GLN96-N-0.012,ARG97-NE-0.0,ARG97-NH1-0.019"
2,2,28.1,33.88,34.85,19836,0.99,-8.170331,-0.10011,-8.070221,-5.771336,1.653572,-7.424908,-13.941667,-2.226147,-2.80147,-2.682111,-5.483581,2.156735,1.874924,2.533122,4.408046,0.892594,0.584364,0.887477,0.987447,1.688697,0.844424,"GLY45-O-0.844,GLU133-OE2-0.0","ILE44-N-0.788,GLY45-N-0.901"
3,3,28.16,33.94,30.89,19799,0.99,-11.773435,0.041332,-11.814766,-3.831151,2.863707,-6.694858,-15.604586,-2.111557,-2.80258,-2.968955,-5.771536,2.248396,1.980403,2.157634,4.138037,0.915087,0.5667,0.001212,1.979191,2.15723,0.000404,"GLN50-OE1-0.0,GLU133-OE2-0.0","GLN50-NE2-0.042,CYS90-SG-0.261,LEU91-N-0.925,HIS132-NE2-0.929"
4,4,28.88,31.4,33.84,19304,0.97,-9.1306,0.112551,-9.243151,-4.97717,1.325568,-6.302738,-14.10777,-1.805325,-2.239409,-2.041149,-4.280558,2.603605,1.712754,1.321591,3.034345,0.723116,0.498245,1.2773,0.435454,0.07786,1.243732,"GLY45-O-0.001,CYS129-SG-0.244,GLU133-OE2-0.999","GLY45-N-0.004,CYS129-SG-0.071,HIS132-NE2-0.002"
5,5,26.18,33.79,32.81,18728,0.94,-4.430043,-1.297719,-3.132324,-9.683951,3.06782,-12.751771,-14.113994,-2.182139,-2.268176,-1.882652,-4.150829,4.30393,3.481952,0.026538,3.50849,0.8239,0.170567,1.597821,1.884131,0.01949,0.007048,GLY89-O-0.007,"LEU91-N-0.019,HIS132-NE2-0.001"
6,6,25.99,30.8,32.64,16977,0.85,-2.534859,-0.733738,-1.801121,-9.680313,1.862319,-11.542632,-12.215172,-2.214524,-1.853884,-1.474816,-3.328701,3.762915,2.797078,0.777699,3.574778,0.760307,0.274828,1.773223,1.023856,0.001414,0.776286,"GLU88-OE1-0.004,GLU88-OE2-0.003,GLY89-O-0.77",GLY89-N-0.001
7,7,23.37,30.58,33.74,14045,0.7,-4.998624,-0.712818,-4.285806,-7.85874,1.966909,-9.825649,-12.857364,-1.988834,-1.727198,-1.247322,-2.97452,3.620506,2.889142,0.981986,3.871129,0.824052,0.302273,1.012104,1.877038,0.979423,0.002563,GLY89-O-0.003,"GLY89-N-0.911,ARG97-NH1-0.04,ARG97-NH2-0.028"
8,8,23.15,37.67,35.17,13190,0.66,-7.726934,-0.191784,-7.53515,-5.000003,1.283209,-6.283212,-12.726937,-1.657956,-1.754449,-1.473258,-3.227707,3.450493,2.50326,1.025625,3.528886,0.758414,0.335037,1.707278,0.795982,0.0,1.025625,"GLU41-O-0.905,GLU42-O-0.121",NONE
9,9,23.71,34.73,33.36,13141,0.66,-4.07781,-1.037712,-3.040098,-9.2039,2.637751,-11.84165,-13.28171,-2.175218,-1.501748,-1.501402,-3.003149,4.101971,3.50742,0.008903,3.516323,0.871955,0.209487,1.588159,1.91926,0.008827,7.6e-05,GLY89-O-0.0,"ARG97-NH1-0.004,ARG97-NH2-0.005"
10,10,27.19,28.32,32.89,12615,0.63,-4.856338,-0.68075,-4.175588,-6.93695,1.34956,-8.28651,-11.793289,-2.110867,-1.71166,-1.88347,-3.595131,2.334047,1.877844,0.865953,2.743797,0.821873,0.550193,0.830836,1.047008,0.019263,0.84669,"GLU88-OE1-0.693,GLU88-OE2-0.153,ILE128-O-0.0,CYS129-SG-0.0",CYS129-SG-0.019
11,11,22.92,38.98,32.19,11492,0.57,-5.317118,-0.489462,-4.827656,-7.358483,1.753523,-9.112007,-12.675602,-1.730825,-1.468661,-1.434473,-2.903134,3.921424,3.002698,0.699617,3.702315,0.79023,0.244281,1.841281,1.161417,0.0,0.699617,"CYS90-O-0.001,PRO94-O-0.697,GLU95-OE1-0.001,GLU95-OE2-0.001",NONE
12,12,22.47,36.25,31.71,11612,0.58,-5.304887,-1.238347,-4.06654,-7.434279,2.505423,-9.939702,-12.739166,-1.814126,-1.592769,-1.912309,-3.505078,4.062177,3.287633,0.098174,3.385808,0.829384,0.217156,1.493369,1.794265,0.020324,0.07785,"CYS90-O-0.031,PRO94-O-0.047","CYS90-N-0.003,ARG97-NE-0.001,ARG97-NH1-0.006,ARG97-NH2-0.011"
13,13,23.09,28.0,34.87,10389,0.52,-1.719323,-1.028562,-0.690761,-10.564993,2.254409,-12.819402,-12.284316,-2.317632,-1.345749,-0.98112,-2.326868,3.69872,3.249976,0.012898,3.262874,0.888229,0.2872,1.508134,1.741842,0.005775,0.007123,GLU87-O-0.007,"ARG97-NH1-0.004,ARG97-NH2-0.001"
14,14,25.23,27.04,33.68,9367,0.47,-4.39,-0.879639,-3.510361,-5.449772,1.281829,-6.731601,-9.839772,-1.97356,-1.329644,-1.222065,-2.551708,2.151276,1.694566,0.567418,2.261984,0.803258,0.585416,1.006726,0.68784,0.0,0.567418,"GLU88-OE1-0.488,GLU88-OE2-0.079",NONE
15,15,19.94,35.45,31.65,7717,0.39,-7.092624,-0.81655,-6.276074,-5.510939,1.686635,-7.197574,-12.603563,-1.591249,-1.200745,-1.24718,-2.447925,3.915122,2.733316,0.661786,3.395102,0.719651,0.245496,0.924841,1.808475,0.621226,0.04056,"PRO94-O-0.001,GLU95-OE1-0.002,GLU95-OE2-0.003,GLU95-O-0.034,GLN96-O-0.0","ARG97-NE-0.325,ARG97-NH1-0.203,ARG97-NH2-0.094"
16,16,19.69,38.34,32.64,7503,0.38,-8.090563,0.272766,-8.363329,-4.815526,1.131156,-5.946682,-12.906089,-1.176531,-1.101008,-0.708736,-1.809744,4.252832,2.458217,1.092096,3.550313,0.607526,0.180414,1.544715,0.913501,0.156871,0.935226,"PRO94-O-0.291,GLU95-OE1-0.343,GLU95-OE2-0.302","ARG97-NH1-0.079,ARG97-NH2-0.078"
17,17,17.73,23.81,33.4,7690,0.38,-3.320083,-0.400042,-2.920041,-9.176816,1.712086,-10.888903,-12.4969,-2.128453,-1.522643,-0.896141,-2.418784,3.4671,2.872822,0.96749,3.840312,0.853244,0.331837,0.998179,1.874642,0.955527,0.011964,"GLU87-OE1-0.004,GLU87-OE2-0.008",GLU87-N-0.956
