,index,x,y,z,nwat,occupancy,Esw,EswLJ,EswElec,Eww,EwwLJ,EwwElec,Etot,Ewwnbr,TSsw_trans,TSsw_orient,TStot,Nnbrs,Nhbww,Nhbsw,Nhbtot,f_hb_ww,f_enc,Acc_ww,Don_ww,Acc_sw,Don_sw,solute_acceptors,solute_donors
0,0,28.52,54.15,34.73,18321,0.92,-4.569522,-1.169026,-3.400497,-6.443705,1.398036,-7.841741,-11.013227,-2.296452,-2.196021,-1.731896,-3.927917,2.459582,2.134927,0.927842,3.062769,0.890351,0.526001,1.157742,0.977185,0.0,0.927842,LEU43-O-0.928,NONE
1,1,29.73,52.56,31.9,16660,0.83,-5.666731,-1.037954,-4.628778,-4.137882,0.962832,-5.100714,-9.804613,-1.730111,-2.246607,-1.632129,-3.878736,2.261465,1.564766,0.236555,1.801321,0.724696,0.564181,0.107683,1.457083,0.182773,0.053782,"GLN50-OE1-0.054,PHE103-O-0.0","GLN50-NE2-0.132,ARG91-NH2-0.051"
2,2,34.36,59.48,39.07,16326,0.82,-4.048755,-1.04923,-2.999525,-5.894279,1.383328,-7.277606,-9.943034,-2.573079,-2.001267,-1.5364,-3.537667,2.032341,1.860774,0.916636,2.77741,0.924757,0.608337,0.999449,0.861325,0.0,0.916636,LEU212-O-0.917,NONE
3,3,28.75,59.7,39.05,16366,0.82,-4.101651,-0.851316,-3.250335,-6.58952,1.244323,-7.833843,-10.691171,-2.079554,-2.054163,-1.465083,-3.519246,2.604852,1.846572,0.952829,2.799401,0.745675,0.498005,1.088171,0.758402,6.1e-05,0.952768,"LEU40-O-0.277,ASN44-OD1-0.676",ASN44-ND2-0.0
4,4,30.15,60.75,41.23,13272,0.66,-4.41986,-0.89776,-3.5221,-5.994929,1.342155,-7.337084,-10.414789,-2.526391,-1.813036,-1.533628,-3.346664,2.080018,1.793098,0.948162,2.74126,0.873072,0.599149,1.059147,0.733951,0.002562,0.9456,"ASN44-OD1-0.0,THR219-OG1-0.946","ASN44-ND2-0.002,CYS216-SG-0.001"
5,5,32.01,58.87,40.48,13303,0.67,-2.083772,-1.042423,-1.041349,-10.008635,2.468843,-12.477478,-12.092407,-2.324075,-1.587008,-1.278859,-2.865867,3.661505,3.1099,0.533038,3.642938,0.871281,0.294372,1.223934,1.885966,0.533038,0.0,NONE,CYS216-SG-0.533
6,6,30.58,56.0,35.07,13212,0.66,-1.950185,-0.980031,-0.970154,-9.838557,2.283807,-12.122364,-11.788743,-2.046607,-1.651284,-0.933619,-2.584903,4.187178,3.373903,7.6e-05,3.373978,0.823883,0.193066,1.589313,1.78459,0.0,7.6e-05,LEU43-O-0.0,NONE
7,7,29.98,51.79,34.91,13092,0.65,-2.393148,-0.90222,-1.490928,-8.885935,1.90308,-10.789015,-11.279083,-2.028317,-1.767655,-1.044005,-2.81166,3.719829,2.557363,0.634586,3.191949,0.704655,0.283132,1.388482,1.168882,0.0,0.634586,"GLN50-OE1-0.627,SER84-OG-0.008",NONE
8,8,32.15,53.78,33.37,12653,0.63,-3.078337,-1.207401,-1.870935,-8.037222,1.893556,-9.930778,-11.115559,-2.063676,-1.589293,-1.083621,-2.672914,3.567533,2.761638,0.220027,2.981664,0.802223,0.312482,1.270292,1.491346,0.0,0.220027,SER84-O-0.22,NONE
9,9,30.38,56.71,39.87,12428,0.62,-5.029509,-0.455495,-4.574014,-6.296056,1.409828,-7.705884,-11.325566,-1.982127,-1.816182,-1.567287,-3.383469,2.671146,2.151191,0.95132,3.10251,0.836479,0.485229,1.264886,0.886305,0.0,0.95132,ASN44-OD1-0.951,NONE
