,index,x,y,z,nwat,occupancy,Esw,EswLJ,EswElec,Eww,EwwLJ,EwwElec,Etot,Ewwnbr,TSsw_trans,TSsw_orient,TStot,Nnbrs,Nhbww,Nhbsw,Nhbtot,f_hb_ww,f_enc,Acc_ww,Don_ww,Acc_sw,Don_sw,solute_acceptors,solute_donors
0,0,28.16,44.22,46.77,19979,1.0,-10.886036,2.230235,-13.116271,0.488473,-0.139045,0.627518,-10.397564,-1.358339,-3.280169,-3.31797,-6.598139,0.07588,0.04735,2.902798,2.950148,0.04735,0.985377,0.04735,0.0,0.933981,1.968817,"LEU20-O-0.998,PHE99-O-0.971","LEU20-N-0.0,GLN46-NE2-0.934,ARG87-NH1-0.0"
1,1,36.4,30.51,47.82,17785,0.89,-3.543309,-1.031149,-2.51216,-7.514605,1.749018,-9.263623,-11.057915,-2.502349,-2.085429,-1.542909,-3.628337,2.586955,2.388923,0.94203,3.330953,0.932197,0.501454,1.414507,0.974417,0.0,0.94203,LEU208-O-0.942,NONE
2,2,29.52,46.38,40.03,15083,0.75,-7.332592,-0.178687,-7.153905,-5.940329,1.56618,-7.506508,-13.27292,-1.485294,-2.178905,-1.51127,-3.690175,3.465491,2.273288,1.526354,3.799642,0.694087,0.332147,0.411059,1.862229,1.526354,0.0,NONE,"ARG87-NE-0.982,ARG87-NH2-0.544"
3,3,34.73,33.41,52.35,13558,0.68,-5.549352,-0.890324,-4.659028,-4.949707,1.111065,-6.060772,-10.499059,-1.948461,-1.827011,-1.642248,-3.469259,2.545582,1.941806,0.858386,2.800192,0.801496,0.509427,1.055023,0.886783,0.0,0.858386,"MET36-O-0.112,ASN40-OD1-0.746",NONE
4,4,28.03,40.61,41.01,11669,0.58,-1.67363,-1.04733,-0.626299,-9.767072,1.853724,-11.620796,-11.440701,-2.328039,-1.751624,-1.211486,-2.96311,3.717628,3.034536,0.014054,3.04859,0.831498,0.283556,1.22067,1.813866,0.001285,0.012769,GLN46-OE1-0.013,ARG87-NH2-0.001
5,5,37.87,32.28,49.49,11362,0.57,-4.965949,-0.564176,-4.401773,-5.557634,1.207368,-6.765002,-10.523583,-1.842921,-1.712935,-1.65779,-3.370726,2.772135,2.027108,0.914276,2.941384,0.772104,0.465767,1.106847,0.920261,0.0,0.914276,GLN118-OE1-0.914,NONE
6,6,36.7,30.98,52.49,11278,0.56,-4.852595,-0.558177,-4.294419,-6.003222,1.05983,-7.063051,-10.855817,-2.067025,-1.654075,-1.377947,-3.032022,2.465774,1.894219,1.198883,3.093102,0.801753,0.524807,1.556836,0.337383,8.9e-05,1.198794,"MET36-SD-0.063,GLN118-OE1-0.798,TYR211-O-0.0,THR215-OG1-0.337",THR215-OG1-0.0
7,7,35.01,32.99,47.24,11144,0.56,-1.630017,-0.885734,-0.744283,-9.625054,1.96764,-11.592694,-11.25507,-2.077963,-1.471616,-0.973791,-2.445407,3.95962,3.125449,0.051956,3.177405,0.813021,0.23692,1.442749,1.682699,0.0,0.051956,MET77-SD-0.052,NONE
8,8,27.64,43.01,38.91,10534,0.53,-5.475041,-0.5286,-4.946441,-7.442955,1.772065,-9.215019,-12.917995,-2.053707,-1.659219,-1.513324,-3.172542,3.570344,2.897095,0.687488,3.584583,0.83003,0.31194,1.698405,1.19869,0.009303,0.678185,"GLU16-OE1-0.002,GLU16-OE2-0.673,TYR139-OH-0.004",ARG87-NH2-0.009
9,9,30.32,44.04,39.2,10469,0.52,-5.433061,-0.970475,-4.462586,-4.364318,0.96189,-5.326208,-9.797379,-1.391148,-1.692883,-1.150074,-2.842957,2.598625,1.593849,1.13497,2.728818,0.643045,0.499205,1.005922,0.587926,0.09084,1.04413,"GLU16-OE2-0.0,ALA83-O-0.75,TYR139-OH-0.294","ARG87-NE-0.01,ARG87-NH2-0.081"
10,10,28.02,38.27,39.22,10369,0.52,-3.33195,-1.052607,-2.279343,-6.145669,1.219583,-7.365252,-9.477619,-2.345865,-1.855769,-1.587231,-3.443,2.237342,1.932684,0.80731,2.739994,0.890812,0.56883,0.939724,0.99296,0.0,0.80731,LEU79-O-0.807,NONE
11,11,35.27,30.28,50.4,10226,0.51,-2.328508,-1.126373,-1.202135,-9.375647,2.410017,-11.785663,-11.704155,-2.288615,-1.544981,-1.283327,-2.828308,3.680031,3.039507,0.011148,3.050655,0.850669,0.290802,1.152846,1.886661,0.0,0.011148,"TYR211-O-0.001,THR215-OG1-0.01",NONE
12,12,35.52,34.34,49.83,9994,0.5,-2.11522,-0.852067,-1.263152,-10.201344,2.445003,-12.646346,-12.316563,-2.264861,-1.367741,-1.136852,-2.504593,3.970382,3.471583,0.0,3.471583,0.885931,0.234846,1.659196,1.812387,0.0,0.0,NONE,NONE
13,13,31.44,37.29,48.46,10186,0.51,-4.890656,-0.808853,-4.081803,-6.206443,1.506429,-7.712873,-11.0971,-2.381811,-1.697313,-1.646042,-3.343355,2.391714,2.136855,0.949244,3.086099,0.90994,0.53908,1.190556,0.946299,0.0,0.949244,LEU39-O-0.949,NONE
14,14,30.6,40.35,42.72,9196,0.46,-2.944092,-1.636667,-1.307425,-6.236632,1.100452,-7.337085,-9.180724,-2.710565,-1.544417,-1.210001,-2.754418,1.941823,1.844606,0.430405,2.275011,0.949779,0.625781,0.894302,0.950304,0.0,0.430405,"GLN46-OE1-0.004,MET80-O-0.426",NONE
15,15,33.97,35.85,48.26,9167,0.46,-1.644321,-0.919363,-0.724959,-9.047445,1.92892,-10.976365,-10.691767,-2.078935,-1.271359,-0.862623,-2.133982,3.76579,2.978074,0.0,2.978074,0.813308,0.274274,1.280463,1.697611,0.0,0.0,NONE,NONE
16,16,30.1,39.16,46.77,8628,0.43,-3.374425,-1.472086,-1.902338,-5.581594,1.409296,-6.99089,-8.956019,-2.516931,-1.367678,-1.197287,-2.564965,1.974849,1.765531,0.149745,1.915276,0.910408,0.619416,0.639198,1.126333,0.002202,0.147543,"LEU42-O-0.001,MET80-SD-0.147",GLN46-NE2-0.002
