,index,x,y,z,nwat,occupancy,Esw,EswLJ,EswElec,Eww,EwwLJ,EwwElec,Etot,Ewwnbr,TSsw_trans,TSsw_orient,TStot,Nnbrs,Nhbww,Nhbsw,Nhbtot,f_hb_ww,f_enc,Acc_ww,Don_ww,Acc_sw,Don_sw,solute_acceptors,solute_donors
0,0,52.63,46.64,40.07,19999,1.0,-11.768451,1.682656,-13.451106,-3.181373,0.166801,-3.348174,-14.949823,-0.756921,-3.594295,-3.292409,-6.886703,2.426021,0.891995,3.017251,3.909245,0.431838,0.532468,0.891595,0.0004,1.0006,2.016651,"ASP235-OD1-0.999,ASP235-OD2-0.019,ILE246-O-0.998","ARG100-NH1-0.002,THR248-N-0.001,THR248-OG1-0.998"
1,1,52.11,44.54,37.43,19808,0.99,-6.16458,-0.419211,-5.745369,-7.315178,1.503076,-8.818254,-13.479758,-1.277182,-2.810662,-2.313503,-5.124165,4.732128,2.748485,1.033724,3.782209,0.596158,0.088046,1.899334,0.849152,5e-05,1.033673,"ASP235-OD1-0.076,ASP235-OD2-0.951,THR248-OG1-0.007",LYS245-NZ-0.0
2,2,52.91,43.05,40.0,19645,0.98,-13.626985,0.500847,-14.127832,-0.732263,0.036649,-0.768912,-14.359248,-0.465586,-2.804304,-2.525203,-5.329507,3.428251,1.349351,2.61522,3.964571,0.411294,0.339323,0.545533,0.803818,1.490914,1.124306,"ASP95-OD2-0.963,THR248-OG1-0.161","ARG100-NH1-0.5,ARG100-NH2-0.991"
3,3,53.38,37.85,36.71,19638,0.98,-12.148847,1.19195,-13.340797,-0.886344,0.13621,-1.022555,-13.035191,-0.360053,-2.852806,-2.869801,-5.722608,2.051024,0.570068,2.380741,2.95081,0.329217,0.604736,0.550922,0.019147,0.444597,1.936144,"GLN159-OE1-0.971,ASP162-OD1-0.963,ASP162-OD2-0.002","GLN159-NE2-0.0,LYS188-NZ-0.398,LYS254-NZ-0.047"
4,4,54.99,43.38,36.98,18991,0.95,-6.833703,-0.108546,-6.725157,-3.982966,0.749441,-4.732407,-10.816669,-1.103748,-2.602917,-2.0641,-4.667017,2.134274,0.974146,0.922226,1.896372,0.496682,0.588693,0.802011,0.172134,0.0,0.922226,"ASP95-OD1-0.007,ASP95-OD2-0.036,THR248-OG1-0.879,THR248-O-0.0",NONE
5,5,49.93,44.55,39.26,18408,0.92,-8.195559,-0.466986,-7.728573,-3.547632,0.937171,-4.484803,-11.743191,-0.844931,-2.569085,-2.185917,-4.755003,4.212842,1.979737,0.219904,2.199641,0.49955,0.188121,0.181932,1.797805,0.200511,0.019394,"ASP231-OD2-0.0,ASP235-OD1-0.019","ARG100-NH1-0.171,LYS245-NZ-0.03"
6,6,50.29,41.07,32.66,17933,0.9,-10.674398,-0.756263,-9.918135,-1.572699,0.5979,-2.170599,-12.247097,-0.959504,-2.465059,-2.273625,-4.738684,1.742263,0.960297,2.194836,3.155133,0.601154,0.664239,0.189037,0.77126,0.857246,1.33759,"TYR181-OH-0.001,ASP232-OD1-0.504,ASP232-OD2-0.833,CYS255-O-0.0","TYR181-OH-0.0,LYS188-NZ-0.787,GLN228-NE2-0.07"
7,7,53.7,45.85,42.64,17713,0.89,-4.724391,-0.90415,-3.820241,-4.985687,1.522134,-6.507821,-9.710077,-2.781328,-3.239977,-2.519516,-5.759494,2.104387,1.829673,0.764636,2.594309,0.883504,0.594452,0.972619,0.857054,0.0,0.764636,"SER97-OG-0.764,ILE246-O-0.001",NONE
8,8,49.0,42.27,37.61,15969,0.8,-3.20278,-0.541403,-2.661377,-10.20105,2.534483,-12.735533,-13.403831,-1.685731,-2.054092,-1.63583,-3.689922,4.82059,3.390193,0.989667,4.379861,0.723761,0.070998,1.554324,1.835869,0.955476,0.034191,"GLN228-OE1-0.001,ASP231-OD2-0.033",GLN228-NE2-0.955
9,9,53.59,40.91,37.44,15774,0.79,-11.244688,0.716259,-11.960948,-3.002051,1.941604,-4.943655,-14.24674,-0.870628,-2.514899,-2.656635,-5.171534,4.059909,2.130087,1.682642,3.81273,0.548059,0.217593,1.166033,0.964055,0.661278,1.021364,"ASP95-OD1-0.039,ASP95-OD2-0.982","LYS188-NZ-0.0,LYS254-NZ-0.661"
