,index,x,y,z,nwat,occupancy,Esw,EswLJ,EswElec,Eww,EwwLJ,EwwElec,Etot,Ewwnbr,TSsw_trans,TSsw_orient,TStot,Nnbrs,Nhbww,Nhbsw,Nhbtot,f_hb_ww,f_enc,Acc_ww,Don_ww,Acc_sw,Don_sw,solute_acceptors,solute_donors
0,0,31.51,40.25,45.2,18558,0.93,-8.27528,-0.32635,-7.94893,-3.960405,1.232082,-5.192487,-12.235685,-1.653787,-2.327465,-1.777899,-4.105363,2.004688,1.515249,1.693609,3.208859,0.760332,0.613666,0.075709,1.439541,1.475375,0.218235,"GLN46-OE1-0.218,MET80-SD-0.0,PHE99-O-0.0","GLN46-NE2-0.458,ARG87-NH1-0.967,ARG87-NH2-0.051"
1,1,30.33,39.44,42.74,17614,0.88,-8.312268,-0.860277,-7.45199,-4.012464,1.180174,-5.192638,-12.324732,-2.006063,-2.172514,-1.785395,-3.957909,1.985693,1.582662,1.834563,3.417225,0.809238,0.617326,0.690473,0.892188,0.976496,0.858067,"GLN46-OE1-0.061,MET80-SD-0.015,MET80-O-0.782","GLN46-NE2-0.002,ARG87-NH1-0.027,ARG87-NH2-0.948"
2,2,27.95,44.03,46.06,17620,0.88,-11.297306,0.519891,-11.817197,-2.475709,1.010391,-3.4861,-13.773015,-2.642195,-2.520778,-2.706017,-5.226795,1.066005,1.039444,2.698865,3.738309,0.972456,0.794564,1.039387,5.7e-05,0.707832,1.991033,"LEU20-O-0.996,GLN46-OE1-0.0,PHE99-O-0.995","LEU20-N-0.015,GLN46-NE2-0.693"
3,3,26.58,43.73,43.77,16286,0.81,-1.380664,-1.272933,-0.107731,-10.868978,2.417635,-13.286613,-12.249642,-2.370226,-2.003086,-2.175038,-4.178125,3.610033,2.904949,0.948054,3.853003,0.825558,0.304291,0.974088,1.930861,0.922817,0.025236,"GLU18-O-0.001,GLN46-OE1-0.024","LEU20-N-0.805,GLN46-NE2-0.083,ARG87-NE-0.001,ARG87-NH2-0.034"
4,4,30.2,43.8,39.33,14447,0.72,-4.726203,-1.078738,-3.647465,-6.072251,1.357052,-7.429304,-10.798455,-1.912504,-1.816546,-1.411268,-3.227814,2.702568,2.016889,0.881706,2.898595,0.785156,0.479174,1.104866,0.912023,0.034471,0.847235,"ALA83-O-0.786,TYR139-OH-0.062","ARG87-NE-0.014,ARG87-NH2-0.02,TYR139-OH-0.001"
5,5,27.93,45.48,41.91,14119,0.71,-6.66211,-0.580781,-6.081328,-6.857531,2.043621,-8.901153,-13.519641,-1.728386,-1.854592,-2.023351,-3.877942,3.929811,2.859055,0.972165,3.83122,0.757006,0.242665,0.971244,1.887811,0.972165,0.0,NONE,"ARG87-NE-0.886,ARG87-NH2-0.086"
6,6,41.54,28.72,47.15,13980,0.7,-6.269617,-0.442017,-5.827601,-5.401004,0.95891,-6.359913,-11.670621,-2.239095,-1.946257,-2.035118,-3.981375,1.637339,1.358155,1.548498,2.906652,0.872599,0.68446,1.013662,0.344492,0.0098,1.538698,"ASP117-O-0.002,GLN118-OE1-0.991,HIS121-NE2-0.0,ASN207-OD1-0.006,ASN207-O-0.539","HIS121-ND1-0.006,ASN207-ND2-0.003"
7,7,35.73,30.08,47.35,13761,0.69,-5.661369,-0.674892,-4.986477,-5.338572,1.199312,-6.537884,-10.999941,-2.59458,-2.118778,-1.93731,-4.056088,1.913378,1.761718,1.7155,3.477218,0.925853,0.631263,0.834968,0.92675,0.7724,0.9431,"MET77-SD-0.004,GLN118-OE1-0.003,LEU208-O-0.936",GLN118-NE2-0.772
8,8,33.88,29.8,52.67,13475,0.67,-4.968624,-0.730517,-4.238106,-6.093592,1.086592,-7.180184,-11.062216,-2.462505,-1.827659,-1.468355,-3.296014,1.971874,1.659443,1.61321,3.272653,0.855918,0.61999,1.036438,0.623006,0.565863,1.047347,"MET36-SD-0.048,ASN40-OD1-0.031,TYR211-OH-0.015,THR215-OG1-0.953","ASN40-ND2-0.562,TYR211-OH-0.003,THR215-OG1-0.0"
9,9,31.37,35.7,48.66,13421,0.67,-4.103015,-0.630659,-3.472355,-7.595346,1.756105,-9.351451,-11.698361,-2.412693,-1.799571,-1.371476,-3.171047,2.872439,2.525743,0.939498,3.465241,0.896877,0.446437,1.570524,0.955219,0.0,0.939498,"LEU39-O-0.937,GLN46-OE1-0.0,MET80-SD-0.002",NONE
