,index,x,y,z,nwat,occupancy,Esw,EswLJ,EswElec,Eww,EwwLJ,EwwElec,Etot,Ewwnbr,TSsw_trans,TSsw_orient,TStot,Nnbrs,Nhbww,Nhbsw,Nhbtot,f_hb_ww,f_enc,Acc_ww,Don_ww,Acc_sw,Don_sw,solute_acceptors,solute_donors
0,0,32.07,32.16,18.22,19458,0.97,-8.99735,0.111235,-9.108585,-4.693596,1.251446,-5.945042,-13.690946,-2.028468,-2.673035,-2.527126,-5.200161,2.075547,1.549748,1.123857,2.673605,0.794006,0.60001,1.522459,0.02729,0.0,1.123857,"ASP57-O-0.0,GLU62-OE1-0.992,GLU62-OE2-0.132",NONE
1,1,30.92,33.36,14.9,18909,0.95,-9.691863,0.331715,-10.023578,-5.056265,1.695416,-6.75168,-14.748128,-1.389563,-2.432863,-2.246889,-4.679751,4.28341,2.699138,0.999947,3.699085,0.663735,0.174521,1.762018,0.93712,0.0,0.999947,"GLU62-OE1-0.008,GLU62-OE2-0.992",NONE
2,2,30.58,30.44,16.64,18329,0.92,-7.274966,-0.44335,-6.831617,-4.991375,1.895615,-6.88699,-12.266341,-1.351311,-2.367926,-1.610833,-3.978759,4.157183,2.662611,0.894157,3.556768,0.663876,0.198847,0.8456,1.817011,0.893829,0.000327,GLN67-OE1-0.0,TRP71-NE1-0.894
3,3,33.1,31.61,15.14,17248,0.86,-6.442153,-0.16931,-6.272842,-6.445343,1.67417,-8.119513,-12.887495,-1.352526,-2.052895,-1.702667,-3.755561,4.211967,2.574733,0.989332,3.564065,0.637432,0.188289,1.691558,0.883175,0.0,0.989332,"THR56-O-0.027,ASP57-OD2-0.0,ASP57-O-0.962",NONE
4,4,29.08,36.38,15.33,15668,0.78,-6.30968,0.523005,-6.832685,-7.764841,1.480064,-9.244904,-14.074521,-1.746001,-1.963313,-1.408773,-3.372086,3.865586,2.813633,0.994383,3.808016,0.7612,0.255042,1.884031,0.929602,0.0,0.994383,GLU62-OE2-0.994,NONE
5,5,28.52,31.94,14.42,15833,0.79,-8.102819,0.202582,-8.305401,-4.578939,1.075527,-5.654465,-12.681758,-1.131004,-2.194268,-1.250267,-3.444535,4.036506,2.205141,1.106865,3.312007,0.578086,0.222103,0.41363,1.791511,1.106865,0.0,NONE,"GLN67-NE2-0.695,LYS70-NZ-0.412"
6,6,35.98,23.25,18.88,12219,0.61,-1.607458,-0.979582,-0.627876,-10.599606,2.197857,-12.797463,-12.207064,-2.208791,-1.67169,-1.11869,-2.790379,3.788281,3.202308,0.000573,3.202881,0.863742,0.26994,1.325395,1.876913,0.0,0.000573,GLY54-O-0.001,NONE
7,7,32.49,19.63,20.27,11481,0.57,-4.610774,-0.434765,-4.176009,-7.574163,1.547236,-9.121399,-12.184937,-1.781205,-1.72071,-0.886958,-2.607668,3.505531,2.655257,0.785646,3.440902,0.787059,0.32443,0.797753,1.857504,0.777894,0.007752,"GLY52-O-0.0,TYR72-OH-0.007","LYS47-NZ-0.001,GLY54-N-0.777"
8,8,26.4,22.26,17.18,11615,0.58,-3.314404,-0.302326,-3.012079,-8.767684,1.429207,-10.196892,-12.082089,-1.988064,-1.66276,-1.145042,-2.807802,3.379337,2.606629,0.796728,3.403358,0.801648,0.34875,1.652432,0.954197,0.0,0.796728,"TRP71-O-0.796,TYR72-OH-0.0",NONE
9,9,39.97,26.77,15.03,11248,0.56,-4.996425,0.018019,-5.014444,-8.244136,1.512052,-9.756189,-13.240562,-1.987164,-1.86659,-1.334763,-3.201353,3.451458,2.723684,0.975462,3.699147,0.818117,0.334851,1.794008,0.929676,0.0,0.975462,THR56-OG1-0.975,NONE
